Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001909;Rexel Spain, S.L.;4;+34 963 135 160;http://https://www.rexel.es/;www.abb.com;Pgno. Vara De Quart C/gremis 13;46014;Valencia;Valencia;Spain;
1001910;Rexel Spain, S.L.;4;+34942352200;http://www.rexel.es;www.abb.com;Polígono Industrial Raos - Fragata Nº 113.;39600;Camargo;Cantabria;Spain;
1001911;Rexel Spain, S.L.;4;+34910508915;http://www.rexel.es;www.abb.com;C/labradores 16. P.I. Prado Del Esp;28660;Boadilla Del Monte;Madrid;Spain;
1001912;Rexel Spain, S.L.;4;+34926227800;http://www.rexel.es;www.abb.com;CTRA. DE CARRION, S/N;13005;Ciudad Real;Ciudad Real;Spain;
1001913;Rexel Spain, S.L.;4;+34975212752;http://www.rexel.es;www.abb.com;Pgno. Las Casas, C/f - Parc.32;42005;Soria;Soria;Spain;
1001914;Rexel Spain, S.L.;4;+34 976660494;http://www.abmrexel.es;www.abb.com;C/DE LA CONCORDIA, 9;50600;EJEA DE LOS CABALLEROS;Zaragoza;Spain;
1001915;Rexel Spain, S.L.;4;+34 916766611;http://www.rexel.es;www.abb.com;C/La Granja, 98;28108;Alcobendas;Madrid;Spain;
1001916;Rexel Spain, S.L.;4;+34 978605561;http://www.abmrexel.es;www.abb.com;CTRA. SAN JULIAN, 83;44003;Teruel;Teruel;Spain;
1001917;Rexel Spain, S.L.;4;+34988750553;http://www.abmrexel.es;www.abb.com;Poligono Industrial de Barreiros, Vial G, Nave2;32915;San Cibrao Das Vinas;Ourense;Spain;
1001918;Rexel Spain, S.L.;4;+34979722447;http://www.rexel.es;www.abb.com;Pgno. Ntra.Sra. De Los Angeles;34003;Palencia;Palencia;Spain;
1001919;Rexel Spain, S.L. Granollers;4;+34938794112;http://www.rexel.es;www.abb.com;Carrer Llinars, 12 Poligono Industrial Palau Sector F;08400;Granollers;Barcelona;Spain;
1001920;REXEL SRP IDF CLR MARNE LA VALLEE;4;;http://www.rexel.fr;www.abb.com;30 BD BEAUBOURG;77183;CROISSY BEAUBOURG;Seine-et-Marne;France;
1001921;Rexel Sverige AB;4;+46 8 556 213 00;http://https://www.selga.se/sel/abb;www.abb.com;Arrendevagen 50;163 44;Spanga;Stockholms Lan;Sweden;
1001922;REXEL THONON;4;;http://www.rexel.fr;www.abb.com;4 AVENUE DU CLOS ROUGE;74200;THONON LES BAINS;Savoie (Haute);France;
1001923;Rexel Valenton;4;;http://www.rexel.fr;www.abb.com;4 Rue Ferme De La Tour, Zac Du Val Pompadour 2;94460;Valenton;Val-de-Marne;France;
1001924;REXEL VICHY;4;;http://www.rexel.fr;www.abb.com;32 rue Ampere - ZI Cusset;03300;VICHY;Allier;France;
1001925;Rexel Villabe;4;;http://www.rexel.fr;www.abb.com;5 rue des Petits Champs;91100;Villabe;Paris;France;
1001926;RG Distribuciones SA;4;+5743510622;http://https://www.rgd.com.co/portal/principal.html;www.abb.com;Cl 8 N 9 46 EL ACERO;661002;Dosquebradas;Risaralda;Colombia;
1001927;Rhona S.A;4;+56322320600;http://www.rhona.cl;www.abb.com;Variante Agua Santa 4211;2581960;Vina del Mar;Valparaiso;Chile;
1001928;RMS Measurement & Control;4;0027 11 708 2811;http://www.rmsmeasure.co.za;www.abb.com;Unit 90 Trevallyun Industrial Park Hyskraan Road;2162;Kya Sands;Gauteng;South Africa;
1001929;Robitnia LLC;4;+380322424654;http://robitnia.com;www.abb.com;223B, Bohdana Khmelnytskoho Str.;79024;Lviv;Lvivska;Ukraine;
1001930;Roger Electric Corp;4;+787 786 3361;http://www.rogerelectric.com;www.abb.com;Luchetti Industrial Park Calle 5;00960-3166;Bayamon;Puerto Rico;Puerto Rico;
1001931;Ronnie Bergdahls Forsaljnings AB;4;+46 13 36 44 60;http://https://www.bergdahls.com/;www.abb.com;Norra Stanggatan 5;582 73;Linkoping;Ostergotlands Lan;Sweden;
1001932;Rouenel Sas;4;+33297283535;http://www.espace-aubade.fr;www.abb.com;Route de Mur de Bretagne;56307;Pontivy;Morbihan;France;
1001933;ROUTHIAU ET FILS;4;+33 297283535;http://www.routhiau.fr;www.abb.com;6 Rue Du Commerce;85000;La Roche Sur Yon;Vendee;France;
1001934;Rovi S R L;4;54 3874212855;http://www.sanjuanelectricidad.com.ar;www.abb.com;Jujuy 542;4400;Salta;Salta;Argentina;
1001935;ROY SA;4;+33247412020;http://www.royelec.fr;www.abb.com;2 Rue du Marechal Joffre;37100;Tours;Indre-et-Loire;France;
1001936;RS Components Sas;4;+33344101500;http://fr.rs-online.com/;www.abb.com;Rue Norman King;60000;Beauvais;Oise;France;
1001937;Ruarte Luis Magin;4;+54 3544 426479;http://https://maginelectricidad.com.ar/;www.abb.com;Av. Belgrano 1465;5870;Villa Dolores;Cordoba;Argentina;
1001938;Rubin and Lacaque;4;+33 344101521;http://www.rubinlacaque.fr;www.abb.com;Zae Cap Nord 30 Rue Cracovie;21000;Dijon;Cote-d'Or;France;
1001939;S.M. Jaffer & Co;4;+9221111765765;http://www.smjaffer.com;www.abb.com;Jaffer House 17, Timber Pond, East Wharf.;75620;Karachi;Sind;Pakistan;
1001940;SA CEF YESSS ELECTRIQUE CARPIQUET ZI OUEST;4;;http://www.yesss-fr.com;www.abb.com;2 BIS RUE DES MONDERAINES;14650;CARPIQUET;Calvados;France;
1001941;SA Coop Artisanale Installateurs;4;+33240303010;http://www.sacais.com;www.abb.com;8 Rue Julius Et Ethel Rosenberg;44800;St Herblain;Loire-Atlantique;France;
1001942;Sa Des Etablissements Rubin Et Lacaque;4;+33384466420;http://www.rubinlacaque.fr;www.abb.com;42 Rue Carnot BP 39;90300;Valdoie;Territ.-de-Belfort;France;
1001943;SALENTEY AMIENS;4;;http://www.salentey.fr;www.abb.com;1 RUE DU WAGE;60000;Beauvais;Oise;France;
1001944;SALON CHAUFFAGE SANITAIRE SAS;4;+33490563543;http://www.scs13.fr;www.abb.com;461 Avenue Georges Borel;13300;Salon De Provence;Bouches-du-Rhone;France;
1001945;SAMSE;4;+33492530303;http://www.samse.fr;www.abb.com;20 ROUTE DES FAUVINS;05000;Gap;Alpes (Hautes);France;
1001946;SAMSE;4;;http://www.samse.fr;www.abb.com;2 Rue Raymond Pitet;38100;Grenoble;Isere;France;
1001947;Sanelec;4;;http://www.sanelec.fr;www.abb.com;6 RUE HENRI LELARGE;51100;Reims;Marne;France;
1001948;Sanelec;4;+33323532353;http://www.sanelec.fr;www.abb.com;ZI de Villeneuve/st Germain Rue A. de St Exupery;02200;Soissons;Aisne;France;
1001949;Sanelec;4;+33322673767;http://www.sanelec.fr;www.abb.com;7 Avenue Roger Dumoulin;80046;Amiens;Somme;France;
1001950;Sanelec;4;+33323853232;http://www.sanelec.fr;www.abb.com;10 Rue de la Plaine ZI;02400;Chateau Thierry;Aisne;France;
1001951;Sanelec;4;+33326650707;http://www.sanelec.fr;www.abb.com;Rue du Moulin - ZI;51520;St Martin Sur Le Pre;Marne;France;
