Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999559;A&RT Machinery Pty Ltd;4;+61247315866;dale@a-rt.com.au;www.a-rt.com.au/;www.abb.com;28 UNIT 3, COOMBES DRIVE;2750;Penrith;New South Wales;Australia;
999560;A.B. Industrial Supply Corp;4;;abindustrial@codetel.net.do;www.abindustrialsupply.com;www.abb.com;C/10, No.20, Rep.Alma Rosa Santo Domingo Este;---;Santo Domingo;Distrito Nacional;Dominican Republic;
999561;A.M.Tech S.r.l.;4;;;www.amtech.it;www.abb.com;Via Dei Mulini 156;25039;Travagliato;Brescia;Italy;
999562;A.R Marketing & Services;4;;;www.armarketingservices.com;www.abb.com;19, Navkiran Rd, Gharkul Society, Ratan Nagar, Four Bungalows, Andheri West;400053;Mumbai;Maharashtra;India;
999563;A4IE SOLUTIONS DOO NOVI SAD;4;+381213825643;info@a4iesolutions.com;;www.abb.com;Bulevar Cara Lazara 40;21000;Novi Sad;Juznobacki okrug;Serbia;
999564;AAR Powerdrives Ltd;4;+441384400800;sales@aarpowerdrives.co.uk;www.aarpowerdrives.co.uk;www.abb.com;Unit 27, Dawley Trading Estate, Stallings Lane;DY6 7AP;Kingswinford;West Midlands;United Kingdom;
999565;AB Elektriska Motorcentralen;4;+46091013085;info@elmotorcentralen.se;www.elmotorcentralen.se;www.abb.com;Filtergrand 3;931 57;Skelleftea;Vasterbottens Lan;Sweden;
999566;abacon Gesellschaft fur Mess-, Steuer- und Regeltechnik mbH;4;+4961736071-0;automatisierung@abacon.org;www.abacon.org;www.abb.com;Hauptstr. 392;65760;Eschborn;Hessen;Germany;
999567;Accionaments I Automatismes G6 SL;4;+34938405545;info@factorpotencia.com;www.factorpotencia.com;www.abb.com;Av. Sant Julia, 204;08403;Granollers;Barcelona;Spain;
999568;Accionaments I Automatismes G6, S.L.;4;+34938405545;;www.factorpotencia.com;www.abb.com;Avenida Sant Julia 204;08403;Granollers;Barcelona;Spain;
999569;Accis Ltda;4;+560412468214;accis@accisltda.cl;www.accisltda.cl;www.abb.com;Santa Paula 335;;Concepcion;Biobio;Chile;
999570;ACCURATE SOLUTIONS;4;+919601176844;nitin@accuratesolution.in;www.accuratesolution.in;www.abb.com;A-8, Path No. 4, Jamna Nagar, Sodala;302006;Jaipur;Rajasthan;India;
999571;Accure Power Technologies (P) Ltd;4;+918022959228;sales@accurepower.com;accurepower.com;www.abb.com;No.986,4th M Block, F Cross, SSI Area, Rajajinangar;560010;Bangalore;Karnataka;India;
999572;Accutech Middle East FZCO;4;+97143207944;sales@accutech.ae;www.accutech.ae;www.abb.com;G-Warehouse-1, Highbay, Silicon Oasis;30495;Dubai;Dubai;United Arab Emirates;
999573;AC-DC Ltd;4;+35964802350;office.pl@acdc-bg.com;www.acdc-bg.com;www.abb.com;Bul. Ruse 19, Et. 2;5800;Pleven;Pleven;Bulgaria;
999574;ACE Pillar Co Ltd;4;;;www.acepillar.com.tw;www.abb.com;2F., No.7, Ln. 83, Sec. 1, Guangfu Rd.;241;Sanchong Dist.,;New Taipei City;Taiwan (Chinese Taipei);
999575;ACRE Automation Co Ltd;4;;;www.acre-automation.com;www.abb.com;No. 128, Gaoneng Street, Qixianling, High-tech Industrial Park;116000;Dalian;Liaoning;China;
999576;ACS Drives & Control Systems Ltd;4;+353449340242;seamus.butler@acsdrives.ie;www.acsdrives.ie;www.abb.com;Unit 21, Zone CMullingar Business Park;N91 VX4V;Mullingar;County Westmeath;Ireland;
999577;ACS Industrietechnik GmbH;4;+499115283740;kontakt@acs-industrietechnik.de;www.acs-industrietechnik.de;www.abb.com;Lina-Ammon-Str. 22;90471;Nurnberg;Bayern;Germany;
999578;ACTOM Energy;4;+27215102550;energy.drives@actom.co.za;www.actomenergy.co.za;www.abb.com;55 Neptune Street Paarden Eiland;7405;Cape Town;Western Cape;South Africa;
999579;Adaro Tecnologia, SA;4;+34985347806;info@adaro.es;www.adaro.es;www.abb.com;Cl Jimena Fernandez De La Vega (Pq Cientifico Tecnologico Gijon Ed...;33203;Gijon;Asturias;Spain;
999580;Adelphi Automation Ltd;4;+441625560239;sales@adelphiautomation.co.uk;www.adelphiautomation.co.uk;www.abb.com;Unit 4, Castlehill Ind Estate, Bredbury;SK6 2SU;Stockport;Greater Manchester;United Kingdom;
999581;Ads Muhendislik Elektrik Elektronik Insaat San. ve Tic. Ltd. Sti.;4;+902164442374;info@adsmuhendislik.com.tr;www.adsmuhendislik.com.tr;www.abb.com;Serifali Mahallesi Turgut Ozal Bulvari, Burhan Sk. No:5;34775;Umraniye;Istanbul;Turkey;
999582;Advanced Automation LLC;4;+1(844)754-3292;info@advautomation.us;www.nhautomation.com;www.abb.com;27 Production Dr;03802;Dover;New Hampshire;United States;
999583;AEC Electro Mech Projects Pvt Ltd;4;+914428273404;contactus@aecprojects.in;;www.abb.com;Plot No.28, D.No:4A, 2nd Cross, Ratna Avenue-Minjur;601203;Chennai;Tamil Nadu;India;
999584;AED Automation GmbH;4;+49734820010;info@aed-automation.com;https://www.aed-automation.com/de/;www.abb.com;Lerchenbergstr. 23;89160;Dornstadt;Baden-Wurttemberg;Germany;
999585;AF-Industry AB;4;+46105050000;info@afconsult.com;www.afconsult.com;www.abb.com;Industrivagen 4;695 30;Laxa;Orebro Lan;Sweden;
999586;AF-Industry AB;4;+46105050000;info@afry.com;afconsult.com;www.abb.com;Frosundaleden 2;169 99;Solna;Stockholms Lan;Sweden;
999587;Agon Enerji Elektrik Otomasyon Ayd. San. ve Tic. Ltd. Sti.;4;;;ww.agonenerji.com.tr;www.abb.com;Macun Mah. Bati Bulvari, ATB Is Merkezi Apt. No: 1/253 Yenimahalle;06378;Ankara;Ankara;Turkey;
999588;AKE technologies GmbH;4;+49851955840;info@ake-technologies.de;www.ake-technologies.de;www.abb.com;Adolf-Hollinger Str. 3;94034;Passau;Bayern;Germany;
999589;Al Zubair General Trading LLC;4;+97143362532;zubairdxb@zubairdxb.com;www.zubaircorp.com;www.abb.com;Karama Area, Dubai Printing Press Building;---;Dubai;Dubai;United Arab Emirates;
999590;Alan Otomasyon Ve Muh. Hiz. Ve Tic.Ltd.Sti.;4;+903222339966;alan@alanotomasyon.com.tr;alanotomasyon.com.tr/;www.abb.com;Yesiloba Mah. Turhan Cemal Beriker Blv. E-5 Karayolu Uzeri No:486/B Seyhan / ADANA;01170;Adana;Adana;Turkey;
999591;Alfanar Electrical Systems;4;+966532529197;info_ind.automation@alfanar.com;www.alfanar.com;www.abb.com;Northern Ring Road Between Exits 5 & 6, Near King Abdulaziz Center for National Dialogue;11411;Riyadh;Riad;Saudi Arabia;
999592;Alfatronic Automacao Ltda;4;;contatos@alfatronic.com.br;www.alfatronicautomacao.com.br;www.abb.com;Av Ruben Bento Alves, 5247;95032-440;Caxias Do Sul;Rio Grande do Sul;Brazil;
999593;Algol Technics Oy;4;+358950991;info.technics.fi@algol.fi;www.algoltechnics.fi;www.abb.com;Karapellontie 6;02610;Espoo;Uusimaa;Finland;
999594;ALPHA CONTROLS INSTRUMENTS Pvt Ltd;4;+919335309551;;;www.abb.com;G-39, Upsidc, Deva Road, Chinhat;226019;Lucknow;Uttar Pradesh;India;
999595;Alpine Instruments CC;4;+27314628638;sales@alpineinstruments.co.za;www.alpineinstruments.co.za/;www.abb.com;133 Montclair Road;4001;Montclair, Durban;KwaZulu-Natal;South Africa;
999596;Alsanbo Electricidad;4;;;www.grupoalsanbo.com;www.abb.com;CALLE MIGUEL SERVET 22;03203;Elche;Alicante;Spain;
999597;Alseden General Trading Co;4;+9647901525351;sales@alseden.com;www.alseden.com;www.abb.com;Salman Faek St. Al Sadi Building - Level 3 office 18;12345;Baghdad;Baghdad;Iraq;
999598;ALSITER S.r.l.;4;+390583441301;info@alsiter.com;www.alsiter.com;www.abb.com;Via del Brennero 1040/F;55100;San Marco;Lucca;Italy;
999599;AMJ Electrical Services (Durban) cc.;4;+27317057405;scotty@amjelectrical.co.za;www.amjelectrical.co.za;www.abb.com;Unit 4 Henwood Park, 48 Henwood Road;3610;Pinetown;KwaZulu-Natal;South Africa;
999600;AML3D;4;+61882582658;;amltec.com;www.abb.com;35 Woomera Avenue;5111;Edinburgh;South Australia;Australia;
999601;AMServ Mitte GmbH & Co. KG;4;;kontakt-mitte@amserv.de;www.amserv.de;www.abb.com;Delitzscher Str. 74-76 drive via Trafoweg 4;06112;Halle;Sachsen-Anhalt;Germany;
999602;AMServ Nord GmbH & Co. KG;4;;kontakt-nord@amserv.de;www.amserv.de-AugsburgHRA14967;www.abb.com;Rondenbarg 13;22525;Hamburg;Hamburg;Germany;
999603;AMServ Sud GmbH & Co KG;4;;kontakt-sued@amserv.de;www.amserv.de-AugsburgHRA14965;www.abb.com;Oskar-von-Miller-Str. 2;86356;Neusass;Bayern;Germany;
999604;AMServ West GmbH & Co.KG;4;+49681841180;kontakt-west@amserv.de;www.amserv.de;www.abb.com;Gewerbegebiet Klingenthal 49;66578;Schiffweiler;Saarland;Germany;
