Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999575;ACRE Automation Co Ltd;4;;;www.acre-automation.com;www.abb.com;No. 128, Gaoneng Street, Qixianling, High-tech Industrial Park;116000;Dalian;Liaoning;China;
999609;Anhui Conch Information Technology Engineering Co Ltd;4;;;english.conch.cn;www.abb.com;yi jiang qu huo long gang zhen;241070;Wu Hu;Anhui;China;
999658;Beijing CNTEN Smart Technology Co Ltd;4;+861067972781;cnten@cnten.com;www.cnten.com;www.abb.com;No. 23 Huixin East Street,4th floor, No. 4001-4025 Rooms, Chaoyang District;100029;Beijing;Beijing;China;
999659;Beijing Createlead Technology Co Ltd;4;;;www.createlead.com;www.abb.com;Economic and Technological Development Zone, No. 1A, Donghuan North Road;100176;Beijing;Beijing;China;
999660;Beijing Jintai Tengda Technology Co Ltd;4;+861087725806;zjc720822@163.com;jttd.zgwxttl.com;www.abb.com;No. 78 Baiziwan South 2nd Road, No. 6 Building, 1st floor, Unit 1, No. 106 Room, Chaoyang District;100022;Beijing;Beijing;China;
999661;Beijing Shuaian Technology Development Co Ltd;4;+8662977186;shuaiankeji@vip.sina.com;;www.abb.com;West of Yamen Viliage, Mapo Town, Shunyi District;100016;Beijing;Beijing;China;
999662;Beijing USE Science & Technology Co Ltd;4;;;en.njtu.edu.cn/;www.abb.com;No.3 ShangYuanCun, HaiDian District;100044;Beijing;Beijing;China;
999681;BTA Automation Co Ltd;4;;;bta-automation.com;www.abb.com;No. 108 East Road Of North Fourth Ring Road, Yayuncun Area, Chaoyang District;100029;Beijing;Beijing;China;
999687;Chongqing Chuanyi Automation Co Ltd;4;;;www.cqcy.com/;www.abb.com;No.1, Renmin Village, Beibei District;401127;Chongqing;Chongqing;China;
999820;Guangdong LXD Robotics Co Ltd;4;+8675723838388;;www.lxdrobotics.com;www.abb.com;No. 2, Xianyong Avenue, Guangrong Industrical Park, Chencun Village, Shunde Zone;528000;Foshan;Guangdong;China;
