Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999822;Hallier Sarl;4;+33325713029;hallier.moteur@free.fr;www.ste-hallier.fr;www.abb.com;57-59 Rue Henri Dunant;10800;St Julien Les Villas;Aube;France;
999944;Monnier;4;;;www.monnier-pmd.fr;www.abb.com;810 Rue Du Verger;44150;Ancenis;Loire-Atlantique;France;
1000089;Solstice;4;+33130528509;jean-philippe.merlino@solutions-solstice.com;www.solutions-solstice.com;www.abb.com;4 Rue SALVADOR ALLENDE;78114;Magny Les Hameaux;Yvelines;France;
1000170;2ED;4;;;www.2ed.fr;www.abb.com;ZA EUROPE II;50000;ST LO;Manche;France;
1000171;2ED;4;+33233885520;;www.2edafdb.com;www.abb.com;175 RUE DES ENTREPRISES;50110;TOURLAVILLE;Manche;France;
1000172;2L Distribution;4;+33134441700;;www.2ldistribution.com;www.abb.com;1 Rue Gustave Eiffel Parc D'activites Des Colonnes;95130;Le Plessis Bouchard;Val-d'Oise;France;
1000175;Abelec Distribution;4;+33971359652;;www.abelec-26-07-electrical-supply-store.business.site;www.abb.com;9 Avenue de la Feuillade;26200;Montelimar;Drome;France;
1000184;Aed Bourgoin Jallieu;4;+33474436675;;www.sonepar.fr;www.abb.com;19 Rue Henri Barbusse;38300;Bourgoin Jallieu;Isere;France;
1000185;AER YESSS DISTRIBUTION;4;;;www.yesss-fr.com;www.abb.com;270 Avenue Des Patis;78680;Epone;Yvelines;France;
1000186;Aero Equipement Sas;4;+33148563140;;https://www.aeroequipement.com/;www.abb.com;257 Avenue Le Jour Se Leve;92100;Boulogne Billancourt;Hauts-de-Seine;France;
1000187;Aero Negoce International;4;+33467353333;;www.aeronegoce.com;www.abb.com;Route De Bedarieux;34500;Beziers;Herault;France;
1000189;Agence ID;4;+33494010159;;www.agence-id.net;www.abb.com;ZAC des Bousquets 101 Rue de l'Evolution;83390;Cuers;Var;France;
1000204;Algorel Sas;4;+33180505376;;www.algorel.fr;www.abb.com;29 Rue Du Colisee;75008;Paris;Paris;France;
1000206;Alliantz Pv;4;;;www.alliantz.fr;www.abb.com;44 Avenue Paul Sabatier;11100;Narbonne;Aude;France;
1000208;Alma Incendie;4;+33148667004;;www.alma-incendie.com/;www.abb.com;49 Rue Des Bles D Or;93150;LE BLANC MESNIL;Seine-Saint-Denis;France;
1000216;Alpincendie;4;+33479602417;;www.alp-incendie.fr;www.abb.com;270 Rue Pierre Et Marie Curie;73490;La Ravoire;Savoie;France;
1000217;Alptec;4;+33145987340;;www.alptec.fr;www.abb.com;2 Allee Du Pavillon;94520;Mandres Les Roses;Val-de-Marne;France;
1000219;Altofeu Sarl;4;+33387050778;;www.altofeu.fr;www.abb.com;2 Rue Maurice Vautrin;57590;Delme;Moselle;France;
1000226;ANDRETY - CARPENTRAS;4;;;www.andrety.fr/;www.abb.com;1113 Avenue Dwight-Eisenhower;84200;Carpentras;Vaucluse;France;
1000227;Andrety Saint Maximin;4;+33494598131;;www.andrety.fr;www.abb.com;Route De Barjols;83470;Saint Maximin;Var;France;
1000228;Andrez Brajon Dupont Est - Epinal;4;+33329682525;;www.andrezbrajon.fr;www.abb.com;7 Rue De La Voivre;88000;Epinal;Vosges;France;
1000229;Andrez Brajon Dupont Est - Essey Les Nancy;4;+33383291584;;www.espace-aubade.fr;www.abb.com;97 Avenue 69 Regiment D Infanterie;54270;Essey Les Nancy;Meurthe-et-Moselle;France;
1000230;Andrez Brajon Dupont Est - Longwy;4;+33382235813;;www.ad-by-aubade.fr;www.abb.com;ZAC du Petit Breuil;54400;Longwy;Meurthe-et-Moselle;France;
1000231;Andrez Brajon Dupont Est - Ludres;4;+33383376565;;www.andrezbrajon.fr;www.abb.com;75 Impasse Claude Louis Berthollet;54710;Ludres;Meurthe-et-Moselle;France;
1000232;Andrez Brajon Dupont Est - Maxeville;4;+33383398080;;www.espace-aubade.fr;www.abb.com;4 Avenue Du General De Gaulle;54320;Maxeville;Meurthe-et-Moselle;France;
1000233;Andrez Brajon Dupont Est - Moncel Les Luneville;4;+33381403535;;www.espace-aubade.fr;www.abb.com;36 Avenue De L Europe;54300;Moncel Les Luneville;Meurthe-et-Moselle;France;
1000234;Andrez Brajon Dupont Est - St Etienne Les Remiremont;4;+33329231993;;www.andrezbrajon.fr;www.abb.com;7 Rue Du Pont De Cheneau;88200;St Etienne Les Remiremont;Vosges;France;
1000235;Andrez Brajon Dupont Est Bettancour;4;+33325044229;;www.andrezbrajon.fr;www.abb.com;13 Route De Bar Le Duc;52100;Bettancourt La Ferree;Marne (Haute);France;
1000236;Andrez Brajon Dupont Est Ste Margue;4;+33329550312;;www.espace-aubade.fr;www.abb.com;Centre D Activites;88100;Sainte-Marguerite;Vosges;France;
1000237;Andrez Brajon Gilliotte;4;+33329948702;;www.andrezbrajon.fr;www.abb.com;26 Avenue De Herringen;88300;Neufchateau;Vosges;France;
1000241;Anixter France Sarl;4;;;www.anixter.fr;www.abb.com;5 Rue Francis De Pressense;93210;La Plaine Saint Denis;Seine-Saint-Denis;France;
1000242;Appareillage Electrique Dauphinois;4;+33476095236;;aed.sonepar.fr;www.abb.com;2 Avenue Paul Verlaine;38100;Grenoble;Isere;France;
1000243;Appareillage Electrique Du Rhone;4;+33478569595;;www.wireplast.fr;www.abb.com;Rue Jules Verne;69630;Chaponost;Rhone;France;
1000244;Approvisionement Electrique Distribution;4;+33490710439;;www.aedcavaillon.com;www.abb.com;860 Route De Robion;84300;Cavaillon;Vaucluse;France;
1000245;Approvisionnement Electrique;4;+33494000210;;www.approelec.com;www.abb.com;325 Avenue De Draguignan;83130;La Garde;Var;France;
1000246;Approvisionnement Electrique;4;+33494109955;;www.approelec.com;www.abb.com;AVENUE DE L EUROPE;83140;SIX FOURS LES PLAGES;Var;France;
1000247;Approvisionnement Electrique;4;+33491214131;;www.approelec.com;www.abb.com;21, Boulevard de la Maison Blanche;13014;Marseille;Bouches-du-Rhone;France;
1000248;Approvisionnement Electrique;4;+33494510065;;www.approelec.com;www.abb.com;873 Av De Lattre De Tassigny;83600;Frejus;Var;France;
1000249;Approvisionnement Et Distribution De Materiel Electrique.;4;+33493077531;;www.adme06.com;www.abb.com;69 Rue De Roquebilliere;06300;Nice;Alpes-Maritimes;France;
1000250;Aquitaine Eclairage;4;+33556130947;;www.aquitaine-eclairage.com;www.abb.com;16 Rue Jean Perrin;33700;Merignac;Gironde;France;
1000268;Atlantique Composants;4;+33240477040;;www.atlantique-composants.fr;www.abb.com;4 Rue De La Treillerie;49070;Beaucouze;Maine-et-Loire;France;
1000269;AU FORUM DE L ENERGIE;4;+33170276190;;www.auforumdelenergie.com/electricite-2;www.abb.com;29 BIS VOIE DU MORT RU;91310;LONGPONT SUR ORGE;Essonne;France;
1000270;Au Forum Du Batiment;4;+33140128585;;www.afdb.fr;www.abb.com;3 Boulevard jean jaures;93400;St Ouen;Seine-Saint-Denis;France;
1000271;AU FORUM DU BATIMENT;4;+33130287590;;www.afdb.fr;www.abb.com;76 Rue Nicolas Copernic;60230;Chambly;Oise;France;
1000272;Audit Assitance Securite Incendie;4;+33130589606;;www.aasi.fr;www.abb.com;5 RUE CHARLIE CHAPLIN;78390;Bois D'arcy;Yvelines;France;
1000273;Augelec;4;+33473892058;;www.augelec.com;www.abb.com;La Vaure;63500;Le Broc;Puy-de-Dome;France;
1000274;Aurelec;4;+33587310060;;aurelec.fr/;www.abb.com;7 T Rue Des Peupliers;19200;Ussel;Correze;France;
1000275;Aurelec;4;+33784447383;bordeaux@aurelec.fr;www.aurelec.fr;www.abb.com;14, Rue Gaspard Mongezi Bersol;33610;Canejan;Gironde;France;
1000276;Aurelec;4;+33471627579;;aurelec.fr;www.abb.com;13 Rue Jacques Prevert;15000;Aurillac;Cantal;France;
1000278;Auschitzky Bruges;4;+33556439696;;www.auschitzky.fr;www.abb.com;4 Rue De Fieuzal;33520;Bruges;Gironde;France;
1000285;Axdispro;4;+33142704546;;www.axdispro.com;www.abb.com;142 Boulevard Victor Hugo;92110;Clichy;Hauts-de-Seine;France;
1000288;BAFA;4;+33160868283;;www.bafa-sa.com;www.abb.com;10 Rue Du Canal;91070;Bondoufle;Essonne;France;
1000289;Bailly Quaireau;4;+33251497497;;www.bailly-quaireau.fr;www.abb.com;22 Rue Des Artisans;85300;Challans;Vendee;France;
1000290;Baltzinger;4;+33388208920;;www.baltzinger-online.com;www.abb.com;18 RUE DES TUILLERIES;67460;SOUFFELWEYERSHEIM;Bas-Rhin;France;
1000291;Baltzinger - Sonepar;4;;;baltzinger.sonepar.fr/;www.abb.com;1 Rue du Doubs;67000;Strasbourg;Bas-Rhin;France;
1000294;BATIMANTES;4;+33134902490;;www.batimantes.fr;www.abb.com;47 Rue Desire Clement;78700;Conflans Ste Honorine;Yvelines;France;
1000306;BFSA;4;+33493905858;;www.balitrand.fr;www.abb.com;17 Rue Mal Des Logis J Fellegara;06400;Cannes;Alpes-Maritimes;France;
1000307;BFSA;4;;;www.balitrand.fr;www.abb.com;183 Avenue De La Roubine;06150;Cannes La Bocca;Alpes-Maritimes;France;
1000308;Bianchi SA;4;+33495592000;;www.bianchi-elec.fr;www.abb.com;20 Impasse Des Arbousiers Rn 193;20600;Furiani;Corse-du-Sud;France;
1000310;Bizline SAS;4;;;www.bizline.com;www.abb.com;13 BLD DU FORT DE VAUX;75017;Paris;Paris;France;
1000314;Boudard & Cie Materiel Elect Sud Ouest;4;+33467503000;;www.materiel-electrique-34.com;www.abb.com;Route De Carnon;34477;Perols;Herault;France;
1000319;Brico Prive Sas;4;+33231525757;;www.bricoprive.com;www.abb.com;9-11 Rue De Kourou;31240;L Union;Garonne (Haute);France;
1000320;BROSSETTE;4;+33472720505;;fr.linkedin.com/company/brossette-wolseley-group-;www.abb.com;23 Rue Crepet;69007;Lyon;Rhone;France;
1000321;BROSSETTE SAINT AIGNAN GRANDLIEU;4;;;www.cedeo.fr;www.abb.com;15 Rue Antoine De Saint Exupery;44860;St Aignan Grandlieu;Loire-Atlantique;France;
1000322;Brunet Holding;4;+33549623402;;www.brunet-groupe.fr;www.abb.com;2 B Allee Des Cytises;86360;Chasseneuil Du Poitou;Vienne;France;
1000324;Btc-em;4;+33382885588;;www.btc-em.com;www.abb.com;11 Rue Des Serruriers;57070;Metz;Moselle;France;
1000329;BURON DISTRIBUTION SAS LAVAL;4;;;www.buron.fr;www.abb.com;169 BOULEVARD DENIS PAPIN;53000;Laval;Mayenne;France;
1000331;C.C.E;4;+33479341717;;www.beicc.fr/;www.abb.com;703 Rue Boucher De La Rupelle;73100;Gresy Sur Aix;Savoie;France;
1000332;C.D. SUD;4;+33496151490;;www.cd-sud.com;www.abb.com;1 Rue Albert Cohen;13016;Marseille;Bouches-du-Rhone;France;
1000333;C.E.R.A. Technologies;4;+33492008292;;www.ceratechnologies.com;www.abb.com;253 Boulevard Du Mont Boron;06300;Nice;Alpes-Maritimes;France;
1000334;C2A COOPERATIVE ARTISANALE D ACHAT;4;+33473279722;;www.C2Aconcept.fr;www.abb.com;1 Rue Andre Marie Ampere;63360;Gerzat;Puy-de-Dome;France;
1000335;CA2E;4;+33160272350;;www.ca2e.com;www.abb.com;13 Rue Charles Cordier;77164;Ferrieres En Brie;Seine-et-Marne;France;
1000336;CA2E;4;+33145911980;;www.ca2e.com;www.abb.com;4 Bis Rue Sigonneau Parc Modus;93150;Le Blanc Mesnil;Seine-Saint-Denis;France;
1000337;CA2E;4;+33344836370;;www.ca2e.com;www.abb.com;7 Rue Du Fonds Pernant;60200;Compiegne;Oise;France;
1000338;Cabus & Raulot Aubagne;4;+33442823701;;cabus.sonepar.fr;www.abb.com;181 Avenue Du Douard, Zi La Paluds;13400;Aubagne;Bouches-du-Rhone;France;
1000339;Cabus & Raulot Marseille Nord;4;+33491434223;;cabus.sonepar.fr;www.abb.com;151 Avenue Des Aygalades;13015;Marseille;Bouches-du-Rhone;France;
1000340;Cabus & Raulot Port De Bouc;4;+33442067239;;cabus.sonepar.fr;www.abb.com;Avenue Auguste Marius Peyre, Zi De La Grand`colle;13110;Port De Bouc;Bouches-du-Rhone;France;
1000341;Cabus & Raulot Salon De Provenc;4;+33490451650;;cabus.sonepar.fr;www.abb.com;Rue Ventadouiro, Parc D`activite De Gandonne, Bat B;13300;Salon De Provence;Bouches-du-Rhone;France;
1000342;Cabus Et Raulot;4;+33491434200;;www.sonepar.fr;www.abb.com;585 Rue Georges Claude, Pole d'activite Aix les Milles;13852;Aix en Provence;Bouches-du-Rhone;France;
1000343;Cadelec Vynckier;4;+33238228740;;www.sfgp-sigmadis-cadelec.fr;www.abb.com;805, rue des Chataigniers - BAT F14 - ZI ORMES;45770;Saran;Loiret;France;
1000345;Caera;4;+33322664000;;www.sonepar.fr;www.abb.com;43 Rue Sully;80000;Amiens;Somme;France;
1000348;CALVEZ ELECTRICITE;4;+33296856370;;www.calvez-electricite.fr;www.abb.com;13 Rue Des Prunus;22100;Dinan;Cotes-d'Armor;France;
1000353;Capa Coop Agricole De La Plaine De L'ariege;4;+33561679270;;www.capa09.com;www.abb.com;Rn 20 - Le Vernet;09700;Saverdun;Ariege;France;
1000354;CAPCEL;4;+33238468500;;;www.abb.com;37 AVENUE DENIS PAPIN;45800;SAINT JEAN DE BRAYE;Loiret;France;
1000355;Cappe Soredis;4;;;www.cappe-soredis.com;www.abb.com;6 Rue De La Garenne;44700;Orvault;Loire-Atlantique;France;
1000359;CBS Landivisiau;4;+33298680202;;www.bretagne-sanitherm.fr;www.abb.com;28 Rue Charles Le Goffic;29400;Landivisiau;Finistere;France;
1000360;CCL ALBI;4;+33563541225;;www.ccl.fr;www.abb.com;236 Avenue Albert Thomas;81000;Albi;Tarn;France;
1000361;CCL BALMA;4;+33563716520;;www.ccl.fr;www.abb.com;9 Avenue Prat Gimont;31130;Balma;Garonne (Haute);France;
1000362;CCL Beziers;4;+33499432260;;https://www.ccl.fr/;www.abb.com;350 R Alphonse Beau De Rochas;34500;Beziers;Herault;France;
1000363;CCL COLOMIERS ELECTRICITE;4;+33563716500;;www.ccl.fr;www.abb.com;4 Chemin De La Chasse;31773;Colomiers;Garonne (Haute);France;
1000364;CCL MONTAUBAN;4;+33563716500;;www.ccl.fr;www.abb.com;1051 Avenue De Cos;82000;Montauban;Tarn-et-Garonne;France;
1000365;CCL PERPIGNAN;4;+33563716500;;www.ccl.fr;www.abb.com;Av. Julien Panchot - km 4;66029;Perpignan;Pyrenees-Orientales;France;
1000366;CCL TOULOUSE THIBAUD;4;+33534602474;;www.ccl.fr;www.abb.com;25 Rue Boudeville;31000;Toulouse;Garonne (Haute);France;
1000367;Cdl Elec Brest;4;;;www.cdl-elec.fr;www.abb.com;48 Rue De Tourbian, ZI De Kergonan;29490;Guipavas;Finistere;France;
1000368;CDL ELEC SAINT LEONARD;4;;;www.cdl-elec.fr;www.abb.com;14 RUE BLERIOT;62360;Saint Leonard;Pas-de-Calais;France;
1000369;Cedi;4;+33298646490;;www.cedi-electromenager.com;www.abb.com;51 Rue Guy Autret Bp 637;29000;Quimper;Finistere;France;
1000370;Cef;4;;;www.yesss-fr.com;www.abb.com;3 Rue De La Duronne;07200;Aubenas;Ardennes;France;
1000371;CEF;4;+33241605454;;www.yesss-fr.com;www.abb.com;23 RUE HAPINET;49124;ST BARTHELEMY D ANJOU;Maine-et-Loire;France;
1000372;CEF;4;+33442467450;;www.cef-fr.com;www.abb.com;Rue Des Saladelles;13920;Saint Mitre Les Remparts;Bouches-du-Rhone;France;
1000373;CEF AGEN - Agence 280;4;+33553484430;;www.yesss-fr.com/;www.abb.com;7 Zac Rigoulet;47550;Boe;Lot-et-Garonne;France;
1000374;CEF ALES SUD AG 292;4;;;www.yesss-fr.com;www.abb.com;1115 Route d'Uzes;30100;Ales;Gard;France;
1000375;CEF ANGERS OUEST;4;+33241431476;;www.yesss-fr.com;www.abb.com;6 RUE DE L'EBEAUPIN;49070;BEAUCOUZE;Maine-et-Loire;France;
1000376;CEF ANGOULEME AG 11;4;+33545681000;;www.yesss-fr.com;www.abb.com;46 Route De L'isle D'espagnac;16160;Gond Pontouvre;Charente;France;
1000377;CEF ARLES AG 193;4;+33490938735;;www.yesss-fr.com;www.abb.com;5 Chemin Du Temple;13200;Arles;Bouches-du-Rhone;France;
1000378;CEF BAYONNE AG 291;4;;;www.yesss-fr.com;www.abb.com;4 Chemin De Trouillet;64100;Bayonne;Pyrenees-Atlantiques;France;
1000379;CEF BEAUREPAIRE AG 302;4;+33475037777;;www.yesss-fr.com;www.abb.com;ZONE ARTISANALE DU MORNAY;26210;LAPEYROUSSE MORNAY;Drome;France;
1000380;CEF Bergerac;4;+33553739019;;www.yesss-fr.com;www.abb.com;Avenue Zone Activite Economique;24100;Creysse;Dordogne;France;
1000381;Cef Beziers Nord Ag 218;4;+33467090996;;www.yess-fr.com;www.abb.com;Rue Nicolas Joseph Cugnot Zac De Mercorent;34500;Beziers;Herault;France;
1000382;Cef Brioude;4;;;www.yesss-fr.com;www.abb.com;Zi Chaud Basse;43100;Cohade;Loire (Haute);France;
1000383;CEF CAHORS AG 24;4;+33565226522;;www.yesss-fr.com;www.abb.com;Rue De Saint Etienne;46000;Cahors;Lot;France;
1000384;CEF CARCASSONNE AG 80;4;+334681025000;;www.yesss-fr.com;www.abb.com;Boulevard Denis Papin;11000;Carcassonne;Aude;France;
1000385;CEF CHALON SUR SAONE;4;;;www.yesss-fr.com;www.abb.com;21 RUE LOUIS JACQUES THENARD;71100;CHALON-SUR-SAONE;Saone-et-Loire;France;
1000386;CEF CONCARNEAU;4;+33475625570;;https://www.yesss-fr.com/;www.abb.com;ZI DE KERSALE;29900;CONCARNEAU;Finistere;France;
1000387;CEF Construction;4;;;www.yesss-fr.com;www.abb.com;76 rue des Tiphoines;91240;Saint Michel sur Orge;Essonne;France;
1000388;CEF CREST AG 214;4;+33475625570;;www.yesss-fr.com;www.abb.com;34 Rue Maurice Barral;26400;Crest;Drome;France;
1000389;CEF DEAUVILLE;4;;;www.yesss-fr.com;www.abb.com;Boite Postale 63 TOUQUES;14800;Deauville;Calvados;France;
1000390;CEF DG SUD OUEST;4;+33556392322;;https://www.yesss-fr.com/;www.abb.com;RUE FRANCIS GARNIER;33000;BORDEAUX;Gironde;France;
1000391;CEF DINAN AG 209;4;+33296392222;;www.yesss-fr.com;www.abb.com;10 Rue du Noroit;22100;Taden;Cotes-d'Armor;France;
1000392;CEF DR BRETAGNE EST;4;;;www.yesss-fr.com;www.abb.com;10 RUE DES GUERETS BP 45224;44352;GUERANDE;Loire-Atlantique;France;
1000393;CEF DR CENTRE;4;+33238222037;;https://www.yesss-fr.com;www.abb.com;117 RUE SAINT MARCEAU;45000;ORLEANS;Loiret;France;
1000394;CEF DR LIMOUSIN;4;+33545664343;;https://www.yesss-fr.com/;www.abb.com;496 Avenue de navarre;16000;ANGOULEME;Charente;France;
1000395;CEF DR MIDI-PROVENCE;4;+33490147020;;www.erea.be;www.abb.com;385 RUE DU GRAND GIGOGNAN;84000;AVIGNON;Vaucluse;France;
1000396;CEF DR PARIS NORD OUEST;4;;;www.yesss-fr.com;www.abb.com;107 RUE DE PARIS;95310;ST OUEN L AUMONE;Val-d'Oise;France;
1000397;CEF Entreprise Generale De Batiment;4;+33164495128;;www.yesss-fr.com;www.abb.com;76 Rue Des Tiphoines;91240;St Michel Sur Orge;Essonne;France;
1000398;CEF Gap Ag 192;4;+33492209927;;www.yesss-fr.com;www.abb.com;16 Avenue Emile Didier;05000;Gap;Alpes (Hautes);France;
1000399;CEF ISLE SUR SORGUE AG 113;4;+33490389424;;www.yesss-fr.com;www.abb.com;25 AVENUE PETITE MARINE;84800;L'isle Sur La Sorgue;Vaucluse;France;
1000400;Cef La Ferte Bernard;4;;;www.yesss-fr.com;www.abb.com;Za Les Carrieres;72400;CHERRE;Sarthe;France;
1000401;CEF LANNION;4;+33296057640;;https://www.yesss-fr.com/;www.abb.com;8 BIS AVENUE PIERRE MARZIN;22300;LANNION;Cotes-d'Armor;France;
1000402;Cef Marguerittes;4;+33466029370;;www.yesss-fr.com;www.abb.com;Allee Jean Mermoz Zac Du Tec;30320;Marguerittes;Gard;France;
1000403;CEF MARSEILLE;4;;;www.yesss-fr.com;www.abb.com;49 RUE BENJAMIN DELESSERT;13010;MARSEILLE;Bouches-du-Rhone;France;
1000404;Cef Montaudran Ag 236;4;+33561170031;;www.yesss-fr.com;www.abb.com;9 Avenue De La Marcaissonne;31400;Toulouse;Garonne (Haute);France;
1000405;CEF MONTELIMAR;4;;;www.yesss-fr.com;www.abb.com;10 RUE PERTDIGUIER;26200;MONTELIMAR;Drome;France;
1000406;CEF MONTLUCON AG 224;4;+33470054444;;www.yesss-fr.com;www.abb.com;Rue Jules Bournet;03100;Montlucon;Allier;France;
1000407;Cef Nord;4;;;www.cefnord.com;www.abb.com;80 Rue D Ennevelin;59710;Avelin;Nord;France;
1000408;CEF PARTHENAY AG 233;4;+33247370035;;www.yesss-fr.com;www.abb.com;2 Boulevard de l'Europe;79200;Parthenay;Sevres (Deux);France;
1000409;Cef Pontivy Ag 148;4;+33297283101;;www.yesss-fr.com;www.abb.com;Rue Henri Moissan;56920;Noyal Pontivy;Morbihan;France;
1000410;CEF PROPRIANO AG 306;4;+33495520101;;www.yesss-fr.com;www.abb.com;38 Quai Saint Joseph;20110;Propriano;Corse-du-Sud;France;
1000411;CEF RIOM AG 245;4;+33473645970;;www.yesss-fr.com;www.abb.com;4 Rue Rene Robin;63200;Mozac;Puy-de-Dome;France;
1000412;CEF SAINT-BRIEUC;4;+33296330002;;www.yesss-fr.com;www.abb.com;10 RUE BERTHOLLET;22000;ST BRIEUC;Cotes-d'Armor;France;
1000413;CEF SAINTE MAXIME AG 271;4;+33494170202;;www.yesss-fr.com;www.abb.com;Route Du Plan De La Tour Quartier Figuiere;83120;Sainte-Maxime;Var;France;
1000414;CEF SARLAT AG 231;4;+33553592763;;www.yesss-fr.com;www.abb.com;Avenue De La Dordogne;24200;Sarlat La Caneda;Dordogne;France;
1000415;CEF SAS PORTO VECCHIO AG 296;4;;;www.yesss-fr.com;www.abb.com;Lieu Dit Vetta;20137;Porto-Vecchio;Corse-du-Sud;France;
1000416;CEF TONNAY CHARENTE AG 208;4;+33546880202;;www.yesss-fr.com;www.abb.com;1 Rue Nicolas Appert;17430;Tonnay Charente;Charente-Maritime;France;
1000417;CEF TOULON AG 303;4;;;www.yesss-fr.com;www.abb.com;Boulevard Ferdinant De Lesseps;83000;Toulon;Var;France;
