Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999566;abacon Gesellschaft fur Mess-, Steuer- und Regeltechnik mbH;4;+4961736071-0;automatisierung@abacon.org;www.abacon.org;www.abb.com;Hauptstr. 392;65760;Eschborn;Hessen;Germany;
999577;ACS Industrietechnik GmbH;4;+499115283740;kontakt@acs-industrietechnik.de;www.acs-industrietechnik.de;www.abb.com;Lina-Ammon-Str. 22;90471;Nurnberg;Bayern;Germany;
999584;AED Automation GmbH;4;+49734820010;info@aed-automation.com;https://www.aed-automation.com/de/;www.abb.com;Lerchenbergstr. 23;89160;Dornstadt;Baden-Wurttemberg;Germany;
999588;AKE technologies GmbH;4;+49851955840;info@ake-technologies.de;www.ake-technologies.de;www.abb.com;Adolf-Hollinger Str. 3;94034;Passau;Bayern;Germany;
999601;AMServ Mitte GmbH & Co. KG;4;;kontakt-mitte@amserv.de;www.amserv.de;www.abb.com;Delitzscher Str. 74-76 drive via Trafoweg 4;06112;Halle;Sachsen-Anhalt;Germany;
999602;AMServ Nord GmbH & Co. KG;4;;kontakt-nord@amserv.de;www.amserv.de-AugsburgHRA14967;www.abb.com;Rondenbarg 13;22525;Hamburg;Hamburg;Germany;
999603;AMServ Sud GmbH & Co KG;4;;kontakt-sued@amserv.de;www.amserv.de-AugsburgHRA14965;www.abb.com;Oskar-von-Miller-Str. 2;86356;Neusass;Bayern;Germany;
999604;AMServ West GmbH & Co.KG;4;+49681841180;kontakt-west@amserv.de;www.amserv.de;www.abb.com;Gewerbegebiet Klingenthal 49;66578;Schiffweiler;Saarland;Germany;
999636;Automation in GUS GmbH;4;+4961819080896;autgus@autgus.com;www.autgus.com;www.abb.com;Friedrichstr. 28;63477;Maintal;Hessen;Germany;
999645;Avantec Antriebs- und Pumpentechnik GmbH;4;+492411689800;info@avantec-gmbh.de;www.avantec-gmbh.de;www.abb.com;Rutherford 106;52072;Aachen;Nordrhein-Westfalen;Germany;
999673;Blumenbecker Industrie-Service GmbH;4;+49252184060;info@blumenbecker.com;www.blumenbecker-industrieservice.com;www.abb.com;Sudhoferweg 99-107;59269;Beckum;Nordrhein-Westfalen;Germany;
999685;Carat Robotic Innovation GmbH;4;+492319700151;info@carat-robotic.de;www.carat-robotic.de;www.abb.com;Joseph-von-Fraunhofer Str. 20;44227;Dortmund;Nordrhein-Westfalen;Germany;
999708;CTS GmbH competence for technical solutions;4;+498679916890;burgkirchen@cts-gmbh.de;www.group-cts.de;www.abb.com;Fuhrmannstr. 10;84508;Burgkirchen;Bayern;Germany;
999717;Delta Control Gesellschaft fur Automation mbH;4;+492236880770;info@deltacontrol.de;www.deltacontrol.de;www.abb.com;Otto-Hahn-Strasse 7;50997;Koln (Godorf);Nordrhein-Westfalen;Germany;
999720;DESMA Schuhmaschinen GmbH;4;+4942029900;info@desma.de;www.desma.de;www.abb.com;Desmastr. 3-5;28832;Achim;Niedersachsen;Germany;
999722;Dietz Automation & Umwelttechnik GmbH;4;+4966949191-01;info@dietz-automation.de;www.dietz-automation.de;www.abb.com;Sandgarten 2;34626;Neukirchen;Hessen;Germany;
999731;E1 Energiemanagement GmbH;4;+49911812940;;www.industrie.wisag;www.abb.com;Lina-Ammon-Str. 3;90471;Nuernberg;Bayern;Germany;
999732;EAS GmbH Elektrische Antriebs- und Systemtechnik;4;+494282592810;info@eas-vierden.de;www.eas-vierden.de;www.abb.com;Ippensen Süd 6;27419;Vierden;Niedersachsen;Germany;
999740;Elbatron GmbH;4;+49410280770;info@elbatron.de;www.elbatron.de;www.abb.com;Roggenweg 3;22926;Ahrensburg;Schleswig-Holstein;Germany;
999750;Elektro Kreutzpointner GmbH;4;;elektro@kreutzpointner.de;www.kreutzpointner.de;www.abb.com;Burgkirchener Str. 3;84489;Burghausen;Bayern;Germany;
999759;Elko Vertriebs-GmbH fur elektrotech;4;+49234926080;office@elko-gmbh.de;www.elko-gmbh.de;www.abb.com;Werner Hellweg 530;44894;Bochum;Nordrhein-Westfalen;Germany;
999760;ELPRO Elektroanlagen Behncke GmbH;4;+49511167980;info@elpro-hannover.de;www.elpro-hannover.de;www.abb.com;Kornstr. 14;30167;Hannover;Niedersachsen;Germany;
999762;Emb Service GmbH Elektromaschinenbau;4;+49371674140;info@emb-service.de;www.emb-service.de;www.abb.com;Jagerstr. 9-13;09111;Chemnitz;Sachsen;Germany;
999764;EMS Elektromotoren GmbH;4;+4994449760;info@ems-elektromotoren.de;www.ems-elektromotoren.de;www.abb.com;Gewerbegebiet Egelsee 13;93354;Siegenburg;Bayern;Germany;
999765;EMSR Industrieautomation GmbH;4;+495131485010;info@emsr-garbsen.de;www.emsr-garbsen.net;www.abb.com;Dieselstr. 25A;30827;Garbsen;Niedersachsen;Germany;
