Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999629;Astra Otoparts - Winteq Division;4;+622187901713;support@winteq-astra.com;www.winteq-astra.co.id;www.abb.com;Jl. Raya Jakarta Bogor Km. 47.3, Cibinong;16912;Bogor;Jawa Barat;Indonesia;
999678;Boveri Indonesia, PT;4;;sales@boveri.co.id;www.boveri.co.id;www.abb.com;Jl. Bulevar Artha Gading Blok C No.27;14240;Jakarta Utara;Jakarta;Indonesia;
999682;Buana Cahayatama, PT;4;+62315631530;irawan@buana-ct.co.id;www.buana-ct.co.id;www.abb.com;Vila Bukit Mas Block RC-12;60225;Surabaya;Jawa Timur;Indonesia;
999718;DELTAKITA TATAJAYA PT.;4;021-55735601/021-55735602;titin@deltakita.com;;www.abb.com;KOMPLEK RUKO GLODOK PLAZA BLOK F NO.119, JL.HAYAM WURUK;11180;JAKARTA BARAT;Jakarta;Indonesia;
999856;Industrial Robotic Automation, PT;4;+62(31)7451001;info@irarobotics.com;irarobotics.com;www.abb.com;Jl. Raya Bringin No.32, Bringin, Sambikerep;60218;Surabaya;Jawa Timur;Indonesia;
1000056;Sapta Wahana Pratama Lestari, PT;4;+62614516065;info@ptswpl.com;www.ptswpl.com;www.abb.com;Jl. Raden Saleh No. 81 Kesawan;20111;Medan Barat;Sumatera Utara;Indonesia;
1000182;ADIDAYA BANGUN BERSAMA, CV;4;061-4566868061-4538452;adidayabangunbersama@gmail.com;;www.abb.com;Jl. Sisingamangaraja No. 88 B-C LK II Mesjid;20214;Medan;Sumatera Utara;Indonesia;
1000192;Aksel Kreasi Utama, PT.;4;021-6592031;afriyan.a.ramadhan@akselku.com;;www.abb.com;Jl. Gunung Sahari Raya No. 41 Gunung Sahari Utara Sawah Besar;10720;Jakarta Pusat;Jakarta;Indonesia;
1000224;Andalan Bangun Bhuana Baru, PT;4;031-5353535,031-5464646;kahael.ind@gmail.com;;www.abb.com;Jl. Tembaan No.17, Alun-alun Contong, Kec. Bubutan, Surabaya;60174;Jawa Timur;Jawa Timur;Indonesia;
1000238;Aneka Distrindo, CV;4;031-8414729,031-8490476;aneka_dis@yahoo.com;www.kursustristar.com;www.abb.com;Jl.Undaan Kulon II/16 RT.001 RW.007 Peneleh - Genteng;60274;Surabaya;Jawa Timur;Indonesia;
