Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999561;A.M.Tech S.r.l.;4;;;www.amtech.it;www.abb.com;Via Dei Mulini 156;25039;Travagliato;Brescia;Italy;
999598;ALSITER S.r.l.;4;+390583441301;info@alsiter.com;www.alsiter.com;www.abb.com;Via del Brennero 1040/F;55100;San Marco;Lucca;Italy;
999622;ART.EL. S.r.l.;4;;;www.artelimpianti.it;www.abb.com;Via Carrozzieri 32;55041;Camaiore;Lucca;Italy;
999623;Artimpianti S.R.L;4;+390175231858;;www.artimpianti.it;www.abb.com;Via Busca, 57;12024;Costigliole Saluzzo;Cuneo;Italy;
999656;BB Service Di Bruschi Fabio;4;;info@bbservicestore.com;;www.abb.com;Viale Galileo Snc - Nuova Zona Arti;54033;Carrara;Massa Carrara;Italy;
999664;Bellotti Elettromeccanica S.r.l.;4;;bellotti@elbe.it;www.elbe.it;www.abb.com;Via John Fitzgerald Kennedy 642;21050;Marnate;Varese;Italy;
999674;BM Group Polytec S.p.A.;4;+390465621794;sales@bmgroup.com;polytec.bmgroup.com;www.abb.com;Via Roma, 151;38083;Borgo Chiese;Trento;Italy;
999689;Cimme Commercio Internazionale Macchinario E Materiale Elettrico S.r.l.;4;+39037751094;info@cimme.it;https://www.cimme.it/;www.abb.com;Via Alcide De Gasperi 19;26862;Guardamiglio;Lodi;Italy;
999725;D-Tec S.r.l.;4;;info@d-tec.it;www.d-tec.it;www.abb.com;Via Brodolini 10/C;20863;Concorezzo;Monza e della Brian.;Italy;
999730;E.I.L. S.r.l.;4;+3463273916;info@eilsrl.it;www.eilsrl.it;www.abb.com;Via Mascagni 30;55016;Porcari;Lucca;Italy;
999737;Effetre Fenice Energia S.r.l.;4;+390297191075;;www.fenicenergia.com;www.abb.com;Via Felice Cavallotti 15;20122;Milano;Milano;Italy;
999756;Elettromec S.r.l.;4;042324439;info@elettromec.net;www.elettromecsrl.it;www.abb.com;Via Aglaia Anassillide 148A;31044;Montebelluna;Treviso;Italy;
999758;Elin SAS Di Pasotti Diego Impianti Elettrici Civili E Industriali;4;;pasotti@elinsas.it;;www.abb.com;Via Industriale 141, Localita San Giorgio;25020;Capriano Del Colle;Brescia;Italy;
999768;EPISTOLIO S.r.l.;4;+390332212692;info@epistolio.com;www.epistolio.it;www.abb.com;Via Piemonte 120;21100;Varese;Varese;Italy;
999771;Espertia Italia S.r.l.;4;;info@espertia.com;www.espertia.com;www.abb.com;Via Giulio Pastore, 27;47922;Rimini;Rimini;Italy;
999774;Euro S.E.I. Servizi Elettromeccanici Industriali s.a.s.;4;+390331739877;info@euro-sei.com;www.euro-sei.com;www.abb.com;Via Matteotti, 24;21051;Arcisate;Varese;Italy;
999775;Eurotec S.r.l.;4;+390516321595;info@eurotecsrl.com;www.eurotecsrl.com;www.abb.com;Via Lirone, 60;40013;Castel Maggiore;Bologna;Italy;
999778;EVOLUT SERVICE S.r.l.;4;+390302141193;info@evolut.it;;www.abb.com;VIA PADANA SUPERIORE 111/A;25045;Castegnato;Brescia;Italy;
999782;F.lli Bono S.p.A.;4;+390444990990;info@bonoflli.it;www.bonoflli.it;www.abb.com;Via dell'Economia 131;36100;Vicenza;Vicenza;Italy;
999784;FABRICA MACHINALE S.R.L.;4;;;www.roboticom.it;www.abb.com;Via Mario Giuntini, 13;56023;Cascina;Pisa;Italy;
999785;Fainardi & Albertini S.r.l.;4;;segreteria@fainardialbertini.it;www.fainardialbertini.it;www.abb.com;Via B. Buozzi, 10/a San Pancrazio;43126;Parma;Parma;Italy;
999796;For.El. S.r.l.;4;+390303583753;info@for-el.it;www.forel-brescia.it/;www.abb.com;Localita Molinetto, Via Leonardo Da Vinci, 15;25080;Mazzano;Brescia;Italy;
999810;Giovanni Vignuda Automazioni S.r.l.;4;+39432945711;info@giovannivignuda.it;vignudaautomazioni.it;www.abb.com;Via Umberto I 40;33038;San Daniele del Friuli;Udine;Italy;
999863;INTEC S.r.l.;4;+390306965386;info@intecrobotics.com;www.intecrobotics.com;www.abb.com;Via SM Crocefissa di Rosa 1;25039;Travagliato;Brescia;Italy;
999877;IS Instrument And Services S.r.l.;4;+39031619232;acquisti@isinstrument.com;www.isinstrument.com;www.abb.com;Via Diaz 16;22040;Alzate Brianza;Como;Italy;
999878;IS Rappresentanze S.r.l.;4;+390828616302;info@israppresentanze.it;www.israppresentanze.it/;www.abb.com;Viale G. Brodolini 14;84091;Battipaglia;Salerno;Italy;
999918;M.E.V. S.r.l.;4;+390498977504;mev@mevaspiratori.com;www.mevaspiratori.com;www.abb.com;Via Pacinotti 1;35030;Rubano;Padova;Italy;
999982;Persico S.p.A.;4;+390354531611;info@persico.com;www.persico.com;www.abb.com;Via Marconi 7;24027;Nembro;Bergamo;Italy;
999985;Piccoli Sergio & C. S.r.l.;4;+390458510988;nicola@piccolisergio.it;www.piccolisergio.it;www.abb.com;Via Binelunghe, 15 - Loc. Bassone;37139;Verona;Verona;Italy;
1000018;Re Italo Sas Di Re Italo & C.;4;;info@reitalo.it;;www.abb.com;Localita' Mendosio;20081;Abbiategrasso;Milano;Italy;
