Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999642;Automatyka Pomiary Sterowanie S.A.;4;+48857483400;aps@aps.pl;www.aps.pl;www.abb.com;ul. Mickiewicza 95F;15-257;Bialystok;podlaskie;Poland;
999669;BIAP Biuro Inzynierskie Automatyki Przemyslowej Sp. z o.o.;4;;biap@biap.com.pl;www.biap.pl;www.abb.com;ul. Muchoborska 16;54-424;Wroclaw;dolnoslaskie;Poland;
999914;Linteli Sp.z o.o.;4;+48616247677;linteli@linteli.com.pl;www.linteli.com.pl;www.abb.com;Zakrzewo, Ul. Poziomkowa 10;62-070;Dopiewo;wielkopolskie;Poland;
999925;MARGO Spolka z o.o. Spolka Komandytowa;4;;;www.phumargo.pl;www.abb.com;ul. Studzienna 60;87-100;Torun;kujawsko-pomorskie;Poland;
1000084;Skamer ACM Sp. z.o.o.;4;;tarnow@skamer.pl;www.skamer.pl;www.abb.com;ul. Rogoyskiego 26;33-100;Tarnow;malopolskie;Poland;
1000085;Skamer-Acm Sp. Z O.O. Oddzial Krakow;4;;krakow@skamer.pl;www.skamer.pl;www.abb.com;ul. Kapelanka 11;30-347;Krakow;malopolskie;Poland;
1000173;AB Micro Sp. z o.o.;4;+48538557448;izabela.uschpelkat@abmicro.pl;www.abmicro.pl;www.abb.com;Poleczki 23;02-822;Warszawa;mazowieckie;Poland;
1000200;Alfa Elektro Oddzial Bialystok;4;856628960;bialystok@alfaelektro.pl;www.alfaelektro.com.pl;www.abb.com;ul. A. Asnyka 2/1;15-709;Bialystok;podlaskie;Poland;
1000201;Alfa Elektro Oddzial Minsk Mazowiecki;4;257584111;minsk@alfaelektro.pl;www.alfaelektro.com.pl;www.abb.com;ul. Warszawska 45;05-300;Minsk Mazowiecki;mazowieckie;Poland;
1000202;Alfa Elektro Oddzial Otwock;4;227797115 ;otwock@alfaelektro.pl;www.alfaelektro.com.pl;www.abb.com;ul. Kraszewskiego 3;05-402;Otwock;mazowieckie;Poland;
1000203;Alfa Elektro Sp. z o.o.;4;327896441;katowice@alfaelektro.pl;www.alfaelektro.com.pl;www.abb.com;Obr. Westerplatte 81;40-335;Katowice;slaskie;Poland;
1000259;Asaj Ostrowiec Swietokrzyski;4;412651304;ostrowiec@asaj.pl;www.asaj.pl;www.abb.com;Jana Kilinskiego 39;27-400;Ostrowiec Swietokrzyski;swietokrzyskie;Poland;
1000281;AUTOMATIQ Sp. z o.o.;4;+48694771199;marcin@automatiq.pl;www.automatiq.pl;www.abb.com;ul. Glogowska 425;60-757;Poznan;wielkopolskie;Poland;
1000330;BW-DESIGN;4;+48605115715;biuro@bwsystem.pl;www.bwsystem.pl;www.abb.com;ul. Raclawowka 283C;36-047;Niechobrz;podkarpackie;Poland;
