Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999567;Accionaments I Automatismes G6 SL;4;+34938405545;info@factorpotencia.com;www.factorpotencia.com;www.abb.com;Av. Sant Julia, 204;08403;Granollers;Barcelona;Spain;
999568;Accionaments I Automatismes G6, S.L.;4;+34938405545;;www.factorpotencia.com;www.abb.com;Avenida Sant Julia 204;08403;Granollers;Barcelona;Spain;
999579;Adaro Tecnologia, SA;4;+34985347806;info@adaro.es;www.adaro.es;www.abb.com;Cl Jimena Fernandez De La Vega (Pq Cientifico Tecnologico Gijon Ed...;33203;Gijon;Asturias;Spain;
999596;Alsanbo Electricidad;4;;;www.grupoalsanbo.com;www.abb.com;CALLE MIGUEL SERVET 22;03203;Elche;Alicante;Spain;
999634;Autecnia;4;+34677143225;autecnia@autecnia.com;www.autecnia.com;www.abb.com;Calle Marie Curie 62;33211;Gijon;Asturias;Spain;
999675;Bobinados Industriales Vila, S.L.;4;+34976470069;vila@bobinadosvila.es;;www.abb.com;Jaime Ferran 11 Nave 8, P.I. Cogullada;50014;Zaragoza;Zaragoza;Spain;
999696;Components Electrics Olot, S.L.;4;;;www.compoelec.com;www.abb.com;Carrer de Pladevall 18/2;17857;Sant Joan Les Fonts;Girona;Spain;
999721;DIEMAN, S.A.L.;4;+34967505701;dieman@dieman.net;www.dieman.net/;www.abb.com;Toreros 26;02005;Albacete;Albacete;Spain;
999746;Electro Dinamic Jo-An, S.L.;4;+34973211049;admon@electrodinamic.com;www.electrodinamic.com;www.abb.com;Calle Palauet, s/n;25197;Lerida;Lleida;Spain;
999780;Exel Industrial, S.L.;4;+34914850550;exel.industrial@exelindustrial.com;www.exelindustrial.com;www.abb.com;Copernico 4 Nave 2;28820;Coslada;Madrid;Spain;
999802;Gaes, S.A.;4;+34943445777;gaes@gaessa.com;www.grupogaes.com;www.abb.com;Paseo De Ubarburu, 58 - Pg 27;20014;Donostia-San Sebastian;Gipuzkoa;Spain;
999805;General Electrica Onubense SA;4;+34959541154;geosa@generalelectrica.com;www.grupoensa.comwww.generalelectrica.com;www.abb.com;Paseo Las Palmeras, 6;21002;Huelva;Huelva;Spain;
999812;Gobesa, S.A.;4;+34944544007;gobesa@gobesa.com;www.gobesa.com;www.abb.com;Pgo.Ugaldeguren I Parcela P-5 III-A;48170;Zamudio;Bizkaia;Spain;
999851;Inda Levante SL;4;;;www.indalevante.com/;www.abb.com;Calle José Sánchez Sáez, 19 -;03202;Elche;Alicante;Spain;
1000015;Ramon Pamplona Italia-Sucesores, S.L.;4;+34976505097;ramon@pamplonaitalia.com;;www.abb.com;Rio Arba Nave 20;50410;Cuarte de Huerva;Zaragoza;Spain;
1000045;Rysel Servicios De Automatizacion Sociedad Limitada.;4;+34985355781;info@rysel-sat.es;www.rysel-sat.es;www.abb.com;Marie Curie 62;33211;Gijon;Asturias;Spain;
