Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999839;Humard Automation SA;4;+41324214090;info@humard.com;www.humard.com;www.abb.com;6, rue St-Randoald;2800;Delémont;Jura;Switzerland;
999928;Marti Systeme AG;4;+41433881010;info@marti-systeme.ch;www.marti-systeme.ch;www.abb.com;Gewerbestrasse 29;6314;Untergeri;Zug;Switzerland;
1000207;Alltron AG;4;+41628898888;info@alltron.ch;https://www.alltron.ch/;www.abb.com;Hintermattlistrasse 3;5506;Magenwil;Aargau;Switzerland;
1000316;BRACK.CH AG;4;+41628898080;verkauf@brack.ch;https://www.brack.ch/;www.abb.com;Hintermattlistrasse 3;5506;Magenwil;Aargau;Switzerland;
1000841;Digitec Galaxus AG;4;;;www.digitec.ch;www.abb.com;Pfingstweidstrasse 60;8005;Zurich;Zurich;Switzerland;
1000910;EFCO Befestigungstechnik AG;4;+41442098111;info@efco.swiss;https://efco.swiss/;www.abb.com;Grabenstrasse 1;8606;Nanikon;Zurich;Switzerland;
1001034;Elektro-Material AG;4;+41442781111;em-zh@e-m.ch;www.elektro-material.ch;www.abb.com;Juchstrasse 9;8048;Zurich-Altstetten;Zurich;Switzerland;
1001040;EL-Kabel-AG;4;+41414555070;verkauf@elkabel.ch;https://www.elektrogrosshandel.ch;www.abb.com;Leisibachstrasse 9;6037;Root;Lucerne;Switzerland;
1001047;EM Electro-Materiel SA;4;+41273244000;em-si@e-m.ch;www.elektro-material.ch;www.abb.com;Rue Traversiere;1950;Sitten;Vaud;Switzerland;
1001048;EM Electro-Materiel SA;4;+41223091313;em-ge@e-m.ch;www.e-m.ch;www.abb.com;Rue Eugene-Marziano 14;1211;Les Acacias;Geneva;Switzerland;
1001049;EM Elektro-Material AG;4;+41413680888;em-lz@e-m.ch;www.e-m.ch;www.abb.com;Tribschenstrasse 61;6005;Luzern;Lucerne;Switzerland;
1001050;EM Elektro-Material AG;4;+41319858181;em-be@e-m.ch;https://www.elektro-material.ch/de/cms/seite/bern;www.abb.com;Riedbachstrasse 165;3027;Bern;Bern;Switzerland;
1001051;EM Elettro-Materiale SA;4;+41916122020;em-lu@e-m.ch;www.elektro-material.ch;www.abb.com;Via Industria 6;6814;Lamone;Ticino;Switzerland;
1001189;Helion - Bouygues E&S InTec Schweiz AG;4;+41326770406;info@helion.ch;https://www.helion.ch/;www.abb.com;Allmendweg 8 (Geb. 317);4528;Zuchwil;Solothurn;Switzerland;
1001373;Mattle Industrie-Produkte AG;4; +41449381333;info@mattle-ag.ch;https://shop.mattle-ag.ch/index.php;www.abb.com;Allmendstrasse 8;8320;Fehraltorf;Zurich;Switzerland;
1001406;Mobility House AG, The;4;+41435082731;;www.mobilityhouse.com;www.abb.com;Technoparkstr. 1;8005;Zurich;Zurich;Switzerland;
1001435;Novitronic AG;4;+41443069191;info@novitronic.ch;https://www.novitronic.ch/;www.abb.com;Thurgauerstrasse 74;8050;Zurich;Zurich;Switzerland;
1001458;Otto Fischer AG;4;+41442767676;info@ottofischer.ch;www.ottofischer.ch;www.abb.com;Aargauerstrasse 2;8048;Zurich;Zurich;Switzerland;
1001479;Polielectra SA;4;+41918573634;info@polielectra.ch;https://www.polielectra.ch/;www.abb.com;Via Campagna 2.1;6512;Giubiasco;Ticino;Switzerland;
1002159;Sonepar Suisse AG;4;+41448395711;verkauf_wa@w-f.ch;www.w-f.ch;www.abb.com;Birgistrasse 10;8304;Wallisellen;Zurich;Switzerland;
1002160;Sonepar Suisse AG - Carouge;4;+41223420160;info@epgsa.ch;www.w-f.ch;www.abb.com;Route des Jeunes 105;1227;Carouge;Geneva;Switzerland;
1002161;Sonepar Suisse AG - Colombier;4;+41327378888;vente@electrolan.ch;www.w-f.ch;www.abb.com;Avenue de Longueville 17;2013;Colombier;Neuchatel;Switzerland;
