Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999582;Advanced Automation LLC;4;+1(844)754-3292;info@advautomation.us;www.nhautomation.com;www.abb.com;27 Production Dr;03802;Dover;New Hampshire;United States;
999637;Automation Industrial Group LLC;4;+1(423)875-8862;sales@automationig.com;www.automationig.com;www.abb.com;106 Spring Rd;37405;Chattanooga;Tennessee;United States;
999638;Automation Systems and Designs;4;+19373870351;sales@asddayton.com;www.asddayton.com;www.abb.com;6222 Webster St;45414-4238;Dayton;Ohio;United States;
999639;AUTOMATION X CORP CORPORATE BILLING;4;+18008982899;;www.automation-x.com;www.abb.com;3801 AUTOMATION WAY SUITE 180;82520-2845;Fort Collins;Colorado;United States;
999651;B&D INDUSTRIAL;4;;;www.bdindustrial.com;www.abb.com;588 12th Street;31201-3521;Macon;Georgia;United States;
999672;BluePrint Automation;4;+18045205400;sales@blueprintautomation.com;www.blueprintautomation.com;www.abb.com;4093 Specialty Place;80504;Longmont;Colorado;United States;
999683;Byron Automation LLC;4;+15096532100;;www.byronautomation.com/;www.abb.com;70 Locust Ln;98937-8805;Naches;Washington;United States;
999705;Con-Vey LLC;4;+15416725506;sales@con-vey.com;www.con-vey.com;www.abb.com;526 NE Chestnut Avenue;97470;Roseburg;Oregon;United States;
999707;CRT Services LLC;4;;;www.crt-services.com;www.abb.com;5515B FM 1960 E;77346;Humble;Texas;United States;
999726;DUO Robotics;4;+1(586)8837559;sales@duorobot.com;www.duorobot.com;www.abb.com;50570 Wing Dr.;48315;Shelby Township;Michigan;United States;
999776;Evans Enterprises Inc;4;+14796481500;;www.goevans.com;www.abb.com;4300 Planters Rd;72908;Fort Smith;Arkansas;United States;
999777;Evans Enterprises Inc;4;+12547724710;;www.goevans.com;www.abb.com;201 S Industrial Dr;76710;Waco;Texas;United States;
999786;Fallas Automation Inc;4;+12547729524;sales@fallasautomation.com;www.fallasautomation.com;www.abb.com;7000 Imperial Dr;76712;Waco;Texas;United States;
999787;Farason Corp;4;+1610383-6224;sales@farason.com;www.farason.com;www.abb.com;855 Fox Chase Ste 102;19320;Coatesville;Pennsylvania;United States;
999791;Fleaux Services Of Louisiana LLC;4;+1318-603-0024;;www.fleaux.com;www.abb.com;230 Lynbrook Blvd;71106;Shreveport;Louisiana;United States;
999797;FORCE Automation Inc;4;+1(866)4955221;lukasz@forceautomationusa.com;www.forceautomationusa.com;www.abb.com;100 Production Ct Unit 2;06051;New Britain;Connecticut;United States;
999803;Galco Industrial Electronics Inc;4;;;www.galco.com;www.abb.com;1451 E LINCOLN AVE;48071-4139;Madison Heights;Michigan;United States;
999835;Hi Tech Products Inc;4;+17872571707;automation@hi-techproducts.com;www.hi-techproducts.com;www.abb.com;Ave Sancehz Osorio 2mr 581;00983;Carolina;Puerto Rico;United States;
999854;Industrial Automation Solutions Inc;4;+1866243-2402;info@iasworldwide.com;www.iasworldwide.com;www.abb.com;5125 S Towne Dr;53151;New Berlin;Wisconsin;United States;
999859;InMotion LLC;4;+1(931)7629217;sales@inmotionrobotics.com;www.inmotionrobotics.com;www.abb.com;180 Harvester Ave;38464-6960;Lawrenceburg;Tennessee;United States;
999866;Integrated Power Services LLC;4;;;www.ips.us;www.abb.com;4470 Lucerne Road;15701;Indiana;Pennsylvania;United States;
999867;Integrated Power Services LLC;4;;;www.ips.us;www.abb.com;1320 Jim Gilligan Way;77705;Beaumont;Texas;United States;
999868;Integrated Power Services LLC;4;;;www.ips.us;www.abb.com;2315 NW 21st Pl;97210;Portland;Oregon;United States;
999869;Integrated Power Services LLC;4;;;www.ips.us;www.abb.com;1500 E Main St;77571;La Porte;Texas;United States;
999870;Integrated Power Services LLC;4;;;www.ips.us;www.abb.com;5325 W 130th St;44130;Cleveland;Ohio;United States;
999871;Integrated Power Services LLC;4;+18004480899;;https://www.ips.us;www.abb.com;1020 S Lipan St;80223;Denver;Colorado;United States;
999882;Jay Industrial Repair Inc;4;+12057911360;;www.jayIndustrial.com;www.abb.com;600 6th Ave;35060;Docena;Alabama;United States;
999883;Jay Industrial Repair Inc;4;;;www.jayelectric.com;www.abb.com;5850 Selma Hwy;36108-4897;Montgomery;Alabama;United States;
999885;Jet Specialty Inc;4;+18303319457;;www.jetspecialty.com;www.abb.com;211 Market Ave;78006-3050;Boerne;Texas;United States;
999893;Kaitech Automation;4;+12088819521;info@kaitechautomation.com;kaitechautomation.com;www.abb.com;212 NW 10TH ST;83642;Meridian;Idaho;United States;
999920;Magnetech Industrial Services Inc;4;;;www.magnetech.com;www.abb.com;800 Nave Rd SE;44646-9476;Massillon;Ohio;United States;
