Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002655;Abampere S.A.;4;+5444502516;info@abampere.com.ar;https://www.abampere.com.ar/;www.se.com;Av. Vergara 2011 - Piso 1;B1688GEK;Villa Tesei, Hurlingam;Buenos Aires;Argentina;
1002656;ALSELEC SYSTEMS S.A.;4;+541150107603;carlos.amitrano@alselec.com;www.alselec.com;www.se.com;QUINTANA 948;B1824VNT;Lanús;Buenos Aires;Argentina;
1002657;DCE S.A.;4;1160093000;fpandolfo@dceingenieria.com;www.dceingenieria.com;www.se.com;Bernardo de Irigoyen 679;1603;Vicente Lopez;Capital Federal;Argentina;
1002658;DE S S.R.L;4;+3543441117;;;www.se.com;D´ALEMBERT 5680;5021;CORDOBA;Córdoba;Argentina;
1002659;DEGRA ARGENTINA S.A.;4;543514704405;ventas@degra.com.ar;www.degra.com.ar;www.se.com;JUAN B JUSTO 3980;X5001GYR;Ciudad de Córdoba;Córdoba;Argentina;
1002660;DELEMEC SRL;4;341686-0797;delemec@gmail.com;www.delemec.com;www.se.com;Rueda 5820;2000;ROSARIO;Santa Fé;Argentina;
1002661;DELIND S.A.;4;54-11-6088-6845;ventas@delind.com.ar;https://delind.com.ar/;www.se.com;VALENTIN GOMEZ 577 - PARQUE INDUSTRIAL DECA;B1706FMI;HAEDO;Buenos Aires;Argentina;
1002662;DEREX S.R.L.;4;+54(0261)4222201;info@derexsrl.com.ar;www.derexsrl.com.ar/;www.se.com;JUAN GUALBERTO GODOY 346;M5501AAO;Gody Cruz;Mendoza;Argentina;
1002663;DIAMANT MATIAS ENRIQUE;4;542614225224;;;www.se.com;BERNARDO ORTIZ 492;;GODOY CRUZ;Mendoza;Argentina;
1002664;Digital Store SRL;4;0115368-0343;ventas@digitaltech.com.ar;www.digitaltech.com.ar;www.se.com;Bolaños 213Capital Federal;1407;capital federal;Capital Federal;Argentina;
1002665;DIMARCOMP S.A;4;;javierlupia@dimarcomp.com.ar;www.dimarcomp.com.ar;www.se.com;AV FOREST 800;1427;CAPITAL FEDERAL;Buenos Aires;Argentina;
