Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1003405;ALECO;4;050241718;info@aleco.be;www.aleco.be;www.se.com;Marsbiebuikstraat 1;8210;Zedelgem;West Vlaanderen;Belgium;
1003406;ALECO;4;051431590;info@aleco.be;www.aleco.be;www.se.com;Ovenstraat 17;8800;Roeselare;West Vlaanderen;Belgium;
1003408;REXEL BELGIUM;4;033603600;wijnegem@rexel.be;www.rexel.be;www.se.com;Vosveld 11E;2110;Wijnegem;;Belgium;
1003409;REXEL BELGIUM;4;023473055;ixelles@rexel.be;;www.se.com;Tenboschstraat 120;1050;Brussel;Region de Bruxelles Capitale;Belgium;
1003410;REXEL BELGIUM;4;087307211;verviers@rexel.be;www.rexel.be;www.se.com;Pont Léopold 5;4800;Verviers;Liege;Belgium;
1003411;REXEL BELGIUM;4;027110010;woluwe@rexel.be;www.rexel.be;www.se.com;Leuvensesteenweg 46;1932;Sint-Stevens-Woluwe;Vlaams Brabant;Belgium;
1003412;REXEL BELGIUM;4;061230988;libramont@rexel.be;;www.se.com;Rue du Flosse 17 bte C;6800;Libramont;Luxembourg;Belgium;
1003413;REXEL BELGIUM;4;053606200;aalst@rexel.be;www.rexel.be;www.se.com;Olmenstraat 3;9320;Aalst-Erembodegem;Oost Vlaanderen;Belgium;
1003414;REXEL BELGIUM;4;071423131;marcinelle@rexel.be;www.rexel.be;www.se.com;Avenue de Philippeville 161;6001;Marcinelle;Hainaut;Belgium;
1003415;REXEL BELGIUM;4;056607781;waregem@rexel.be;www.rexel.be;www.se.com;Stijn Streuvelsstraat 77;8790;Waregem;West Vlaanderen;Belgium;
1003416;REXEL BELGIUM;4;038708270;eia.aartselaar@rexel.be;www.rexel.be;www.se.com;Vluchtenburgstraat 3;2630;Aartselaar;Antwerpen;Belgium;
1003417;REXEL BELGIUM;4;014285540;herentals@rexel.be;www.rexel.be;www.se.com;Toekomstlaan 41F;2200;Herentals;;Belgium;
1003418;CEBEO;4;055232200;ovl@cebeo.be;www.cebeo.be;www.se.com;Serpentstraat 96A;9700;Oudenaarde;;Belgium;
