Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1003534;A&A Corporation SAC;4;949430060;ventascorporativas@tecnologiaideal.com;www.tecnologiaideal.com;www.se.com;Av. España 2350 - CC. Boulevard 2° Nivel O-08;044;Trujillo;La Libertad;Peru;
1003535;A&C Facture Soft SAC;4;;mcampos@facturesoft.pe;www.facturesoft.pe/;www.se.com;Jr. Cutervo 1818 Int. P-503;Lima 01;Lima;Lima y Callao;Peru;
1003536;ANIXTER  PERU S.A.C;4;+5114151000;milene.cardenas@anixter.com;www.anixter.com;www.se.com;CALLE ONTARIO 157 LA CAMPIÑA CHORRILLOS;15056;LIMA;Lima y Callao;Peru;
1003537;Intcomex Perú SAC;4;(01)7165005;mariella.garcia@intcomex.com;www.intcomex.com;www.se.com;Calle Los Negocios 448 Surquillo;51;Lima;Lima y Callao;Peru;
1003539;INTELECTRIC S.A.C.;4;(01)3375177/985570546/944247512;ventas@intelectric.com.pe;;www.se.com;JR. VENUS NRO. 1176 URB. LA LUZ (ENTRE BERTELLO Y MARIANO CORNEJO) CERDADO DE LIMA - LIMA - PERU;1;LIMA;Lima y Callao;Peru;
1003540;Intelligent Peru SAC;4;51989669146;rodolfo.campos@intelligent.pe;;www.se.com;Asoc. Los Pinos Mz C Lt 22;01;Lima;Lima y Callao;Peru;
1003541;INTER SERVICE EIRL;4;+34512658698;jdavila@isperu.com;www.isperu.com;www.se.com;CALJULIO CTELLO NRO215 D;PE;LIMA;Lima y Callao;Peru;
1003542;Interconnect Peru SAC;4;;informes@ix.pe;;www.se.com;Av. La Molina 1110 of. 203;15023;Lima;Lima y Callao;Peru;
1003543;Inversiones Interamericanas S. A.;4;933819382;rlucero@interamsa.com;www.interamsa.com;www.se.com;Av. Tomas Marsano 2119, Surquillo;05101;Lima;Lima y Callao;Peru;
1003544;IT SERVICE SAC;4;5114110200;sol@itservice.com.pe;;www.se.com;Calle Coronel Inclan 914;18;Lima;Lima y Callao;Peru;
1003545;ItnovaTec;4;;jorge.avila@itnovatec.com;www.itnovatec.com;www.se.com;Km. 27 Pan. Norte Condominio Ciudad Verde;12345;Lima;Lima y Callao;Peru;
1003546;J&P Hardware y Software SRL.;4;999702581;ploayza@jphys.com;;www.se.com;Jr. Natalio Sanchez 220 Of. 503 - Jesus Maria;;Lima;Lima y Callao;Peru;
1003547;ASTEL PERU;4;931975908;augusto.stucchi@grupo-astel.com;www.grupo-astel.com;www.se.com;Jr. Mariscal Castilla 630 San Miguel;;Lima;Lima y Callao;Peru;
1003548;JZ INGENIEROS S.A.C.;4;+51964398602;jreategui@jzingenieros.com;www.jzingenieros.com;www.se.com;Av. General Arenales 395 Ofc. 507;15072;Jesús María;Lima y Callao;Peru;
1003549;KROTON;4;(01)6111200;;www.kroton.com.pe;www.se.com;Av. Petit Thouars 3460;San Isidro;Lima;Lima y Callao;Peru;
1003550;KUAXAR SYSTEMS S.A.C.;4;51-1-4800385;ventas@kuaxar.com;www.kuaxar.com;www.se.com;Calle German Schreiber 276. San Isidro, Lima27, Perú;;Lima;Lima y Callao;Peru;
1003551;LSF Electronics;4;7342998;lsfelectronics@gmail.com;www.lsfelectronics.com;www.se.com;Los Eucaliptos 547- Urb. Jardines Virú- Bellavista- Callao;Callao-02;Lima;Lima y Callao;Peru;
1003552;M. ELECTRO S.A.;4;(01)2051717;melectro@melectro.com.pe;www.melectro.com.pe;www.se.com;JR. VICTOR REYNEL NRO. 797 Z.I. CONDE DE LAS TORRES, ESQUINA AV. ARGENTINA CUADRA 20;1;LIMA;Lima y Callao;Peru;
1003553;Macron Technologies del Perú SAC;4;511999200707;jrodriguez@macrontech.com;;www.se.com;Av. Parque de Las Leyendas N° 210 - Oficina 704-A,;lima 21;Lima;Lima y Callao;Peru;
1003554;MAESTRO PERU - AREQUIPA LAMBRAMANI;4;(01)6310310;;www.maestro.com.pe;www.se.com;Av. Lambramani con Av. Los Incas;054;Arequipa;Arequipa;Peru;
1003558;AUTOMATIZACION Y MONTAJES ELECTRICOS S. R. L.;4;(074)491947-959363542;ventas@atmelsrl.com;;www.se.com;P. J. FERNANDO BELAUNDE TERRY MZ ,I,, LT 27;;CHICLAYO;Lambayeque;Peru;
1003569;B2B Consultores Asociados SAC;4;;administracion@b2bconsultores.com;www.b2bconsultores.com;www.se.com;Jiron Francisco Lazo 1604, Oficina 201 Lince;15046;Lima;;Peru;
1003580;Bastian Group Sac;4;+511974744960;bastian.group.sac@gmail.com;www.facebook.com/Bastian.Group.SAC/;www.se.com;Pasaje Los Andes 204;064;Huancayo;Junín;Peru;
1003583;MASTERTECH SOLUTION SAC;4;993450060;gerencia@mastertechsolutionsac.com;https://mastertechsolutionsac.com/;www.se.com;JR. SINCHI ROCA 339 TRUJILLO;PERU;Trujillo;La Libertad;Peru;
1003584;MAZAL CORP;4;;cancho.av-93@hotmail.com;www.acg.com;www.se.com;calle nicolas copernico 182;051;ventanilla;Lima y Callao;Peru;
1003585;MELECSA E.I.R.L.;4;(084)242430-(084)255292;;www.melecsa.com.pe;www.se.com;AV. MANCO CAPAC Nº 1020;;CUSCO;Cuzco;Peru;
1003586;MEVITEL NETWORK SAC;4;2740622;amendoza@mevitel.com;www.mevitel.com;www.se.com;Calle Ayabaca 103-501;Lima33;Santiago de Surco;Lima y Callao;Peru;
1003587;MICRO ADVANCE COMPUTER S.A.;4;5113726648;ebarrios@macsa.com.pe;www.macsa.com.pe;www.se.com;AvPrimavera 312 Chacarilla Surco;33;Lima;Lima y Callao;Peru;
1003588;MICROSOURCE DEL PERU S.A.C.;4;0051986747195;ymoraless@gmail.com;;www.se.com;APV CRUZ VERDE QUEHUAPAY 7-A, POROY;08001;CUSCO;Cuzco;Peru;
1003589;MINING PARTS COMPANY EIRL;4;0517732105;ventas@minparts.org;https://www.minparts.org/;www.se.com;Calle Miami Mz. D-22, Urb. Molina Real, La Molina;15008;Lima;Lima y Callao;Peru;
1003590;MON PC S.A.C.;4;;mbonilla@monpc.pe;;www.se.com;Av San Borja Sur 602 Int 402- San Borja Av San Borja Sur 602 Int 402- San Borja;Lima41;Lima;Lima y Callao;Peru;
1003591;BS BUSINESS SUPPORT S.A.C.;4;01-7977071;jose.h@bs.pe;bs.pe;www.se.com;JR. ALMIRANTE GUISSE NRO. 1852 DPTO. C - LINCE;14;LIMA;Lima y Callao;Peru;
1003592;MOTORES DIESEL ANDINOS S.A.;4;(01)6169800-(01)6158500;infoweb@modasa.com.pe;www.modasa.com.pe;www.se.com;Antigua Panamericana Sur km. 38.2, Lurín;3;LIMA;Lima y Callao;Peru;
1003593;Multimport S.R.L.;4;;ventas3@multimport.com.pe;;www.se.com;Calle Aguamarina 122;C2;Bellavista;Lima y Callao;Peru;
1003594;MULTIPROYECTOS GLOBAL ENTERPRISE PERU S.A.C.;4;;c.capcha@multiproyectos.com.mx;www.grupodigitalink.com;www.se.com;AV. REDUCTO NRO. 1534 LIMA - LIMA - MIRAFLORES;Lima 18;LIMA;Lima y Callao;Peru;
1003595;MULTISERVICIOS AQP EIRL;4;51989712201;szamata@msaqp.com;www.msaqp.pe;www.se.com;CALLE MARIANO MELGAR N° 333 ACEQUIA ALTA CAYMA;054;arequipa;Arequipa;Peru;
1003596;Network Communication Peru S.A.C.;4;994148495;ventas@netcom.com.pe;;www.se.com;Calle El Cortijo F-10 Urb. Salamanca de Monterrico;Lima-15022;Ate;Lima y Callao;Peru;
1003597;Network Integral Services EIRL;4;5156402332;cgutierrez@nis.com.pe;;www.se.com;C.P. Casablanca Calle Union Mza "A" Lote 5H;5156;Ica;Ica;Peru;
1003598;NETWORK INTERCOM CORPORATION S.A.C;4;+51959283429;msosa@networkintercorp.com;www.networkintercorp.com;www.se.com;Av. José Gálvez Barrenechea 492 Oficina 303 San Isidro;01555;LIMA;Lima y Callao;Peru;
1003599;NODTECH S.A.C.;4;5119771444455;dcarrillo@nodtech.com.pe;www.nodtech.com.pe;www.se.com;AVENIDA JOSE GALVEZ BARRENECHEA 964 - URB. CORPAC SAN ISIDRO;15036;LIMA;Lima y Callao;Peru;
1003600;PACIFICO DISTRIBUCIONES S.A.;4;(054)226072-(054)213179;alfredo.fonts@pacificodistribucionessac.com;www.pacificodistribucionessac.com/;www.se.com;AV. JORGE CHAVEZ N°201-IV CENTENARIO;0;AREQUIPA;Arequipa;Peru;
1003601;PC LIKE SAC.;4;(01)2023554;;www.pclink.pe;www.se.com;Jr. Pinar del Rio #2859 2do. Piso;PE;LIMA;Lima y Callao;Peru;
1003602;Btysys;4;;mborja@btsys.net;;www.se.com;Calle Los Corales 143 B 401;51;CALLAO;Lima y Callao;Peru;
1003604;PERU DIGITAL & PRODUCCIONES SAC;4;949210304;proyectos@pdigital.com.pe;www.pdigital.com.pe;www.se.com;CA ANTONIO RAYMONDI 400;14001;Chiclayo;;Peru;
1003605;Petrex S.A.;4;;frankjahlive@hotmail.com;;www.se.com;Av. Republica de Panama N3050;Lima 27;Lima;Lima y Callao;Peru;
1003606;PIDTECNOLOGIA SAC;4;5116533673;jcadenas@pidtecnologia.com;https://www.pidtecnologia.com;www.se.com;Av. San Luis 2687 San Borja Lima;15037;Lima;Lima y Callao;Peru;
1003607;Power Energy & Automation SAC;4;953716020;wramos@teslagroup.pe;www.teslagroup.pe;www.se.com;Av. San Jose N° 788 Miramar - Ex Alto Moche;120101;Trujillo;La Libertad;Peru;
1003608;POWER ENERGY MOTOR SAC;4;(043)466014-977134687;ventas@powercorp.com.pe;www.powercorp.com.pe;www.se.com;AV. JOSE PARDO 2087;51NA;CHIMBOTE;Ancash;Peru;
1003609;PROMART  - TRUJILLO;4;080000210;;www.promart.pe/;www.se.com;AV CESAR VALLEJO OESTE 1345 CC REAL PLAZA;051;TRUJILLO;La Libertad;Peru;
1003610;PROMART - ATE;4;(01)6194810 ;;www.promart.pe/;www.se.com;Av. La Molina cuadra 3 - Ate;513;Lima;Lima y Callao;Peru;
1003613;BUSINESS TECHNOLOGY CENTER PERU SAC;4;5116209658;ctorres@btcperu.com.pe;www.btcperu.com.pe;www.se.com;JR. NÉSTOR MADALENGOITIA Nº 159 ROSARIO DE VILLA CHORRILLOS LIMA LIMA PERÚ;9;LIMA;Lima y Callao;Peru;
