Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1004169;3 Енерджи Солюшънс ЕООД;4;0885746686;dimitar.belchev@3energy.solutions;;www.se.com;бул. Ботевградско шосе 337;1839;София;;Bulgaria;
1004171;VNSYS LTD;4;0886694909;vnenov@vnsys.bg;www.vnsys.bg;www.se.com;ж.к.Трошево бл. 81 ап.62;9000;Варна;;Bulgaria;
1004172;Мосю Бриколаж;4;082887810;;www.mr-bricolage.bg;www.se.com;бул. Липник №2;7000;Русе;;Bulgaria;
1004173;Мосю Бриколаж;4;064884900;;https://www.mr-bricolage.bg;www.se.com;ул. Асен Халачев №2;5800;Плевен;;Bulgaria;
1004174;Мосю Бриколаж;4;073829500;;www.mr-bricolage.bg;www.se.com;жк. „Струмско”, ул. „Яне Сандански” 1;2700;Благоевград;;Bulgaria;
1004175;Мосю Бриколаж;4;056874760;;www.mr-bricolage.bg;www.se.com;бул. Захари Стоянов №1;8000;Бургас;;Bulgaria;
1004176;Мосю Бриколаж;4;052572559;;www.mr-bricolage.bg;www.se.com;жк. Младост, ул. „Вяра”3;9000;Варна;;Bulgaria;
1004177;Мосю Бриколаж;4;032605259;;www.mr-bricolage.bg;www.se.com;бул. 6-и Септември 223-А;4006;Пловдив;;Bulgaria;
1004178;Мосю Бриколаж;4;032307779;;www.mr-bricolage.bg;www.se.com;ул. Македония №2;4006;Пловдив;;Bulgaria;
1004179;Мосю Бриколаж;4;029602060;;https://www.mr-bricolage.bg;www.se.com;бул. Цариградско шосе№115;1784;София;;Bulgaria;
1004180;Мосю Бриколаж;4;024053600;;www.mr-bricolage.bg;www.se.com;бул. Околовръстно шосе №214;1766;София;;Bulgaria;
1004181;Мосю Бриколаж;4;058651680;;www.mr-bricolage.bg;www.se.com;Околовръстен път „Добротица”, изхода за Албена 56;;Добрич;;Bulgaria;
1004183;Мосю Бриколаж;4;029216300;;https://www.mr-bricolage.bg;www.se.com;бул. Европа №171;1331;София;;Bulgaria;
1004184;Неопет ООД;4;+35942959565;neopet@neopet-bg.com;neopet-bg.com/;www.se.com;Дванадесети пехотен полк № 1, вх. А, ет. 5, ап. 17;6000;Стара Загора;;Bulgaria;
1004185;Неуротех ЕООД;4;0888453698;sales@neurotex.bg;https://neurotex.bg/en;www.se.com;ул. „Рачо Петков Казанджията”, Матрикс тауър №4;1766;София;;Bulgaria;
1004187;НН—Електрохолдинг ЕООД;4;0899993330;nn_electroholding@abv.bg;nnelectro.com/;www.se.com;ул. Девня 10, офис 8;9000;Варна;;Bulgaria;
1004188;Ню Систем ООД;4;0895536257;office@newsystem.bg;newsystem.bg/;www.se.com;бул. Г. М. Димитров 60, вxод 3;1172;София;;Bulgaria;
1004189;ПБЗ Консултинг ЕООД;4;887585061;pbzkonsulting@abv.bg;;www.se.com;ул. Брянска 56;5300;Габрово;;Bulgaria;
1004190;Пенон;4;032961181;;www.penonbg.com/;www.se.com;ул. Пазарджишко шосе /до сортови семена/;4000;Пловдив;;Bulgaria;
1004191;Поликомп ООД;4;028144141;apc@polycomp.bg;https://polycomp.bg/poly/home;www.se.com;Боян Дамянов №9;1784;София;;Bulgaria;
1004192;Практикер Ритейл;4;054912100;;https://praktiker.bg/bg/;www.se.com;бул. Симеон Велики №37;9700;Шумен;;Bulgaria;
1004193;Алати;4;052595721;sales_varna@alati.bg;www.alati.bg/;www.se.com;бул. Трети март №30A;9000;Варна;;Bulgaria;
