Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1004850;1A INGENIERIA S.A.S;4;3152241414;jrodriguez@1aingenieria.com.co;www.ticyservicios.com;www.se.com;CARRERA 68B # 78-71 INT 1 Of 501;11211;BOGOTA;CUNDINAMARCA;Colombia;
1004851;365tech.co;4;3125364021;info@365tech.co;www.365tech.co;www.se.com;calle 79#15-20 of 303;57;bogota;CUNDINAMARCA;Colombia;
1004852;ALVARO MARIN VALENCIA BUCARAMANGA S.A.;4;;ediazm@amvsa.com;;www.se.com;CARRERA 29 NUMERO 45-45 METROPOLITAN BUSINESS PARK OFICINA 1509;CO;Bucaramanga;SANTANDER;Colombia;
1004853;DISTECSA S.A.S.;4;+5744441788;;www.distecsa.com/;www.se.com;CALLE 55 NUMERO 46 -46 ITAGUI LOS NARANJOS;;Medellin;ANTIOQUIA;Colombia;
1004855;DIVIX SAS;4;;decheverri@divixsa.com;www.divixsa.com;www.se.com;Calle 48C # 66-73;050034;Medellin;;Colombia;
1004856;DMR Gestion Informatica;4;;amarin@dmrgi.com;;www.se.com;Diagonal 75B 8-40 OFI 322;0;medellin;ANTIOQUIA;Colombia;
1004858;E&P INGENIERIA SAS;4;;mrueda@epingenieria.com;;www.se.com;CALLE 41 27 - 23 EDIFICIO SATUR LOCAL 101;CO;BUCARAMANGA;SANTANDER;Colombia;
1004859;EL COMERCIO ELECTRICO;4;+5728836645;ventas@comercioelectrico.com;;www.se.com;CARRERA 6 # 18 - 02;;Cali;VALLE;Colombia;
1004860;EL FARO ELECTRICO;4;+5787623268;ventasduitama@elfaroelectrico.com;;www.se.com;CARRERA 16 # 11 - 77;;Duitama;BOYACA;Colombia;
1004862;ELECTRICAS DE MEDELLÍN COMERCIAL (EDEMCO);4;+5743656500;cesar.correa@edemco.co;;www.se.com;CARRERA 52 # 10 - 131 AVENIDA GUAYABAL;;Medellín;ANTIOQUIA;Colombia;
1004863;American Computer;4;;ana.villamizar@actecnologia.net;;www.se.com;Carrera 34 No.48-109;57;Bucaramanga;SANTANDER;Colombia;
1004864;ELECTRICAS DE MEDELLÍN INGENIERIA Y SERVICIOS (EDEMSA);4;+5744446507;asesorcomercial1@edemsa.com.co;;www.se.com;CARRERA 38 # 10 - 36 PISO 10 EDIFICIO MILENIO;;Medellín;ANTIOQUIA;Colombia;
1004865;ELECTRICOS DEL VALLE;4;+5728861500;francysierra@electrovalle.com;;www.se.com;CR 4 16 09;;CALI;VALLE;Colombia;
1004866;ELECTRICOS DEL VALLE;4;+5763254757;ventasper1@electrovalle.com;;www.se.com;CALLE 20 # 10 - 61;;Pereira;RISARALDA;Colombia;
1004867;ELECTRICOS DEL VALLE;4;+5753680077;aventasbq2@electrovalle.com;;www.se.com;CALLE 76 # 73 - 51;;Barranquilla;ATLANTICO;Colombia;
1004868;ELECTRICOS DEL VALLE;4;+5712507374;ventasbogota1@electrovalle.com;;www.se.com;CARRERA 63 # 68 - 75;;Bogotá;CUNDINAMARCA;Colombia;
1004869;ELECTRICOS E ILUMINACION (DEKO);4;+5753850303;ventas2@electricoseiluminacion.com.co;;www.se.com;CARRERA 43 # 79 - 61;CO;Barranquilla;ATLANTICO;Colombia;
