Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005400;Bauhaus Eesti OÜ;4;+3726029400;info@bauhaus-eesti.com;www.bauhaus-eesti.com;www.se.com;Kaeravälja tee 3;13516;Tallinn;;Estonia;
1005401;Bauhaus Eesti OÜ;4;+3376029200;info@bauhaus-eesti.com;www.bauhaus-eesti.com;www.se.com;Tähesaju tee 8;13917;Tallinn;;Estonia;
1005402;Bauhof AS;4;+3726061444;tallinn@bauhof.ee;www.bauhof.ee;www.se.com;Peterburi tee 64;11415;Tallinn;;Estonia;
1005403;Bauhof AS;4;+3727666060;valga@bauhof.ee;www.bauhof.ee;www.se.com;Viljandi 80A;68205;Valga;;Estonia;
1005404;Bauhof AS;4;+3724530600;kuressaare@bauhof.ee;www.bauhof.ee;www.se.com;Põlluvahe 2 Sikassaare;93876;Kuressaare;;Estonia;
1005405;Bauhof AS;4;+3724725530;haapsalu@bauhof.ee;www.bauhof.ee;www.se.com;Tallinna mnt 68A;90509;Haapsalu;;Estonia;
1005406;CONTACTUS AS;4;+3726309082;info@contactus.ee;www.contactus.ee;www.se.com;Pärnu mnt 139E/2;11317;Tallinn;;Estonia;
1005407;Decora AS;4;+3727331350;decora@decora.ee;www.decora.ee;www.se.com;Riia 128;51014;Tartu;;Estonia;
1005408;Decora AS;4;+372660808;decora@decora.ee;www.decora.ee;www.se.com;Laki 36;12915;Tallinn;;Estonia;
1005409;ECOMATIC AS;4;+3726508001;eco@ecomatic.ee;www.ecomatic.ee;www.se.com;Pärnu mnt. 160B;11317;Tallinn;;Estonia;
1005410;ED INSENERID OÜ;4;+37253411730;info@edin.ee;;www.se.com;Lõõtsa 8;11415;Tallinn;;Estonia;
1005411;Ehituse ABC;4;+3724430222;parnu@optimera.ee;www.ehituseabc.ee;www.se.com;Riia mnt. 108B;80020;Pärnu;;Estonia;
1005412;Bauhof AS;4;+3727999090;polva@bauhof.ee;www.bauhof.ee;www.se.com;Jaama 12A;63303;Põlva;;Estonia;
1005413;Ehituse ABC;4;+3723325832;johvi@optimera.ee;www.ehituseabc.ee;www.se.com;Tartu mnt. 14;41538;Jõhvi;;Estonia;
1005414;Ehituse ABC;4;+3723278190;rakvere@optimera.ee;www.ehituseabc.ee;www.se.com;Võidu 93;44312;Rakvere;;Estonia;
1005415;Ehituse ABC;4;+3726205070;infolaud@optimera.ee;www.ehituseabc.ee;www.se.com;Peterburi tee 71;11415;Tallinn;;Estonia;
1005416;Ehituse ABC;4;+3726660173;kadaka@optimera.ee;www.ehituseabc.ee;www.se.com;Kadaka tee 65;12615;Tallinn;;Estonia;
1005417;Ehituse ABC;4;+3723566525;kohtla@optimera.ee;www.ehituseabc.ee;www.se.com;Järveküla Tee 50;30321;Kohtla-Järve;;Estonia;
1005418;Ehituse ABC;4;+3727440800;tartu@optimera.ee;www.ehituseabc.ee;www.se.com;Kalda Tee 3;50703;Tartu;;Estonia;
1005419;Ehituse ABC;4;+3723599411;narva@optimera.ee;www.ehituseabc.ee;www.se.com;Rahu 4;21003;Narva;;Estonia;
1005420;Ehituse ABC;4;+3724724154;haapsalu@optimera.ee;www.ehituseabc.ee;www.se.com;Tallinna mnt. 75B;90509;Haapsalu;;Estonia;
1005421;Ehituse ABC;4;+3726232773;loksa@optimera.ee;www.ehituseabc.ee;www.se.com;Tallinna Mnt. 40;74806;Loksa;;Estonia;
1005422;EKTACO AS;4;+3726542150;ektaco@ektaco.ee;www.ektaco.ee;www.se.com;Akadeemia Tee 21E;12618;Tallinn;;Estonia;
1005423;Bauhof AS;4;+3723220900;rakvere@bauhof.ee;www.bauhof.ee;www.se.com;Ringtee 2;44312;Rakvere;;Estonia;
