Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005690;2ED;4;277645055;guillaume@2ed.fr;;www.se.com;29 RUE JEAN MONNET;14460;COLOMBELLES;;France;
1005691;2ED - ELECTRICITE ENERGIE;4;0277645145;philippe@2ed.fr;;www.se.com;927 RUE ARISTIDE BOUCICAUT;61100;FLERS;;France;
1005692;AED VOIRON;4;0476658908;aed.voiron@sonepar.fr;https://aed.sonepar.fr;www.se.com;12 RUE LEON BERIDOT;38500;VOIRON;;France;
1005693;CDL ELEC BOULOGNE;4;321920215;;www.cdl-elec.fr/;www.se.com;83 BOULEVARD DE LA LIANE;62360;SAINT LEONARD;;France;
1005694;REXEL FRANCE SAS;4;323830000;;www.rexel.fr/;www.se.com;AVENUE DE L'EUROPE;2400;CHATEAU THIERRY;;France;
1005695;REXEL FRANCE SAS;4;563713310;;www.rexel.fr/;www.se.com;4 RUE JEAN PERRIN;81100;CASTRES;;France;
1005696;REXEL FRANCE SAS;4;492517081;;www.rexel.fr/;www.se.com;4 RUE DE LA BOISERIE;5000;GAP;;France;
1005697;REXEL FRANCE SAS;4;559503670;;www.rexel.fr/;www.se.com;21 RUE DU CHALIBARDON;64100;BAYONNE;;France;
1005698;REXEL FRANCE SAS;4;555527445;;www.rexel.fr/;www.se.com;24 AVENUE GAMBETTA;23000;GUERET;;France;
1005699;REXEL FRANCE SAS;4;321604744;;www.rexel.fr/;www.se.com;ZI EST - 2 RUE DE LISBONNE;62000;ARRAS;;France;
1005700;REXEL FRANCE SAS;4;553350002;;www.rexel.fr/;www.se.com;17 AVENUE DU CHATEAU;24430;MARSAC SUR L ISLE;;France;
1005701;REXEL FRANCE SAS;4;493081665;;www.rexel.fr/;www.se.com;ZAC DE LA GRAVE FACE MANHATTAN;6510;CARROS;;France;
1005702;REXEL FRANCE SAS;4;556265384;;www.rexel.fr/;www.se.com;3 RUE GILLES ROBERVAL;33510;ANDERNOS LES BAINS;;France;
1005703;REXEL FRANCE SAS;4;240249145;;www.rexel.fr/;www.se.com;RUE DES GUERETS;44350;GUERANDE;;France;
1005704;CDL ELEC BREST;4;229611393;;www.cdl-elec.fr/;www.se.com;48 RUE DU TOURBIAN;29490;GUIPAVAS;;France;
