Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1007395;1a Computertechnik GMBH;4;;info@1a-computertechnik.com;www.1a-computertechnik.com;www.se.com;Würzburgerstr. 10;63739;Aschaffenburg;Bavaria;Germany;
1007396;21 Computer Solution;4;;info@computerxtreme.de;;www.se.com;Kaicher Str 2;61194;Niddatal;;Germany;
1007399;Elektro Joost;4;03881-713330;info@elektro-joost.de;www.elektro-joost.de;www.se.com;Bahnhofstr. 53a;23936;Grevesmühlen;Mecklenburg-Vorpomm.;Germany;
1007401;Elektro Jost GmbH;4;020181503777;info@elektrojost.de;www.elektrojost.de;www.se.com;Alte Hauptstr. 30;45289;Essen;Nrth Rhine Westfalia;Germany;
1007402;Elektro Junkes;4;01772056262;info@elektro-junkes.de;;www.se.com;Am Weidenschlag 88;67071;Ludwigshafen;Rhineland Palatinate;Germany;
1007403;Elektro Jürgen Esser;4;021824129;elektro-juergen.esser@t-online.de;;www.se.com;Hellweg 5a;41352;Korschenbroich;;Germany;
1007404;Elektro Kaib GmbH;4;0151/52427257;info@elektro-kaib.de;www.elektro-kaib.de;www.se.com;Gutenbergerstr. 12;94036;Passau;Bavaria;Germany;
1007405;Elektro Kamali;4;;elektro.kamali@yahoo.de;;www.se.com;Hauptstraße 8;63457;Hanau;Hesse;Germany;
1007406;Elektro Kasteleiner;4;+49643871127;;;www.se.com;Langhecker Straße 27;65611;Brechen;Hesse;Germany;
1007407;Elektro Katzke;4;;info@elektro-katzke.de;elektro-katzke.de;www.se.com;Stefanstrasse 10;47441;Moers;;Germany;
1007408;Elektro Kehl UG & Co.KG;4;0621782767;michael.schilpp@elektro-kehl.de;www.Elektro-Kehl.de;www.se.com;Oppauer Kreuzweg;68307;Mannheim;Baden-Wurttemberg;Germany;
1007410;Elektro Kellner GmbH;4;09402- 9478-0;info@egkellner.de;www.egkellner.de;www.se.com;Benzstr. 8;93128;Regenstauf;Bavaria;Germany;
1007411;Elektro Kess;4;097611751;info@elektro-kess.de;www.elektro-kess.de;www.se.com;Obere Hauptstraße 14;97633;Kleinbardorf;;Germany;
1007412;Elektro Kirchner GmbH;4;0211-684976;kirchner.elektro@t-online.de;;www.se.com;Ludenbergerstr. 9-11;40629;Düsseldorf;Nrth Rhine Westfalia;Germany;
