Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1011846;Ability IT Solutions;4;0656810068;info@abilityit.ie;www.abilityit.ie;www.se.com;Market St Carpark;V95F30C;Ennis;Clare;Ireland;
1011847;BPX Electro Mechanical Co. Ltd;4;00353(1)5532530;info@bpxireland.ie;https://www.bpx.co.uk/page/manufacturers/schneider-electric/schneider-iad;www.se.com;Unit 1A Block 513;D24 FP98;RATHCOOLE;Dublin;Ireland;
1011848;M Kelliher 1998 Ltd - Little Island;4;0214296240;david.welch@rexel.ie;www.kellihers.com;www.se.com;Units 31 32 East Gate Drive;T45 YW84;LITTLE ISLAND;Cork;Ireland;
1011849;M Kelliher 1998 Ltd Ballymount;4;014566717;;www.kellihers.com;www.se.com;Ballymount Road;D12 RK76;DUBLIN CITY;Dublin;Ireland;
1011850;M Kelliher 1998 Ltd Crokepark;4;018554704;alan.bollard@rexel.ie;www.kellihers.com;www.se.com;Unit G2 Croke Park Ind Estate;D01 X3C2;DUBLIN CITY;Dublin;Ireland;
1011851;M Kelliher 1998 Ltd Ennis;4;0656844233;kieran.murphy@rexel.ie;www.kellihers.com;www.se.com;Unit 9 Quinn Road Bus Park;V95 TR27;ENNIS;Clare;Ireland;
1011852;M Kelliher 1998 Ltd Finglas;4;018041160;derek.wright@rexel.ie;www.kellihers.com;www.se.com;Unit 27;D11 EA07;FINGLAS;Dublin;Ireland;
1011853;M Kelliher 1998 Ltd Kilkenny;4;0567750410;thomas.kelly@rexel.ie;www.kellihers.com;www.se.com;Unit 1 2 Loughboy Ind Est;R95 FY70;KILKENNY CITY;Kilkenny;Ireland;
1011854;M Kelliher 1998 Ltd Killarney;4;0646633985;;www.kellihers.com;www.se.com;Ross Road;V93 FD90;KILLARNEY;Kerry;Ireland;
1011855;M Kelliher 1998 Ltd Limerick;4;061417442;mark.morriarty@rexel.ie;www.kellihers.com;www.se.com;Dock Road;V94 WF59;LIMERICK CITY;Limerick;Ireland;
1011856;M Kelliher 1998 Ltd Mallow Road;4;0214932300;stewart.dennehy@rexel.ie;www.kellihers.com;www.se.com;North Point Business Park;T23 XY33;CORK CITY;Cork;Ireland;
1011857;M Kelliher 1998 Ltd Naas;4;045447860;marc.deering@rexel.ie;www.kellihers.com;www.se.com;A1 Tougher Business Park;W91 CX39;NAAS;Kildare;Ireland;
1011859;M Kelliher 1998 Ltd Sandyford;4;012952011;wayne.murphy@rexel.ie;www.kellihers.com;www.se.com;Unit E3 Sandyford Ind Est;D18 RK20;DUBLIN CITY;Dublin;Ireland;
1011860;M Kelliher 1998 Ltd Tralee;4;0667145300;info@kellihers.com;www.kellihers.com;www.se.com;Ballymullen;V92 D793;TRALEE;Kerry;Ireland;
1011861;M Kelliher 1998 Ltd Tramore Road;4;0214704100;;www.kellihers.com;www.se.com;Tramore Road;T12 RC98;CORK CITY;Cork;Ireland;
1011862;M Kelliher 1998 Ltd Waterford;4;051377755;brian.coughlan@rexel.ie;www.kellihers.com;www.se.com;Tramore Road;X921 FH68;WATERFORD CITY;Waterford;Ireland;
1011863;M Kelliher 1998 Ltd-Portlaoise;4;0578664660;tom.nolan@rexel.ie;www.kellihers.com;www.se.com;Clonminam Ind Est;R32 VW9R;PORTLAOISE;Laois;Ireland;
1011864;MCK Electrical Ltd;4;0214975201;reception@mckelectrical.com;www.iebg.ie;www.se.com;Unit PD1 Togher Ind Est;T12 XT21;TOGHER;Cork;Ireland;
1011865;MGF Electrical Supplies Ltd;4;0906625644;michael@mgfelect.com;www.iebg.ie;www.se.com;Henry Street;F42 NH72;ROSCOMMON TOWN;;Ireland;
1011867;Midland Electrical Wholesalers Ltd;4;0579351561;tullamore@midlandelec.com;www.mullingarelectrical.com;www.se.com;Unit 5 Sragh Business Park;R35 X2N5;TULLAMORE;Offaly;Ireland;
1011868;MSS Building Services Ltd;4;014299875;sales@mssltd.ie;www.mssltd.ie;www.se.com;Units C1 & C2, Ballymount Cross Industrial Estate;D24 TC96;Dublin City;Dublin;Ireland;
1011869;BYTEK OFFICE SYSTEMS;4;018135551;ldonnelly@bytek.ie;;www.se.com;UNIT 28;;WEXFORD;Wexford;Ireland;
1011870;Mullingar Electrical Wholesale Ltd;4;0449343040;;www.mullingarelectrical.com;www.se.com;30 Clonmore Business Park;N91 Y593;MULLINGAR;Westmeath;Ireland;
1011871;N2 Elec & Security Supp;4;018353090;;;www.se.com;Rath Cross;A84 PR94;ASHBOURNE;;Ireland;
1011872;National Electl Wholesalers (IRL);4;012453970;paul.adams@new.ie;www.new.ie;www.se.com;48 Beechwood CloseBoghall Road;A98 K5D4;BRAY;Wicklow;Ireland;
1011873;National Electrical Wholesalers;4;045895896;kevint@new.ie;www.new.ie;www.se.com;Unit B4 M7 Business Park;W91 F762;NAAS;Kildare;Ireland;
1011874;National Electrical Wholesalers;4;0212432990;brendan.murphy@new.ie;www.new.ie;www.se.com;Unit 16 17 Northlink Bus Park;T23 VY28;CORK CITY;Cork;Ireland;
1011875;National Electrical Wholesalers;4;014567100;jimmymck@new.ie;www.new.ie;www.se.com;Unit 3B Sunbury Ind Est;D12 FY06;DUBLIN CITY;Dublin;Ireland;
1011876;National Electrical Wholesalers;4;012541900;;www.new.ie;www.se.com;Unit 46 Rosemount Business Pk;D11 K26W;DUBLIN CITY;Dublin;Ireland;
1011877;NeoDyne Ltd;4;0214520080;shanley@neodyne.ie;www.neodyne.ie;www.se.com;10 Eastgate Avenue;T45 PC63;Cork;Cork;Ireland;
1011878;OC CRITICAL POWER LIMITED;4;+353851261010;dennis@occriticalpower.ie;www.occriticalpower.ie;www.se.com;Derrymore;H53 N261;BALLINASLOE;Galway;Ireland;
1011880;C.T. Electric Athlone;4;0906494681;;www.kellihers.com;www.se.com;Unit 3 Danes Well Bus Park;N37 X5T1;ATHLONE;Westmeath;Ireland;
1011882;PC SYSTEMS LTD;4;0214933166;liz@pcsystems.ie;www.pcsystems.ie;www.se.com;29 Doughcloyne Court Ind;T12 VX71;CORK;Cork;Ireland;
1011883;Peter Curran Electric Ltd;4;091385700;sales@currenelec.ie;www.curranelec.ie;www.se.com;Unit 18 Glenrock Business Park;H91 FY6E;GALWAY CITY;Galway;Ireland;
1011884;PFH Technology Group;4;;khourican@pfh.ie;www.pfh.ie;www.se.com;1 Easgate Avenue,;T45 HK71;Little Island;Cork;Ireland;
1011885;Phibsboro Elec Wholesale N.C.R;4;018682033;sales@pewl.ie;www.pewl.ie;www.se.com;296e North Circular Road;D07 DY70;DUBLIN CITY;Dublin;Ireland;
1011888;Premium Power Limited;4;+35318105032;poneill@premiumpower.ie;;www.se.com;Unit 2A, Fingal Bay Business Park, Harry Reynolds Rd,;K32 W566;Balbriggan;Dublin;Ireland;
1011889;QuickTec IT Support and Services;4;091756070;sales@quicktec.ie;https://www.quicktec.ie/;www.se.com;Ballybrit Business park;H91DT7C;Galway;Galway;Ireland;
1011891;C.T. Electric Ballina;4;09660420;frank.carroll@rexel.ie;www.kellihers.com;www.se.com;Unit 7 Moyvalley Bus Park;F26 RD76;BALLINA;Mayo;Ireland;
1011892;Richmond Electrical Wholesale;4;018580966;sales@rew.ie;www.rew.ie;www.se.com;Unit 17 18 Finglas Business Ctr;D11 NX32;DUBLIN CITY;Dublin;Ireland;
1011894;SOLVE I.T.;4;0526190000;avril@solveit.ie;www.solveit.ie;www.se.com;UNIT 6F GORTNAFLUER BUSINESS PARK;IE;CLONMEL;Tipperary;Ireland;
1011895;Southwest Wholesale Ltd;4;0667123399;southwestelect@eircom.net;www.iebg.ie;www.se.com;Matt Talbot Road;V92 AC81;TRALEE;Kerry;Ireland;
1011896;TEF Tullamore Ltd;4;0579351893;tef@eircom.net;www.iebg.ie;www.se.com;Unit 3B;R35 Y278;TULLAMORE;Offaly;Ireland;
1011897;Tekpak Automation Ltd;4;0539163033;dsinnott@tekpak.ie;www.tekpakautomation.com;www.se.com;Whitemill Industrial Estate;Y35A620;Wexford;Wexford;Ireland;
1011899;Total Power Solutions;4;01-6874060;service@totalpowersolutions.ie;www.totalpowersolutions.ie;www.se.com;K3 Maynooth Business Campus,;W23 XN75;Maynooth;Dublin;Ireland;
1011900;Trade Elec Ltd Limerick;4;061417754;sales@trade-electric.ie;www.tradeelectriclighting.ie;www.se.com;Lower Gerald Griffin St.;V94 X088;LIMERICK CITY;Limerick;Ireland;
1011901;Trade Elec Ltd-Waterford;4;051591666;waterford@trade-electric.ie;www.tradeelectriclighting.ie;www.se.com;Unit 4A Six Cross Roads Bus Park;X91 PK79;KILBARRY;Waterford;Ireland;
1011902;C.T. ELECTRIC Galway;4;091745300;;www.kellihers.com;www.se.com;Sean Mulvoy Road;H91 D8N3;GALWAY CITY;Galway;Ireland;
1011903;Trade Electric (Dublin) Limited;4;018426055;santry@trade-electric.ie;www.tradeelectriclighting.ie;www.se.com;Swords Road;D09 VF9F;SANTRY;;Ireland;
1011904;Trade Electric (Kilkenny) Limited;4;0567762498;kilkenny@trade-electric.ie;www.iebg.ie;www.se.com;New Street;R95 PX68;KILKENNY CITY;Kilkenny;Ireland;
1011905;TradeKit;4;0646625340;killarney@tradekitdirect.ie;www.iebg.ie;www.se.com;Ballycasheen Road;V93 D763;KILLARNEY;Kerry;Ireland;
1011909;Wesco Electrical Ltd Drogheda;4;0419836571;;www.wesco.ie;www.se.com;Industrial Estate;A92 Y5EH;DROGHEDA;Louth;Ireland;
1011910;Wesco Electrical Ltd Navan;4;0469023203;wesconavan@esatlink.com;www.wesco.ie;www.se.com;Unit 9 Mullaghboy Ind Est;C15 C7PF;NAVAN;Meath;Ireland;
1011911;Wesco Electrical Ltd Newbridge;4;045433759;wescoelectrical@esatlink.com;www.wesco.ie;www.se.com;Unit 5B Newbridge Ind Est;W12 Y264;NEWBRIDGE;Kildare;Ireland;
1011912;West Cork Elec W/Sale Co.;4;0238834360;info@wcew.ie;www.iebg.ie;www.se.com;Industrial Pk;P85 PY91;CLONAKILITY;Cork;Ireland;
1011913;C.T. Electric Mayo;4;0949023650;;www.kellihers.com;www.se.com;Industrial Estate;F23 R206;CASTLEBAR;Mayo;Ireland;
1011915;Wexford Trade Elec. Ltd;4;0539147150;wexford@trade-electric.ie;www.iebg.ie;www.se.com;Pinewood Business Park;Y35 HR8N;WEXFORD TOWN;Wexford;Ireland;
1011917;C.T. Electric Sligo;4;0719145068;hugh.gallagher@rexel.ie;www.kellihers.com;www.se.com;Finisklin Industrial Estate;F91 HW99;SLIGO TOWN;Sligo;Ireland;
1011918;CALLAN COMPUTERS;4;419878742;vreid@callancomputers.ie;;www.se.com;Unit 15 East Coast Business Park;IE;Drogheda,;Louth;Ireland;
1011919;CEF Castlebar Ltd;4;0949027196;sales.castlebar@cefltd.ie;www.cefltd.ie;www.se.com;Unit 10 Castlebar Bus Park;F23 KV91;CASTLEBAR;Mayo;Ireland;
