Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1012786;"Азия Альянс Сервис";4;;asiaallianceservice@gmail.com;;www.se.com;улица Тургенева д.64 Б, кв. 7;030020;Актобе;Aqtobe;Kazakhstan;
1012787;12 месяцев;4;7(7172)54-59-47;abaya94@12mv.kz;www.12mv.kz;www.se.com;проспект Абая, 94А;010000;Нур-Султан;;Kazakhstan;
1012788;HTEL;4;+77172559000;sales@htel.kz;www.htel.kz;www.se.com;VIP-городок 42/1;010000;Нур-Султан;Astana;Kazakhstan;
1012789;Энерголайн;4;+996770042704;;;www.se.com;Байтик Баатыра, 118;720005;Бишкек;;Kyrgyzstan;
1012790;Internet Resheniya;4;;dbaioralov@id.kz;;www.se.com;Al-Farabi 17;050059;Almaty;Almaty;Kazakhstan;
1012791;IT CORPORATION LLP;4;+77122315515;yerbol@it-corporation.kz;it-corporation.kz/;www.se.com;ul.Zhumagaliyeva, 15B, ofis 91;060001;Atyrau;;Kazakhstan;
1012792;IT-CUBE (АйТи-КУБ) ТОО;4;;info@it-cube.kz;www.it-cube.kz;www.se.com;И.Алтынсарина, дом 31, кв. 47;;Актобе;;Kazakhstan;
1012793;KMA Trade;4;+7727293-03-00,378-53-76;shop@security.kz;www.security.kz;www.se.com;ул. Курмангазы, 145;050008;Алматы;;Kazakhstan;
1012795;MUK-Computers;4;7(727)346-79-01;office@muk.kz;www.muk.ua;www.se.com;ул. Шевченко 90, офис 4;050022;Алматы;Almaty;Kazakhstan;
1012796;NORTEL Engineering LLP;4;77712999220;a.shirochkin@ntel.kz;;www.se.com;Syganak 29;10000;Астана;;Kazakhstan;
1012797;NSP;4;;mniyazov@nsp.kg;www.nsp.kg;www.se.com;Lenina 262;;Bishkek;;Kyrgyzstan;
1012798;PRM Placeholder Account 201908081227.0;4;+77273505424;kav@yours.kz;www.yours.kz;www.se.com;пр. Сейфуллина 404/67 к.3 оф.5;050016;Алматы;Almaty;Kazakhstan;
1012799;220 Volt;4;+7013029775;;www.220voltmag.kz;www.se.com;ул. Ермекова 114;100009;Караганда;;Kazakhstan;
1012800;Qazaq Service Company, LLP;4;77018836323;a.lee@kzsc.kz;;www.se.com;Медеуский район, поселок Алатау, ул. Академическая,д. 9 оф;A25A0P7;Алматы;;Kazakhstan;
1012801;RP TRADE;4;87011114197;info@rptrade.kz;https://rptrade.kz/;www.se.com;Радлова 65, офис 404;050000;Алматы;Almaty;Kazakhstan;
1012802;SABA Computers;4;+7(701)1111805;azamatk@saba24.kz;www.saba24.kz;www.se.com;мкр Алатау, ул.Пушкина 38/1;050045;Алматы;Almaty;Kazakhstan;
1012804;Smart Service Group AS;4;77051903222;kv@ss-g.kz;;www.se.com;Bayteli 43;;Almaty;Almaty;Kazakhstan;
