Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1012887;(주)엘디네트웍스;4;010-9192-5793;ld007@leadersnet.co.kr;;www.se.com;원효로 2가 96-2;4366;용산구;;Korea, Republic of;
1012891;e-kyoung system;4;01049499073;sskims@e0kyoung.com;www.e-kyoung.com;www.se.com;302-603R ,345;421-809;Seokcheon-ro,Ojeong-gu,Bucheon-si;;Korea, Republic of;
1012893;EURO POWER CO., LTD;4;Phone:+82262202650;kang@europower.co.kr;www.europower.co.kr/;www.se.com;Office 611 Ace-HighEnd Tower 5, Digital-ro 26-gil, Guro-gu, Seoul, Republic of Korea;08389;Seoul;;Korea, Republic of;
1012894;Fine Eng. Co. Ltd.;4;+82220680692 ;cyyoon@fineeng.co.kr;;www.se.com;Hyundai 41 Tower 1408, 293, Mokdongdong-ro, Yangcheon-gu;07997;Seoul;;Korea, Republic of;
1012895;Global Technology;4;82414150990;cw.lee@plc.pe.kr;;www.se.com;96-7, Woram-ro 436beon-gil, Eumbong-myeon;31414;Asan;Ch´ungch´ong-namdo;Korea, Republic of;
1012897;Hanbul Enertech Co., Ltd.;4;+82226212450;hnseo@hanbulenertech.co.kr;;www.se.com;#1405, G-HIGHCITY, 243, Digital-ro, Guro-gu;08394;Seoul;;Korea, Republic of;
1012898;HDC I-Controls;4;+82317851777;ihhwang@hdc-icontrols.com;www.hdc-icontrols.com/;www.se.com;Jeongja-dong Bundang-gu, Seongnam Gyeonggi-do;463-811;Seongnam;Kyonggi-do;Korea, Republic of;
1012899;(주)이에스파워;4;;ppdmups@naver.com;;www.se.com;경기도 성남시 중원구 둔촌대로 545번지 한라시그마밸리 b211-3호;111-222;성남;;Korea, Republic of;
1012902;INA MCT;4;82220260647;young@inamct.co.kr;www.inamct.co.kr/;www.se.com;168, Gasan digital 1-ro;8570;Seoul;Soul-t´ukpyolsi;Korea, Republic of;
1012903;ITLOGIN;4;02-711-1175;chshin@itlogin.co.kr;;www.se.com;4F,Cheongjin bldg. 138 Wonhyo-ro;140-600;seoul;;Korea, Republic of;
1012904;Jangho ENGTECH Co., Ltd.;4;82629525386;skhans@hanmail.net;;www.se.com;42-11, Hanamsandan 7beon-ro;62216;Gwangju;Kwangju-jikhalsi;Korea, Republic of;
1012905;JDS데이타(주);4;02-558-7920;ydpark@jdsdata.net;;www.se.com;금천구 디지털로9길 32;122012;서울;;Korea, Republic of;
1012909;Neo Health Technology Ltd.;4;01082422631;johnockim@neohealthtech.co.kr;www.neohealthtech.co.kr;www.se.com;1115-Ho, Nex-Zone, 50, Wanam-Ro, Seungsan-Gu;51573;Changwon;;Korea, Republic of;
1012910;Ace Control;4;+82164783215;ace_control@daum.net;;www.se.com;41, Gongwon-ro, Guro-gu, Seoul;152-843;Seoul;Soul-t´ukpyolsi;Korea, Republic of;
1012911;Sam-A Solutions;4;+82-2-2664-5840;;www.isama.net;www.se.com;강서구 송정로1길 19, 4층 (공항동);07627;서울특별시;Soul-t´ukpyolsi;Korea, Republic of;
1012913;Seochang Electric Communication;4;+82535856271;mavpark@scec.co.kr;www.scec.co.kr;www.se.com;597-6 Daecheon-dong, Dalseo-gu;704-801;Daegu;Taegu-jikhalsi;Korea, Republic of;
1012914;Smart Power System;4;;shin6060@smart-power.co.kr;;www.se.com;Seondong-gu, Achsans-ro, 17;04789;Seoul;Soul-t´ukpyolsi;Korea, Republic of;
1012915;SNUT CNT;4;314059330;kihahan@hanmail.net;;www.se.com;38-5, Omokcheon-dong, Gwonseon-gu, Suwon-si;441-847;Gyeonggi-do;;Korea, Republic of;
1012920;TAC Solution;4;82-2-595-7311;tacsol@naver.com;;www.se.com;Seocho-dong Seocho-gu;137-070;Seoul;Soul-t´ukpyolsi;Korea, Republic of;
1012921;AI Electric;4;+82319822375;;www.aielectric.co.kr;www.se.com;경기도 김포시 양촌읍 봉수대로 1704 D동 202호(동신상가);150-105;김포시;Kyonggi-do;Korea, Republic of;
1012926;Woojin Hitech;4;1032038293;apcups@hanmail.net;www.upseshop.com;www.se.com;2F Woojin BLDG 901-41 hogye2-dong, Dongahn-gu, Anyang Si, Gyeonggi-Do, Korea;431-836;Gyeonggi-Do;Kyonggi-do;Korea, Republic of;
