Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013388;AEI del Carmen Suc. Cancun;4;(998)2832405;cancun@aei.mx;https://aei.mx;www.se.com;Km 21 Carretera Cancún-Puerto Morelos,;77500;Cancun;Quintana Roo;Mexico;
1013389;Aei Mérida;4;(999)9412353;merida@aei.mx;https://aei.mx;www.se.com;Calle 60 Diagonal 483 A x 59.;97300;Mérida;Yucatán;Mexico;
1013390;Coel Tapachula;4;(962)1180901;ventas@coeltapachula.com;www.grupocoel.com.mx;www.se.com;Av. Central Sur 75 Entre 6a. y 9a Poniente;30700;Tapachula;Chiapas;Mexico;
1013391;Grupo Coel;4;(461)613-5573;ventas@coelcelaya.com;www.coel.com.mx;www.se.com;Blvd Adolfo Lopez Mateos 1116;36070;Celaya;Guanajuato;Mexico;
1013392;Grupo Coel;4;(55)91260600;ctames@tecnoelectrica.com.mx;www.coel.com.mx;www.se.com;Avenida 1ro de Mayo No. 229;53519;Naucalpan;Estado de México;Mexico;
1013393;Grupo Coel;4;(771)153-3204;ventas1@coelhidalgo.com;www.coel.com.mx;www.se.com;Boulevard Everardo Marquez No.413;42080;Pachuca;Hidalgo;Mexico;
1013394;Grupo Eléctrico del Noroeste;4;6677145216;luis_gmo_99@yahoo.com;www.grupoelectrico.com.mx;www.se.com;Av 16 De Septiembre Num 1660;80129;Culiacán;Sinaloa;Mexico;
1013395;Grupo Maseel;4;(656)62-03-231;ventasmaseel@gmail.com;www.grupomaseel.com;www.se.com;Ramiro Diaz Blvd Zaragoza 6951;32690;Ciudad Juárez;Chihuahua;Mexico;
1013401;Coel Veracruz;4;2299319939;coel7@hotmail.com;www.grupocoel.com.mx;www.se.com;Paso Y Troncoso 658;91700;Veracruz;Veracruz;Mexico;
1013412;Comercializadora Eléctrica del Sureste;4;9999269777;;;www.se.com;Calle 37 Num 482 A X 54 Y 56;97000;Mérida;Yucatán;Mexico;
1013423;Delectric;4;8999254260;ventas_reynosa@delectric.com.mx;www.delectric.com.mx;www.se.com;Occidental 1290 A;88660;Reynosa;Tamaulipas;Mexico;
1013456;Dima Eléctrica;4;6461753603;carlos@dimae-rr.com.mx;www.dimae-rr.com.mx;www.se.com;Blvd Insurgentes 3888;22579;Tijuana;;Mexico;
1013467;Dima Electrica;4;6646273660;;www.dimae-rr.com.mx;www.se.com;Blvd. Insurgentes 3888;22216;Tijuana;;Mexico;
1013478;Distribuidor Eléctrico Noreste;4;8688240726;fquintab@hotmail.com;www.densamx.com;www.se.com;Av Pedro Cardenas Km 4 5 S N;87394;Matamoros;Tamaulipas;Mexico;
1013489;Distribuidora Eléctrica Ascencio;4;;aldosempai@hotmail.com;www.distribuidora.com;www.se.com;Avenida Alemania 1257 1255;44190;Guadalajara;Jalisco;Mexico;
1013493;Impulsora Industrial Monterrey;4;8181257000;;www.impulsora.com;www.se.com;Carretera miguel Alemán No. 1500;66634;Apodaca;Nuevo Léon;Mexico;
1013494;Impulsora Industrial Monterrey S.A;4;9212143393;;www.impulsora.com;www.se.com;Carr Coatzacoalcos Villa Herm;96480;Coatzacoalcos;Veracruz;Mexico;
1013495;Industrial Eléctrica San Agustín;4;8948422430;;;www.se.com;Americo Villarreal Guerra S N;87500;Valle Hermoso;Tamaulipas;Mexico;
1013497;Mayoreo Eléctrico de Monterrey;4;8183330856;jovalle@bricos.com;www.bricos.com;www.se.com;Av. Fco. I Madero 2450 P;64440;Monterrey;Nuevo Léon;Mexico;
1013498;Mayoreo Eléctrico de Monterrey;4;8181501800;jovalle@bricos.com;www.bricos.com;www.se.com;Av. Fco I Madero No. 718 Pte.;64000;Monterrey;Nuevo Léon;Mexico;
1013499;Productos Eléctricos y Ferreteros;4;5558727290;rhernandez@impulsora.com;www.pefsa.com.mx;www.se.com;Av De La Luz No. 69;54700;Cuautitlan Izcalli;Estado de México;Mexico;
