Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013747;1Call Limited;4;64-3-5779321;sales@1call.co.nz;www.1call.co.nz;www.se.com;144 Middle Renwick Road;7201;Blenheim;Marlborough District;New Zealand;
1013748;2E Electrical Ltd;4;0800233532;2e.electrical@gmail.com;;www.se.com;18F Perclo Place;3200;Hamilton;Waikato;New Zealand;
1013749;Active Electrical Drury;4;098693316;drury@goactive.nz;goactive.nz/;www.se.com;271 Great South Rd Drury;2113;Auckland;;New Zealand;
1013751;ControlCo Automation - Optimum Air;4;0800660011;info@controlco.nz;https://www.controlco.nz/;www.se.com;30a Vestey Dr;1060;Mt Wellington;Auckland;New Zealand;
1013753;Copper Electrical;4;;copperelectrical@gmail.com;;www.se.com;4 Saville Row;6037;Johnsonville;;New Zealand;
1013754;Corys Electrical Albany;4;094780920;northshore@corys.co.nz;https://corys.co.nz/;www.se.com;18 Tawa Drive Albany;632;Auckland;;New Zealand;
1013755;Corys Electrical Ashburton;4;033076060;ashburton@corys.co.nz;https://corys.co.nz/;www.se.com;Unit A 62 Dobson Street;7700;Ashburton;;New Zealand;
1013756;Corys Electrical Balclutha;4;034184590;balclutha@corys.co.nz;https://corys.co.nz/;www.se.com;43 Stewart Street;9230;Balclutha;Otago;New Zealand;
1013757;Corys Electrical Blenheim;4;035775643;blenheim@corys.co.nz;https://corys.co.nz/;www.se.com;47 Main Street;7201;Blenheim;;New Zealand;
1013758;Corys Electrical Christchurch;4;033667560;christchurch@corys.co.nz;https://corys.co.nz/;www.se.com;202 Hazeldean Road Sydenham;8023;Christchurch;;New Zealand;
1013759;Corys Electrical Counties Power;4;092371256;pukekohe@corys.co.nz;https://corys.co.nz/;www.se.com;15 Nelson St Counties Power;2120;Auckland;;New Zealand;
1013760;Active Electrical East Tamaki;4;093998065;easttamaki@goactive.nz;goactive.nz/;www.se.com;17 Nandina Ave East Tamaki;2013;Auckland;;New Zealand;
1013761;Corys Electrical Dunedin;4;034740682;dunedin@corys.co.nz;https://corys.co.nz/;www.se.com;100 Cumberland Street;9016;Dunedin;;New Zealand;
1013762;Corys Electrical East Tamaki;4;092728010;easttamaki@corys.co.nz;https://corys.co.nz/;www.se.com;16 Lady Ruby Drive East Tamaki;2013;Auckland;;New Zealand;
1013763;Corys Electrical Frankton;4;034414195;frankton@corys.co.nz;https://corys.co.nz/;www.se.com;Unit 1, 156 Glenda Drive;9371;Frankton;Otago;New Zealand;
1013764;Corys Electrical Gisborne;4;068672084;gisborne@corys.co.nz;https://corys.co.nz/;www.se.com;351 Palmerston Road;4010;Gisborne;;New Zealand;
1013765;Corys Electrical Greymouth;4;037684462;greymouth@corys.co.nz;https://corys.co.nz/;www.se.com;8 Charles OConnor Street;7802;Greymouth;;New Zealand;
1013766;Corys Electrical Hastings;4;068726420;hastings@corys.co.nz;https://corys.co.nz/;www.se.com;202-206 Ellison Road;4122;Hastings;;New Zealand;
1013767;Corys Electrical Henderson;4;098363738;henderson@corys.co.nz;https://corys.co.nz/;www.se.com;163 Central Park Drive Henderson;610;Auckland;;New Zealand;
1013768;Corys Electrical Hornby;4;033495029;hornby@corys.co.nz;https://corys.co.nz/;www.se.com;40 Carmen Road;8042;Hornby;;New Zealand;
1013769;Corys Electrical Invercargill;4;032186054;invercargill@corys.co.nz;https://corys.co.nz/;www.se.com;138 Bond Street;9810;Invercargill;;New Zealand;
1013770;Corys Electrical Kawerau;4;073231100;kawerau@corys.co.nz;https://corys.co.nz/;www.se.com;Unit 5 KEA Building Paora Rd;3169;Kawerau;;New Zealand;
1013771;Active Electrical Hamilton;4;079035087;hamilton@goactive.nz;goactive.nz/;www.se.com;8 Devon Rd;3204;Hamilton;;New Zealand;
1013772;Corys Electrical Kerikeri;4;094016303;kerikeri@corys.co.nz;https://corys.co.nz/;www.se.com;59 Cobham Road;0245;Kerikeri;Northland;New Zealand;
1013773;Corys Electrical Levin;4;063670620;levin@corys.co.nz;https://corys.co.nz/;www.se.com;11Power St;5510;Levin;Manawatu-Wanganui;New Zealand;
1013774;Corys Electrical Lower Hutt;4;045861730;lowerhutt@corys.co.nz;https://corys.co.nz/;www.se.com;74-78 Victoria Street;5010;Lower Hutt;;New Zealand;
1013775;Corys Electrical Ltd Otago Uni;4;034793807;otagouni@corys.co.nz;https://corys.co.nz/;www.se.com;111 Albany Street;9016;Otago Uni;;New Zealand;
