Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1014701;Accent Micro Technologies Inc.;4;;dyan.sepanton@amti.com.ph;;www.se.com;LOT 22 BLK 2 Riverville Subd. Balikbayan Road RIVERVILLE SUBDIVISION, BRGY. TANDANG KUTYO LOT 22 BLK 2 BALIKBAYAN ROAD;1980;TANAY;;Philippines;
1014702;Advance Solutions Incorporated;4;9175256763;katelyn.cabrera@myasiph.com;www.advancesolutions.net;www.se.com;3/F PPL Bldg., UN Avenue Corner, Marcelino Street, Paco;1007;Paco Manila;Central Luzon;Philippines;
1014704;T & D Power Systems Corporation (Antipolo) 2019;4;63(2)6458449;td.power@yahoo.com;;www.se.com;#35 Josefina Subdivision,Mambugan,Sumulong Highway,Antipolo City1870, Antipolo City, Philippines;1870;Antipolo City;;Philippines;
1014706;TECHOME CORPORATION;4;33-509-6551;wush.techome@gmail.com;https://www.facebook.com/Techome2009;www.se.com;1688MALL Quezon Corner Ledesma Streets,;iloilo;ILOILO CITY;;Philippines;
1014707;Techsupport.Ph, Inc.;4;;jerome@techsupport.ph;;www.se.com;Unit 31,Martino Building, Libertad St. Corner kanlaon;1553;Mandaluyong;;Philippines;
1014708;Telematico Enterprises Inc.;4;632-625-6254;eve@telematico.com.ph;telematico.com.ph/;www.se.com;CITYLAND PIONEER TOWER;1554;MANDALUYONG;;Philippines;
1014709;Telkha Network Inc.;4;0283618623;telkhasupport@telkha.com;telkhanetwork.com;www.se.com;8F Highstreet South Corporate Plaza Tower 1, BGC, Taguig;1630;Taguig;;Philippines;
1014710;Thinking Tools, Inc.;4;(032)255-6641to44;sales@tti.com.ph;;www.se.com;TTI Bldg., Junquera Ext. cor. R.R. Landon St., Cebu City 6000;6000;CEBU CITY;;Philippines;
1014712;Trends & Technologies, Inc. (Makati) 2017;4;9175955041;vlregala@trends.com.ph;www.trends.com.ph;www.se.com;8th Floor Trafalgar Plaza, 105 H.V Dela Costa Street, Salcedo Village, Makati 1227, Philippines;1227;Makati;;Philippines;
1014713;Unicenter Communications;4;9209492165;unicentercom@gmail.com;;www.se.com;Door No 3-6, Rizal Memorial College Building, Lopez Jaena, F. Torres Street, Barangay 8-A, Davao City, 8000 Davao del Sur, Philippines;8000;Davao City;;Philippines;
1014714;Complink (Robinsons Galleria) 2017;4;;purchasing@complink.com.ph;;www.se.com;East Wing Level 1, Unit01487, Robinsons Galleria;1605;Pasig;;Philippines;
1014716;VillMan Computer Systems, Inc.;4;+6329490411;j_juanzo@villman.com;www.villman.com;www.se.com;VCSi Bldg. 32 Road 8, Bagong Pagasa;1105;Quezon City;;Philippines;
1014717;Windows Home Users;4;9164514402;h20dragon@live.com;;www.se.com;Old Iloilo-Capiz Rd.;5042;Lambunao;West Visayas;Philippines;
1014718;Xymbolic IT Solution Provider Corp.;4;09957596197;jcatalan@xymbolic.com.ph;;www.se.com;Mt. Apo 1st St. New Asinan;2200;Olongapo;Central Luzon;Philippines;
1014720;Zenitsuga Global Solutions Inc.;4;+639771909955;sales@zenitsuga.com;www.zenitsuga.com;www.se.com;61 N. Domingo St. Cor. GB. Santos St.;1500;San Juan;;Philippines;
1014721;Zenshin Systems Corporation (Quezon City) 2017;4;;marilyn@zenshin.com.ph;;www.se.com;25 GRoxas Street corner Tangali Street,;1115;Quezon City;;Philippines;
1014724;CT Link Systems Inc;4;9175905287;lina_nera@ctlink.com.ph;;www.se.com;4th floor, Maripola Building, Perea St, Makati;1229;Makati City;;Philippines;
1014725;CYO International, Inc.;4;;cyointl@cyointernational.com;;www.se.com;9F Iriz One Bldg;1605;Pasig City;;Philippines;
1014726;D-Point Technologies Asia, Inc.;4;;w.francisco@dpointtechnologies.com;www.dpointtechnologies.com/;www.se.com;Unit 1603 One San Miguel Avenue Building San Miguel Avenue cor. Shaw Boulevard, Ortigas Center, Pasig City;1605;Pasig;;Philippines;
1014727;Data Center Design Corp;4;;jcbahian@dcdc.com.ph;;www.se.com;22F Rm. 2207-2214 Cityland Pasong Tamo Tower;1230;Makati City;Central Luzon;Philippines;
1014728;Data Center Design Corporation;4;8124885;benjie.kiunisala@dcdc.com.ph;;www.se.com;2F Mile Long Building, Amorsolo Street;1229;Makati;;Philippines;
1014729;Datacore Technologies Inc.;4;77289827;info@datacore.ph;;www.se.com;195 Carriedo Street;1500;San Juan City;Central Luzon;Philippines;
1014730;Dataworld Computer Center;4;;jerick.jjcdl@gmail.com;;www.se.com;10 Aquarius st. Cruzville Subd. Novaliches;1124;Quezon City;;Philippines;
1014732;Delta Dore Inc.;4;;mruby@deltadore.com;;www.se.com;2nd-4th Floors New Building, La Fuerza Compound Gate 1, 2241 Chino Roces Avenue1231, Makati City, Philippines;1231;Makati City;;Philippines;
1014733;Distribution & Control Products, Inc (Mandaluyong);4;6325357644;;;www.se.com;74 P. Cruz St. Brgy. New Zaniga Boni Extension1550, Mandaluyong, Philippines;1550;Mandaluyong;;Philippines;
1014735;EAST WIND TECH PHILS INC.;4;+6328654-3763+63918-910-5006;g.tono@ewtpi.com;https://east-wind-tech-phils-inc.business.site/;www.se.com;216 Dona Soledad Avenue Ext., Don Bosco,Paranaque City;1700;Metro Manila;;Philippines;
1014736;Empire Automation Phils. Inc;4;+6328921186;;www.empire-automation.com/;www.se.com;5th floor Emmanuel House;1229;Makati City;;Philippines;
1014737;Exelon Power Solutions, Inc.;4;585164/5851445;;;www.se.com;10 Jenny's Ave Brgy. Rosario Pasig City;1609;Pasig City;Central Luzon;Philippines;
1014738;Fastlink Computer Company;4;9271850073;d.verdejo@fastlink.ph;;www.se.com;#57 P. Tuazon Boulevard;1109;Quezon City;;Philippines;
1014739;FUJIDANRO MARKETING;4;+63322386769;fdmi_cebu@yahoo.com;;www.se.com;unit 1, ros-mel building;6014;mandaue;Central Visayas;Philippines;
1014740;Fujitechnik Engineering;4;+63322687298;fujitechnik@gmail.com;;www.se.com;unit 104A krisdale building;6014;mandaue;Central Visayas;Philippines;
1014741;Gaisano Interpace;4;09777428473;dina@gaisano-interpace.com;www.gaisano-interpace.com;www.se.com;3rd Floor Gaisano Mall;9000;Cagayan de Oro City;;Philippines;
1014743;Gaisano Interpace Computer System (Cebu) 2017;4;;khtio@yahoo.com;;www.se.com;F2 APM Shopping Mall ASoriano JrAve;6000;Cebu;;Philippines;
1014744;Gemora Electronic Marketing & Services;4;;sales@gemora.com.ph;www.gemora.com.ph;www.se.com;Unit A-106 State Condominium V;1211;MAKATI;;Philippines;
1014746;Global Trends & Infrastructure Technologies Inc.;4;029596418;rcc@globaltrendsph.com;www.globaltrendsph.com;www.se.com;2nd floor CTF building, San Rafael St., Brgy. Plainview, Mandaluyong City, Philippines;1550;Mandaluyong City;Central Luzon;Philippines;
1014747;Gspecs Industrial Corporation (Pasig) 2019;4;09176573388;;www.gspecs.com.ph;www.se.com;Princeton Square, 35 C. Raymundo Ave;1609;Pasig City;;Philippines;
1014748;GTECH SOLUTIONS, INC. 2019;4;(02)5566813;;;www.se.com;Lot 8A, Road 2, Daiichi Industrial Park4118, Silang, Philippines;4118;Silang;;Philippines;
1014749;HV POWER CONCEPTS;4;;hanz.goopio@hvpowerconcepts.com;www.hvpowerconcepts.com;www.se.com;UNIT 107 THE ORIENT BUILDING;PH;CEBU CITY;;Philippines;
1014750;iclassed;4;63282749531;check@iclassed.com;www.iclassed.com;www.se.com;2702 Park Avenue;1302;Pasay;;Philippines;
1014751;Imaginet International Inc.;4;9668373377;;;www.se.com;101 Zodiac Street Palm Village;1630;Makati City;Central Luzon;Philippines;
