Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1016037;ARC ELECTRONIC SH CONSTANTA;4;40733509445;;www.arc-electronic.ro;www.se.com;Strada Industriala, NR 6;900147;Constanta;Constanta;Romania;
1016038;DEDEMAN SIBIU 77;4;0234525525;;www.dedeman.ro;www.se.com;STRADA MIHAI VITEAZU, Nr. 4;557260;Selimbar;Sibiu;Romania;
1016048;ARC ELECTRONIC SH COVASNA;4;+40267310357;;www.arc-electronic.ro;www.se.com;Strada Nicolae Iorga, Nr.34, BL C, Parter;520089;Sfantu Gheorghe;Covasna;Romania;
1016052;Diamant Servimpex SRL;4;+40213510408;;;www.se.com;Cal. Bucurestilor 96;075100;Otopeni;Bucuresti;Romania;
1016053;Ecolux Comrat;4;+37329884950;;;www.se.com;Strada Galatan, Nr. 9A;MD3805;Comrat;;Moldova;
1016054;Ecolux SRL;4;+37322500963;;;www.se.com;Starda Sfantul Gheorghe, Nr. 3;MD2001;Chisinau;;Moldova;
1016055;ECOVOLT SRL;4;+40258818081;;www.ecovolt.ro;www.se.com;STR.PETRESTI 17;510184;Alba Iulia;Alba;Romania;
1016056;EEE SA;4;+40256291661;ee@eee.ro;www.eee.ro;www.se.com;BD. INDUSTRIILOR NR. 4;300714;TIMISOARA;Timis;Romania;
1016057;EEE SA PL Cluj;4;+40364140034;depozitcluj@eee.ro;www.eee.ro;www.se.com;Str. Beiusului nr. 7A;400394;Cluj - Napoca;Cluj;Romania;
1016058;EEE SA PL Sebes;4;+40258735296;depozitsebes@eee.ro;www.eee.ro;www.se.com;Str. Vanatori Bloc V1;515800;SEBES;Alba;Romania;
1016060;EL-NESS SRL;4;+40251427717;;;www.se.com;Drumul Ungurenilor nr.6;200777;Craiova;Dolj;Romania;
1016061;ELCOTRANS SA;4;0745634441;office@elcotrans.ro;www.elcotrans.ro;www.se.com;Stradela Ipsilanti 2;700259;;Iasi;Romania;
1016062;ELECO SYSTEM SRL;4;+403513678;;;www.se.com;Calea Mosilor, 201, bl.9, sc A, et.2 ap 6;020859;Bucuresti;Bucuresti;Romania;
1016063;ELECTRA INSTAL SRL;4;+40264317952;;www.electra-instal.ro;www.se.com;GEN.DRAGALINA 8;401086;TURDA;Cluj;Romania;
1016064;ELECTRIC COM 3M SH MEDIAS;4;+40269838072;;www.electric3m.ro;www.se.com;CALAFAT Nr. 2;551124;MEDIAS;Sibiu;Romania;
1016065;ELECTRIC SYS SRL;4;+40256274498;;;www.se.com;Calea Torontalului nr. 6 Parcul Ind. Tehnologic Timisoara;300633;Timisoara;Timis;Romania;
1016066;ELECTRO CENTER SRL;4;+40361881366;;;www.se.com;STADA EROILOR 8;440074;SATU MARE;Satu Mare;Romania;
1016068;ELECTRO-ALFA INT. BUCURESTI;4;+40213165228;;www.electroalfa.ro;www.se.com;SPLAIUL INDEPENDENTEI 319;060044;Bucuresti;Bucuresti;Romania;
