Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1019227;Ingenium Automation + Engineering Pte Ltd;4;91099557;balaji@ingeniumiae.com;www.ingeniumiae.com;www.se.com;111 NORTH BRIDGE ROAD ,#21-01 PENINSULA PLAZA;179098;Singapore;;Singapore;
1019232;iTaz Pte. Ltd;4;68162696;andy@itaz.com.sg;www.itaz.com.sg;www.se.com;Block 3014 Ubi Road 1 #03-272;408702;Singapore;Singapore;Singapore;
1019233;IVOLUTE TECHNOLOGIES PTE LTD.;4;;zhiyang.lin@ivolute.com;www.ivolute.com;www.se.com;2 KALLANG PUDDING ROAD;349307;SINGAPORE;;Singapore;
1019234;J-Tech Commerce Pte Ltd;4;94562058;jtechcommerce@jtechcommerce.com;;www.se.com;Blk 2 Lorong Lew Lian #11-52;531002;Singapore;Singapore;Singapore;
1019235;JIP Technology Pte Ltd;4;+6565093400;;www.jiptech.com;www.se.com;No 21, Toh Guan Road East, #05-25, Toh Guan Centre;608609;Singapore;Singapore;Singapore;
1019236;JK Technology Pte Ltd;4;87222003;justin_koh@jktech.com.sg;;www.se.com;61 Kaki Bukit Shun Li Industrial #02-13;417943;singapore;Singapore;Singapore;
1019240;KDDI SINGAPORE PTE LTD;4;;t-kondo@kddi.com.sg;;www.se.com;105 Cecil Street, #13-01 The Octagon;069534;SINGAPORE;;Singapore;
1019243;KG Sowers Group Pte Ltd;4;62502083;sales@sowers.com.sg;www.sowers.com.sg;www.se.com;3 Ang Mo Kio Street 62, #08-33, LINK@AMK;569139;Singapore;;Singapore;
1019244;LanTro (S) Pte Ltd;4;67781668;louis@lantro.com;;www.se.com;8 Ayer Rajah Crescent Lantrovision Building;139939;Singapore;Singapore;Singapore;
1019245;Lantronic and Marketing Services;4;97371386;royston.lee@lantronic.com.sg;;www.se.com;10 Ubi Crescent #06-18;408564;Singapore;Singapore;Singapore;
1019246;Latitude Services Pte Ltd;4;6591785821;kelvin@latitude-svcs.com;www.latitude-svcs.com;www.se.com;144 Robinson Road #18-01 Robinson Square;068908;Singapore;Singapore;Singapore;
1019249;Lim Kim Hai Electric Co (S) Pte Ltd;4;62923711;sales@limkimhai.com.sg;www.limkimhai.com.sg/;www.se.com;Lim Kim Hai Building 53 Kallang Place Singapore 339177;339177;Singapore;Singapore;Singapore;
1019250;LKH Precicon Pte Ltd;4;66729229;sales@precicon.com.sg;;www.se.com;63 Hillview Avenue #10-21 Lam Soon Industrial Building Singapore 669569;669569;Singapore;Singapore;Singapore;
1019251;LOGICALIS SINGAPORE PTE LTD.;4;;thampi@ap.logicalis.com;www.logicalis.com;www.se.com;150 KAMPONG AMPAT #04 06 KA CENTRE;368324;Singapore;;Singapore;
1019256;Mecomb Singapore Limited;4;65721200;wendy.chew.meilian@simedarby.com.sg;;www.se.com;6 Jurong Pier Road Singapore 619158;619158;Singapore;Singapore;Singapore;
1019257;Megatron Technology Pte Ltd;4;+6563462001;veron@megatron.com.sg;;www.se.com;2 Kallang Avenue #08-17 CT Hub;339407;Singapore;Singapore;Singapore;
1019258;MEMORY WORLD (S) PTE LTD.;4;;elvin@memoryworld.com.sg;www.memoryworld.com.sg;www.se.com;No 1, Rochor Canal Road;188504;Singapore;Singapore;Singapore;
1019259;ALLPOWERS GLOBAL;4;96936457;sales@allpowers.mobi;https://allpowers.mobi;www.se.com;1 Tampines North Drive 1, T-SPACE, #06-08;528559;Singapore;Singapore;Singapore;
1019260;Meridian IT Solutions Pte Ltd;4;66863307;sales@mits-sg.com;;www.se.com;12 Tannery Road;347722;Singapore;Singapore;Singapore;
1019264;Mossad Services Pte Ltd.;4;;sales@mossadservices.com;www.mossadservices.com;www.se.com;Blk 9004 Tampines St 93 #04 110;528838;Singapore;;Singapore;
1019265;MQ Communications Pte Ltd;4;64997600;tianjie.chong@mqcoms.com;;www.se.com;15 Lorong 8 Toa Payoh Braddell Tech #04-05;319262;Singapore;Singapore;Singapore;
1019266;MQ Solutions & Services Pte Ltd;4;64997617;adrian.toh@mqsolutions.com.sg;;www.se.com;15 Lorong 8 Toa Payoh;319262;Singapore;Singapore;Singapore;
1019267;MyNet Technologies Pte Ltd;4;+6564824773;sales@mynet.com.sg;;www.se.com;5 Ang Mo Kio Industrial Park 2A;567760;Singapore;Singapore;Singapore;
1019268;NCS Pte Ltd;4;65568000;reachus@ncs.com.sg;;www.se.com;5 Ang Mo Kio, ST 62, S(569141);569141;Singapore;Singapore;Singapore;
1019269;Netpro Solutions Pte Ltd;4;;sam@netpro.sg;;www.se.com;30 Kallang Place#05-09;339159;Singapore;Singapore;Singapore;
1019270;AMNET TECHNOLOGY PTE LTD;4;;marcom@amnet.com.sg;amnet.com.sg;www.se.com;60Kaki Bukit Place, eunos tech park Unit #06-11,;415979;Singapore;Singapore;Singapore;
1019271;New Prosperity Electrical Pte Ltd;4;62641100;lynn.koh@npe.sg;;www.se.com;Block 25 Pioneer Road North #01-126/127 Singapore 628469;628469;Singapore;Singapore;Singapore;
1019272;New State DDS;4;;raysoh@newstead.com.sg;www.newstead.com.sg/enterprise;www.se.com;City Square Mall 180 Kitchenal Road;208539;Singapore;;Singapore;
1019273;New Union Electrical Pte Ltd;4;64844518;info@newunion.com.sg;;www.se.com;50 Serangoon North Ave 4 #01-09 First Centre;555856;Singapore;Singapore;Singapore;
1019274;Nordic Solutions ( Asia ) Private Limited;4;90280956;sale@nordic-solutions.asia;nordic-solutions.asia/;www.se.com;Blk 18, Boon Lay Way, #05-135;609966;Singapore;Singapore;Singapore;
1019275;Noryanismayus Enterprise;4;63921211;collins@noryanismayus.com;;www.se.com;25 Synergy@KB #05-33;417800;Singapore;Singapore;Singapore;
1019276;NP Networks Pte Ltd;4;68448087;edwin@npnetworks.com.sg;;www.se.com;113 Eunos Ave 3;409838;Singapore;Singapore;Singapore;
1019278;OMEGA Integration Pte Ltd;4;;bencc.chong@omega-in.com;www.omega-in.com;www.se.com;1 Bukit Batok Street 22, #03-02;659592;Singapore;;Singapore;
1019280;ONLINE DIGITAL LLP;4;81878298;contact@onlinedigital.com;onlinedigital.com;www.se.com;16 RAFFLES QUAY #41-07 HONG LEONG BUILDING;048581;Singapore;;Singapore;
1019281;AMNET TECHNOLOGY PTE LTD.;4;;sawhtoo@amnet.com.sg;;www.se.com;60 Kaki Bukit Place #06-10/11/12;415979;SINGAPORE;;Singapore;
1019282;Oregon Prime Marketing (International) Pte Ltd;4;;johncheng@oregonprime.com;;www.se.com;10 Ubi Crescent;408564;Singapore;;Singapore;
1019283;Pac Components Pte Ltd;4;68441660;gina@paccom.net;;www.se.com;97 Kaki Bukit Avenue 1Shun Li Industrial Park,;415983;Singapore;Singapore;Singapore;
1019284;Powerwell Pte Ltd;4;6567412468;liana@powerwell.com.sg;powerwell.com.sg;www.se.com;60 Kaki Bukit Place;415979;Singapore;Singapore;Singapore;
1019286;Primera Electrical and Control Engineering;4;+6596875363;primerasg@gmail.com;;www.se.com;1 Clementi Loop, #01-02;128909;Singapore;Singapore;Singapore;
1019287;PRINCIPLE ONE PTE LTD.;4;+6564335000;info@principleone.com;www.PrincipleOne.com;www.se.com;1 George Street #1401A,;049145;Singapore;Singapore;Singapore;
1019288;Pro-Datech Systems Pte Ltd;4;6562757000;paetrickchua@prodatech.com;;www.se.com;2 Alexandra Road, #06-02 Delta House, S(159919);159919;Singapore;;Singapore;
1019289;PRO-MATRIX PTE LTD;4;;nagao.shinsho@promatrix.sg;;www.se.com;Unity Centre #07-13, 51 Bukit Batok Crescent;658077;SINGAPORE;;Singapore;
1019290;Promatrix Pte Ltd;4;96227043;jayden.chong@promatrix.sg;;www.se.com;26 Sin Ming Lane, Midview City;573971;singapore;Singapore;Singapore;
1019291;PRONICS Digital Pte Ltd;4;;raffin_toh@pronicsdigital.com;;www.se.com;22 Yio Chu Kang Rd;545535;Singapore;;Singapore;
1019292;AMSEER;4;90362086;pur.ams@amseer.com;;www.se.com;6 Teck Whye Avenue;680006;Singapore;;Singapore;
1019293;PSIDEO (SINGAPORE) PTE LTD;4;+6565001441;romain.meraud@psideo.com;;www.se.com;6 TEMASEK BOULEVARD;38986;SINGAPORE;Singapore;Singapore;
1019294;QUANTUM CONSULTANCY SERVICES PTE LTD.;4;66345515;sales@qcs.com.sg;www.qcs.com.sg;www.se.com;33 Ubi Avenue 3, #02-20 Vertex (Tower A) Singapore SINGAPORE 408868;408868;Singapore;;Singapore;
1019295;RAMMP IT Solutions Pte Ltd;4;69080668;cyravi@rammp.com.sg;www.rammp.com.sg;www.se.com;101 CECIL STREET;069533;Singapore;Singapore;Singapore;
1019296;Real Futures Pte Ltd;4;;hiro_uetake@rfsc.com.sg;;www.se.com;1 North Bridge Road;179094;Singapore;;Singapore;
