Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020069;7424TÉCNIQUES DE CLIMA I SANITARI S.L;4;933035533;marc.fiallega@teclisa.com;;www.se.com;PERÚ, 156-15;08020;BARCELONA;Barcelona;Spain;
1020071;ALECAS SERVICIOS Y GESTION, S.L.;4;964340734;amarti@sesaelec.com;;www.se.com;CAMI PI GROS, 52;12005;CASTELLON DE LA PLANA;Castellon;Spain;
1020073;CARLOS ALCARAZ, S.A.;4;952478886;;;www.se.com;MALLORCA,ESQ.INCA P.ISLAS BALEARES;29640;FUENGIROLA;Malaga;Spain;
1020074;CARLOS ALCARAZ, S.A. (Delegación Almería);4;950268899;;;www.se.com;C/ BENITAGLA, 4 P.I. CORTIJO GRANDE;04007;ALMERIA;Almeria;Spain;
1020075;CARLOS ALCARAZ, S.A.(CATALUÑA).;4;952393799;;;www.se.com;CATALUÑA, 47;29009;MALAGA;Malaga;Spain;
1020076;CARLOS ALCARAZ, S.A.(CENTRAL).;4;951011500;;;www.se.com;CTRA. AZUCARERA-INTALHORCE, 14;29004;MALAGA;Malaga;Spain;
1020077;CARLOS ALCARAZ,S.A.;4;952455182;;;www.se.com;P.I. CANTARRANAS, SECTOR 6-NAVES 6 Y 8, PTA. 5;29100;COIN;Malaga;Spain;
1020078;CAROL AUTOMATISMES BAGES, S.L;4;938749500;;;www.se.com;MIQUEL SERVET, 29-33, NAVE 2 P.I.BUFALVENT;08243;MANRESA;Barcelona;Spain;
1020080;CAROL AUTOMATISMOS IGUALADA, S.A.;4;938017370;;;www.se.com;ITALIA,11 NAVE 8 POL.IND.LES COMES;08700;IGUALADA;Barcelona;Spain;
1020081;CAROL AUTOMATISMOS MARTORELL, S.A.;4;937735680;;;www.se.com;CAN ALBAREDA, 78 POLIGONO INDUSTRIAL EL CONGOST;08760;MARTORELL;Barcelona;Spain;
1020082;ALM. ELEC.MADRILEÑOS,S.A EMBAJADORES;4;915171858;;;www.se.com;EMBAJADORES, 168;28045;MADRID;;Spain;
1020083;CAROL INDUSTRIAL, S.A.;4;937457700;torras@grupcarol.com;www.grupcarol.com;www.se.com;BORRAS, 31-35;08208;SABADELL;Barcelona;Spain;
1020084;CENTRELEC, S.L.;4;920253864;;;www.se.com;POL.IND.LAS HERVENCIAS, P.22;05004;AVILA;Avila;Spain;
1020085;CENTRELEC, S.L.;4;916931255;;;www.se.com;TRIGO, 1-3 NAVE 15 POL.IND POLVARANCA;28914;LEGANES;Madrid;Spain;
1020086;CODIME BOLEA SL;4;938902011;ctejero@codime.cat;;www.se.com;CTRA SANT JAUME DELS DOMENYS, KM0.5 PI DOMENYS I;08720;VILAFRANCA DEL PENEDES;Barcelona;Spain;
1020087;CODIMEL S.A.;4;950459110;;;www.se.com;VENTE VACIO PARC. E-15 POL.IND. EL REAL;04628;ANTAS;Almeria;Spain;
1020088;coeva barcelona;4;932431960;jreina@coevabcn.com;;www.se.com;c/ costa rica, 21-23;08027;barcleona;Barcelona;Spain;
1020089;COEVA GIRONA, S.A.;4;972231674;tecnic@coevagi.com;www.coevagi.com/;www.se.com;Carrer RASET 160;17180;VILABLAREIX;Girona;Spain;
1020090;COEVA GIRONA, S.A.;4;972269162;delegat.olot@coevagi.com;www.coevagi.com/es/;www.se.com;FRANÇA,6;17800;OLOT;Girona;Spain;
1020091;COEVA GIRONA, S.A.;4;972670323;direccio.comercial@coevagi.com;www.coevagi.com/es/;www.se.com;ALEMANYA S/N;17600;FIGUERES;Girona;Spain;
1020092;COEVA VIC, S.A.;4;;pere.serradell@coevavic.com;;www.se.com;LLEIDA, 3 ESQ. C/GANDESA;08500;VIC;;Spain;
1020093;ALM. ELEC.MADRILEÑOS,S.A GETAFE;4;916652222;;;www.se.com;BRINELL, 6-8, POL.IND. SAN MARCOS;28906;GETAFE;Madrid;Spain;
1020094;COMATEL, S.L.;4;965114808;;;www.se.com;ROSA DE LOS VIENTOS, 22-24;03007;ALICANTE;Alicante;Spain;
1020096;COMERCIAL BADI, S.A.;4;957325705;p92mucar@hotmail.com;;www.se.com;GALVEZ Y ARANDA, S/N. PARCELA 6 POL.IND. LAS QUEMADAS;14014;CORDOBA;Córdoba;Spain;
1020097;COMERCIAL DEL SUR, S.A.;4;954529411;oficina.cial1@comesur.es;www.comesur.es;www.se.com;AVDA. FERNANDEZ MURUBE, 12 B;41007;SEVILLA;Sevilla;Spain;
1020098;COMERCIAL DEL SUR, S.A.;4;958401970;;;www.se.com;CORDOBA, 4 POL.IND.LA UNIDAD (ASEGRA);18210;PELIGROS;Granada;Spain;
1020099;COMERCIAL DEL SUR,S.A.;4;959244365;;;www.se.com;Poligono industrial Marismas del Polvorín, Calle E, Nave 14;21007;HUELVA;Huelva;Spain;
1020100;COMERCIAL ELEC. CANARIAS, S.A. (ADEJE);4;922781997;;;www.se.com;P. I ATALAYA NAVE L-3-A4 BARRANCO LAS TORRES;38670;ADEJE;Sta. Cruz Tenerife;Spain;
1020101;COMERCIAL ELEC. CANARIAS, S.A. (EL MAYORAZGO);4;922200786;;;www.se.com;P.I. EL MAYORAZGO, NAVE 7;38108;SANTA CRUZ DE TENERIFE;Sta. Cruz Tenerife;Spain;
1020102;COMERCIAL ELEC. CANARIAS, S.A. (ICOD DE LOS VINOS);4;922813121;;;www.se.com;CTRA GENERAL BUEN PASO, KM 52;38430;ICOD DE LOS VINOS;Sta. Cruz Tenerife;Spain;
1020103;COMERCIAL ELEC. CANARIAS, S.A. (LA GOMERA);4;922871256;;;www.se.com;AVDA. JOSE AGUIAR, 20;38800;SAN SEBASTIAN GOMERA;Sta. Cruz Tenerife;Spain;
1020104;ALMACENES ELEC.DE GALICIA,SA;4;986260626;;;www.se.com;CAMINO RAPOSEIRA 16, SARDOMA;36214;VIGO;Pontevedra;Spain;
1020105;COMERCIAL ELEC. CANARIAS, S.A. (LA LAGUNA);4;922256640;;;www.se.com;AVDA. VENEZUELA (PUENTE COROMOTO);38201;LA LAGUNA;Sta. Cruz Tenerife;Spain;
1020106;COMERCIAL ELEC. CANARIAS, S.A. (LA PALMA);4;922412483;;;www.se.com;URB LOS GUINCHOS, NAVE Nº1;38710;BREÑA ALTA;Sta. Cruz Tenerife;Spain;
1020107;COMERCIAL ELEC. CANARIAS, S.A. (LOS LLANOS DE ARIDANE);4;922402414;;;www.se.com;PEDRO HERNÁNDEZ CAMACHO, 22;38760;LLANOS DE ARIDANE;Sta. Cruz Tenerife;Spain;
1020108;COMERCIAL ELEC. CANARIAS, S.A. (PTO. DE LA CRUZ);4;922383729;;;www.se.com;IRIARTE, 4;38400;PUERTO DE LA CRUZ;Sta. Cruz Tenerife;Spain;
1020109;COMERCIAL ELEC. CANARIAS, S.A. (SAN JERÓNIMO);4;922320835;;;www.se.com;INGENIERO AZUCARERO, PARCELA 57;38300;LA OROTAVA;Sta. Cruz Tenerife;Spain;
1020110;COMERCIAL ELEC.CANARIAS, S.A.;4;922626362;;;www.se.com;LOCAL 2 - UNION AZUFRERA;38108;TACO BARRANCO GRANDE;;Spain;
1020112;COMERCIAL ELEC.INDUSTRIAL, S.A.;4;937310358;terrassa@grupcei.net;;www.se.com;ARQUITECTE PUIG I CADAFALCH, 10-12;08222;TERRASSA;Barcelona;Spain;
1020113;COMERCIAL ELEC.INDUSTRIAL, S.A. MONTCADA;4;935645951;;;www.se.com;PASEO SAN JORGE 15;08110;MONTCADA I REIXAC;Barcelona;Spain;
1020114;COMERCIAL ELEC.INDUSTRIAL, S.A. SABADELL;4;937114252;;;www.se.com;CTRA. DE BARCELONA 625;08204;SABADELL;Barcelona;Spain;
1020115;ALMACENES ELEC.DE LEVANTE S.A. - ALZIRA;4;962403156;;;www.se.com;CTRA. DE ALGEMESI, S/NO. POL. IND. NO.1;46600;ALZIRA;Valencia;Spain;
1020116;COMERCIAL ELEC.INDUSTRIAL, S.A. ST.Celoni;4;938673318;;www.grupcei.net;www.se.com;VERNEDES, 1 POL. MOLI DE LES PLANES NAUS 5 Y 6;08470;SANT CELONI;Barcelona;Spain;
1020117;COMERCIAL ELEC.INDUSTRIAL, S.A.BARCELONA;4;933462861;;;www.se.com;PASAJE ISABEL RIBO, 7-9;08030;BARCELONA;Barcelona;Spain;
1020118;COMERCIAL ELEC.INDUSTRIAL, S.A.CASTELLDEFELLS;4;931666151;castelldefels@grupcei.net;www.grupocei.net;www.se.com;Av. De la Constitució 83;08860;CASTELLDEFELS;;Spain;
1020119;COMERCIAL ELEC.INDUSTRIAL, S.A.CERDANYOLA DEL VALLES;4;936928382;cerdanyola@grupcei.net;;www.se.com;CTRA. DE BARCELONA 189;08290;CERDANYOLA DEL VALLES;Barcelona;Spain;
1020120;COMERCIAL ELEC.ONUBENSE SA;4;959541154;javierfernandez@ceosa.es;;www.se.com;GLORIETA NORTE, S/No.;21001;HUELVA;;Spain;
1020121;COMERCIAL ELECTRICA ALCOBENDAS, S.L;4;;info@coelsa.es;;www.se.com;FRANCISCO GERVAS, 14;28108;ALCOBENDAS;Madrid;Spain;
1020122;COMERCIAL ELECTRICA DE SEVILLA S.L.;4;954421254;;;www.se.com;POL.IND.EL PINO.CALLE PINO SIBERIA 3;41008;sevilla;Sevilla;Spain;
1020123;COMERCIAL ELECTRICA GUERRERO, S.L.L;4;958279558;;;www.se.com;CARRT.ANTIGUA DE MALAGA,136-NAVE 7B;18015;GRANADA;Granada;Spain;
1020124;COMERCIAL FONT GAS,S.L. TERRASSA;4;937349900;;;www.se.com;DE LA CASTELLASSA, 42;08227;TERRASSA;Barcelona;Spain;
1020125;COMERCIAL HISPANOFIL;4;945359715;antonio.nino@sonepar.es;www.hispanofil.es;www.se.com;Avda. de los Olmos, 1. Edificio D3. Oficina 231.;01013;Vitoria-Gasteiz;Alava;Spain;
1020126;ALMACENES ELEC.DE LEVANTE S.A.- VALENCIA;4;963182025;;;www.se.com;AVDA.DE LOS TRABAJADORES, 22-24 POL.IND.HORNO DE ALCEDO;46026;VALENCIA;Valencia;Spain;
1020127;COMERCIAL HISPANOFIL, S.A.;4;979712424;;;www.se.com;CTRA. VIAL NAVE 7-8 P.I.NTRA.SEÑORA DE LOS ANGELES;34004;PALENCIA;;Spain;
1020128;COMERCIAL HISPANOFIL, S.A.;4;947474242;rodrigo.garcia@sonepar.es;www.hispanofil.es;www.se.com;C/ FUERO DEL TRABAJO Nº 12;09007;BURGOS;Burgos;Spain;
1020129;COMERCIAL HISPANOFIL, S.A.;4;944544188;josemiguel.yanguas@sonepar.es;www.hispanofil.es;www.se.com;MANZANA 4 NAVES Nº 11-12;48510;TRAPAGARAN;Vizcaya;Spain;
1020130;COMERCIAL HISPANOFIL, S.A.;4;983308455;ana.cadenas@sonepar.es;www.hispanofil.es;www.se.com;COBALTO, PARC.202 NAVE 1 POL.IND. SAN CRISTOBAL;47012;VALLADOLID;Valladolid;Spain;
1020131;COMERCIAL HISPANOFIL, S.A.;4;985308683;;http:www.hispanofil.es;www.se.com;CALLE PAULINA CANGA 8, NAVE 1;33211;GIJON;Asturias;Spain;
1020132;COMERCIAL HISPANOFIL, S.A.;4;976449063;;www.hispanofil.es;www.se.com;VIRGEN DEL BUEN ACUERDO, N.21-23 POL.IND. ALCALDE CABALLERO;50014;ZARAGOZA;Zaragoza;Spain;
1020133;COMERCIAL HISPANOFIL, S.A.;4;969325970;;;www.se.com;ACACIAS, S/N;16400;TARANCON;Cuenca;Spain;
1020134;COMERCIAL HISPANOFIL, S.A.;4;947546000;;;www.se.com;AVDA.PORTUGAL, R-130 POL.IND.ALLENDEDUERO;09400;ARANDA DE DUERO;Burgos;Spain;
1020135;COMERCIAL HISPANOFIL, S.A.;4;948247300;oscar.encina@sonepar.es;www.hispanofil.es;www.se.com;POL.IND.CALLE A NAVE 58;31192;MUTILVA BAJA;Navarra;Spain;
1020136;COMERCIAL HISPANOFIL, S.A.;4;921437711;;;www.se.com;AVDA. HONTORIA, 5 POL.IND. HONTORIA;40195;HONTORIA;Segovia;Spain;
1020137;ALMACENES ELEC.DEL SUR.,S.A.;4;956142200;;;www.se.com;CUESTA DE LA ALCUBILLA S/N;11408;JEREZ DE LA FRONTERA;Cadiz;Spain;
1020138;COMERCIAL HISPANOFIL, S.A.;4;;hispanofil.calahorra@sonepar.es;;www.se.com;HUERTOS S/N. POL.IND. TEJERIAS;26500;CALAHORRA;La Rioja;Spain;
1020139;COMERCIAL HISPANOFIL, S.A.;4;942752711;;;www.se.com;DUQUE Y MERINO, 6;39200;Reinosa;Cantabria;Spain;
1020140;COMERCIAL HISPANOFIL, S.A.;4;981174955;eduardo.perez@sonepar.es;;www.se.com;GALILEO GALILEI, S/N.- P.I. LA GRELA;15008;LA CORUÑA;La Coruña;Spain;
1020141;COMERCIAL HISPANOFIL, S.A.;4;987211375;;;www.se.com;AVDA. ALCALDE MIGUEL CASTAÑO, 115;24005;LEON;Leon;Spain;
1020142;COMERCIAL HISPANOFIL, S.A.;4;967592683;;www.hispanofil.es;www.se.com;AVDA. PRIMERA, 11- NAVE 40 POL.IND. CAMPOLLANO;02007;ALBACETE;Albacete;Spain;
1020143;COMERCIAL HISPANOFIL, S.A.;4;948848000;;;www.se.com;POL.IND.MUNICIPAL GALLINA BLANCA MANZANA NO.1 NAVE 12;31500;TUDELA;Navarra;Spain;
1020144;COMERCIAL HISPANOFIL, S.A.;4;923125004;josemanuel.alves@sonepar.es;;www.se.com;HERNAN CORTES, 16 P.I. LOS VILLARES;37184;VILLARES DE LA REINA;Salamanca;Spain;
1020145;COMERCIAL HISPANOFIL, S.A.;4;976880830;;www.hispanofil.es;www.se.com;POLÍGONO IND. LA CHARLUCA, CALLE C, PARCELA M15, NAVE 2;50300;CALATAYUD;Zaragoza;Spain;
1020146;COMERCIAL HISPANOFIL, S.A.,;4;947347409;;;www.se.com;MONTAÑA, 53 -POL. IND. DE BAYAS;09200;MIRANDA DE EBRO;Burgos;Spain;
1020147;COMERCIAL HISPANOFIL, S.A.U.;4;942355007;fernando.ceballos@sonepar.es;;www.se.com;AVDA. PARAYAS - C/ PEÑA BEJO 8;39011;SANTANDER;Cantabria;Spain;
1020148;ALMACENES ELEC.VASCONGADOS,S.A.;4;943333249;;;www.se.com;CALLE DE AYENAS Nº3 NAVES 13-14;20014;SAN SEBASTIAN;;Spain;
1020149;COMERCIAL REGIONAL DE ELEC,S.A;4;987225250;;;www.se.com;RAMON Y CAJAL, 19;24002;LEON;Leon;Spain;
1020150;COMPONENTES ELECTRICOS MERCALUZ,S.A;4;965301724;;;www.se.com;CTRA. DE BIGASTRO, KM. 1 NO.4 APDO. CORREOS N. 66;03300;ORIHUELA;Alicante;Spain;
1020151;CONSORCIO MAYORISTA S.A.;4;937523828;cgris@conmasa.cat;;www.se.com;C/MIRAMAR, 15;08338;PREMIA DE DALT;Barcelona;Spain;
1020155;COVAMA ELECT. S.L. PINTO;4;916923333;jj.garcia@covama.es;;www.se.com;ALCOTANES, 20- P.I. LA ESTACION;28320;PINTO;Madrid;Spain;
1020156;COVAMA ELECT.S.L.- MD;4;914740700;;;www.se.com;Jaime I el conquistador, 33;28045;MADRID;Madrid;Spain;
1020157;COVAMA ELECTRICA VILLALBA S.L.U.;4;918516324;;;www.se.com;C/ AZUELA 8, POLG. IND. P-29;28400;COLLADO VILLALBA;Madrid;Spain;
1020159;ALMACENES ELEC.VASCONGADOS,S.A.;4;946202694;;;www.se.com;POL.IND.LA PILASTRA, PABELL.1;48215;IURRETA;Vizcaya;Spain;
1020160;COVAMA ELECTRICA, S.L.-AR;4;918757714;;;www.se.com;ZARAGOZA, 7;28500;ARGANDA DEL REY;Madrid;Spain;
1020161;CRONUS INDUSTRIAL, SA;4;961340526;vigual@cronus.es;https://www.cronus.es/;www.se.com;CARBONER, 26- P.E. TACTICA;46980;PATERNA;;Spain;
1020163;CSI-CENTRAL DE SUMINISTROS, S.L;4;932551400;;www.csisuministros.com;www.se.com;ABAT ESCARRÉ, 19;08302;MATARÓ;;Spain;
1020164;CSI-CENTRAL DE SUMINISTROS, S.L.;4;934251784;;www.csisuministros.com;www.se.com;TAMARIT, 114;08015;BARCELONA;Barcelona;Spain;
1020165;CSI-CENTRAL DE SUMINISTROS, S.L.;4;932444624;;www.csisuministros.com;www.se.com;NAPOLES, 114;08013;BARCELONA;Barcelona;Spain;
1020166;CSI-CENTRAL DE SUMINISTROS, S.L.;4;933517410;;www.csisuministros.com;www.se.com;MANIGUA, 4;08027;BARCELONA;Barcelona;Spain;
1020167;Diego Díaz López, S.L DELEGACION LOS BARRIOS;4;902101717;;www.diegodiazlopez.com;www.se.com;Pol. Ind. Las Marismas (Palmones 3) Avda Mar Mediterraneo nº:4;11370;Los Barrios;Cadiz;Spain;
1020168;DIEGO DIAZ LOPEZ, S.L.;4;902101717;david.lara@diegodiazlopez.com;;www.se.com;COIN, 4;29670;SAN PEDRO ALCANTARA;Malaga;Spain;
1020169;DIELECTRO BALEAR S.A.;4;971555555;;;www.se.com;CARRER DE LA PAGESIA N.68-B;07500;MANACOR;Baleares;Spain;
1020170;ALMACENES ELEC.VASCONGADOS,S.A.;4;944442508;;;www.se.com;PABLO PICASSO, 9;48012;BILBAO;Vizcaya;Spain;
1020171;DIELECTRO BALEAR S.A.;4;971380693;;;www.se.com;POL.IND.PARCELA, 41 BIS;07760;CIUTADELLA DE MENORCA;Baleares;Spain;
1020172;DIELECTRO BALEAR S.A.;4;971430486;;;www.se.com;GREMIO CARPINTEROS, 43 POL.IND. SON CASTELLO;07009;PALMA DE MALLORCA;Baleares;Spain;
1020173;DIELECTRO CANARIAS (LAS CHAFIRAS);4;922236810;;;www.se.com;C/TILENA nº47 POLIG. IND. LAS ANDORIÑAS, LAS CHAFIRAS;38110;SAN MIGUEL DE ABONA;Sta. Cruz Tenerife;Spain;
1020174;DIELECTRO CANARIAS S.A.;4;928548010;;;www.se.com;LA NASA, 26-32 (LA HONDURA);35600;PUERTO DEL ROSARIO;Las Palmas;Spain;
1020176;DIELECTRO CANARIAS S.A. (EL PASO);4;928810862;;;www.se.com;CAMINO DE LA ERA, 2;35500;EL PASO;Sta. Cruz Tenerife;Spain;
1020177;DIELECTRO CANARIAS, S.A.U;4;922211500;;;www.se.com;POL.IND. EL MAYORAZGO, PARC 21, NAVE 1;38110;SANTA CRUZ DE TENERIFE;Sta. Cruz Tenerife;Spain;
1020179;Dielectro Industrial s.a.;4;986482299;enrique.fernandezgarcia@sonepar.es;;www.se.com;avda. Madrids/nLa Raposeira;36214;Vigo;Pontevedra;Spain;
1020181;ABC GRANOLLERS, S.L.;4;;mmunoz@abcgrup.com;;www.se.com;RAFAEL CASANOVA, 46;08401;GRANOLLERS;Barcelona;Spain;
1020182;ALMACENES ELEC.VASCONGADOS,S.A.;4;943702604;;;www.se.com;POL.IND.AZITAIN, B-5;20600;EIBAR;Guipuzcoa;Spain;
1020183;DIELECTRO INDUSTRIAL, S.A.;4;981173200;;;www.se.com;SEVERO OCHOA, 17 POL. IND. LA GRELA;15008;LA CORUÑA;La Coruña;Spain;
1020184;DIELECTRO INDUSTRIAL, S.A.;4;987409500;;;www.se.com;AVDA. DE AMERICA, 86- BAJOS;24404;PONFERRADA;Leon;Spain;
1020185;DIELECTRO INDUSTRIAL, S.A.;4;982209495;;;www.se.com;RUA DOS ARTESANS, 22 POLIGONO DEL CEAO;27290;LUGO;Lugo;Spain;
1020186;DIELECTRO INDUSTRIAL, S.A.;4;981310728;ipernas@dielectroindustrial.es;;www.se.com;AVDA. DEL MAR, 142 POL. LA GANDARA;15407;EL FERROL;La Coruña;Spain;
1020187;DIELECTRO INDUSTRIAL, S.A.;4;986787030;;;www.se.com;POL.IND.LALIN 2000 PARC.A-16;36500;LALIN;Pontevedra;Spain;
1020188;DIELECTRO INDUSTRIAL, S.A.;4;981138000;iker.orueta@sonepar.es;;www.se.com;AVDA. PRENSA, 55-POL.IND.DE SABON;15142;ARTEIXO;La Coruña;Spain;
1020189;DIELECTRO INDUSTRIAL, S.A.;4;988347040;;;www.se.com;CONDE DE FENOSA, 59;32300;O BARCO;Orense;Spain;
1020190;DIELECTRO INDUSTRIAL, S.A.;4;986506801;;;www.se.com;POL.IND.TRABANCA BADIÑA,30-31;36613;VILAGARCIA DE AROUSA;Pontevedra;Spain;
1020191;DIELECTRO INDUSTRIAL, S.A.;4;981588400;;;www.se.com;VIA ISAAC PERAL, 31 P.I.TAMBRE;15890;SANTIAGO DE COMPOSTELA;La Coruña;Spain;
1020192;DIELECTRO INDUSTRIAL, S.A.;4;982411010;;;www.se.com;REBOREDO, 137;27400;MONFORTE DE LEMOS;;Spain;
1020193;ALMACENES ELEC.VASCONGADOS,S.A.;4;946400751;;;www.se.com;POL.IND. BALLONTI, NAVE 6;48920;PORTUGALETE;Vizcaya;Spain;
1020195;DIELECTRO INDUSTRIAL, S.A.;4;988373600;;;www.se.com;ZONA INDUSTRIAL EL VEINTIUNO POLIGONO AS COI/AS;32001;ORENSE;Orense;Spain;
1020196;DIELECTRO INDUSTRIAL, S.A.;4;982585661;;;www.se.com;AVDA. DO PERDOURO, 34;27880;BURELA;Lugo;Spain;
1020198;DIELECTRO MANCHEGO S.A.;4;926252730;ciudadreal@dielectromanchego.com;;www.se.com;AVDA. ISAAC PERAL, S/N. POL.IND. CARRETERA DE CARRION;13005;CIUDAD REAL;Ciudad Real;Spain;
1020199;DIELECTRO MANCHEGO S.A.;4;953587783;alcala@dielectromanchego.com;;www.se.com;PALANCARES, 81 P.I.FUENTE GRANADA;23680;ALCALA LA REAL;Jaen;Spain;
1020200;DIELECTRO MANCHEGO S.A.;4;925802827;talavera@dielectromanchego.com;;www.se.com;POL.IND.LA FLORESTA. C/ FEDERICA MONTSENY;45600;TALAVERA DE LA REINA;Toledo;Spain;
1020201;DIELECTRO MANCHEGO S.A.;4;926540084;alcazar@dielectromanchego.com;;www.se.com;POL.IND.ALCES AVENIDA DE LAS BODEGASNAVES P-32,P-33;13600;ALCAZAR DE SAN JUAN;Ciudad Real;Spain;
1020202;DIELECTRO MANCHEGO S.A.;4;953281400;jaen@dielectromanchego.com;;www.se.com;VILLATORRES, 28;23009;JAEN;Jaen;Spain;
1020203;DIELECTRO MANCHEGO S.A.;4;967523082;albacete@dielectromanchego.com;;www.se.com;POL.IND.CAMPOLLANO CALLE B SUBPARCELA 3B;02006;ALBACETE;Albacete;Spain;
1020204;ALMACENES ELEC.VASCONGADOS,S.A.;4;943635525;;;www.se.com;AVDA. LETXUNBORRO, 100;20305;IRUN;Guipuzcoa;Spain;
1020205;DIELECTRO MANCHEGO S.A.;4;925233317;toledo@dielectromanchego.com;;www.se.com;POLÍGONO INDUSTRIAL SANTA MARÍA BENQUERENCIA JARAMA, 19;45007;TOLEDO;Toledo;Spain;
1020206;DIGAMEL AROUSA, S.L;4;986502429;;;www.se.com;RUA ALBARRAN, 2 - 4 B POLIGONO DE TRABANCA;36600;VILAGARCIA DE AROUSA;Pontevedra;Spain;
