Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020869;A-O Elbolaget AB;4;46857020242;anders@ao-elbolaget.se;;www.se.com;Solbacken 1 A;13936;VARMDO;Stockholms Län;Sweden;
1020881;Ahlsell;4;;leif.eriksson@ahlsell.se;;www.se.com;Vastermalmsvagen 28;79177;Falun;Dalarnas Län;Sweden;
1020892;Alltor Larm och Datateknik AB;4;+4643518495;support@alltor.se;www.alltor.se;www.se.com;Apoteksgatan 6;26433;Klippan;;Sweden;
1020893;ÅF Engineering Halmstad;4;46(0)105057673;kjell.n.andersson@afconsult.com;;www.se.com;Slottsmöllan;283 21;Halmstad;Blekinge Län;Sweden;
1020894;Also AB;4;;mats.astrom@also.com;;www.se.com;Finlandsgatan 14;16474;Kista;;Sweden;
1020895;APOCCA AB;4;46722048104;jan-erik.liljefors@apocca.se;;www.se.com;STRIDSVAGNSVÄGEN 9;83148;KRISTIANSTAD;Blekinge Län;Sweden;
1020896;APQ AB;4;+4640-6155500;peter.jonsson@apqel.se;www.apqel.se;www.se.com;STENYXEGATAN 15A;21376;Malmö;Skåne Län;Sweden;
1020898;AS ALARM-tjanst Aktiebolag;4;+4641778390;anna@alarm-tjanst.se;www.alarm-tjanst.se;www.se.com;Ystadsvagen 14;27322;Tomelilla;Blekinge Län;Sweden;
1020899;Assemblin El AB;4;0104724821;magnus.andersson@imtech.se;;www.se.com;J A Wettergrens Gata 10;42130;Vastra Frolunda;;Sweden;
1020900;Automatic Alarm AB;4;+46840101606;eddie.johansson@automaticalarm.se;www.automaticalarm.se;www.se.com;Hammarby Allé 113;12064;Stockholm;;Sweden;
1020901;Avarn Security AB;4;0775500700;david.lindquist@avarnsecurity.com;avarnsecurity.com;www.se.com;August barks gata 23b vån1;421 32;Västra Frölunda;Blekinge Län;Sweden;
1020902;Avazent Bygg & Anläggning AB;4;0720557777;robert.bergqvist@avazent.com;https://www.avazent.se;www.se.com;Poppelstigen 5;30270;Halmstad;Hallands Län;Sweden;
1020903;AW Elteam AB;4;46303243090;danielforsstrom@gmail.com;;www.se.com;Rollsbovagen 25;44240;KUNGALV;Stockholms Län;Sweden;
1020904;ÅF Engineering Malmö;4;46(0)105053801;henric.persson@afconsult.com;;www.se.com;Hallenborgs gata 1A;28321;Malmö;Blekinge Län;Sweden;
1020908;BEE Automation;4;;info@bee-automation.se;;www.se.com;Hantverksgatan 15;572 55;Oskarshamn;;Sweden;
1020910;Befesa ScanDust AB;4;0418437800;oscar.gumaelius@befesa.com;;www.se.com;Box 204;261 23;Landskrona;;Sweden;
1020912;Belo Elektriska AB;4;0243-80145;lars.liberg@beloel.se;;www.se.com;Häradsvägen 20;78434;Borlänge;Dalarnas Län;Sweden;
1020913;Bogesunds El & Tele AB;4;4632126270;tobias@bogesundsel.se;;www.se.com;Jonkopingsvagen 40;52336;ULRICEHAMN;Stockholms Län;Sweden;
1020914;Bossman el-tech AB;4;0708656500;info@bossman-eltech.se;www.bossman-eltech.se;www.se.com;Lagrådsgatan 14A;632 35;Eskilstuna;;Sweden;
1020915;ÅF Industry;4;+46105057554;peter.bjorklund@afconsult.com;www.afconsult.com;www.se.com;Östra Sandgatan 14;SE-252 27;Helsingborg;;Sweden;
1020916;Brand & Sakerhet i Helsingborg AB;4;;r.d@brandochsakerhet.se;;www.se.com;Gevarsgatan 11a;25466;HELSINGBORG;Skåne Län;Sweden;
1020919;BS Elcontrol AB;4;46303334560;peter.gogelein@bselcontrol.se;;www.se.com;Box 3, Garverivägen 10;63346;Älvängen;Blekinge Län;Sweden;
1020920;Carlskrona Automation Technology AB;4;46709640726;magnus.olofsson_catab@telia.com;;www.se.com;Tempelvägen 17;70363;Hasselö;Blekinge Län;Sweden;
1020921;Caverion Sverige AB;4;+4613373200;joacim.karlsson@caverion.se;www.caverion.se;www.se.com;DVARGGATAN 4;58273;LINKOPING;Blekinge Län;Sweden;
1020923;Certego AB;4;+4621109630;;www.certego.se;www.se.com;Pressverksgatan 4;72109;Vasteras;;Sweden;
1020924;Certego Enkoping;4;+4621109621;fredrik.nordstrom@certego.se;www.certego.se;www.se.com;Ågatan 6;74935;Enköping;;Sweden;
1020925;CombiConsult i Stockholm AB;4;46708547075;par.undin@combiconsult.se;;www.se.com;Pyramidvagen 9C;16956;SOLNA;Stockholms Län;Sweden;
1020926;ÅF Industry AB;4;46-105052440;tomas.engberg@afconsult.com;;www.se.com;Box 712;851 21;Sundsvall;Västernorrlands Län;Sweden;
1020928;DE Teknik;4;0737858668;daniel@deteknik.se;www.deteknik.se;www.se.com;Åkulla 42;432 97;ROLFSTORP;;Sweden;
1020929;DELA i Sydost HB;4;;info@delahb.se;www.delahb.se;www.se.com;Kättilsmålavägen 71;37193;Karlskrona;Blekinge Län;Sweden;
1020930;DELTATEC AB;4;046-520490464;andreas.abelsson@deltatec.se;;www.se.com;Stallbackavägen 21;753 23;Trollhättan;Blekinge Län;Sweden;
1020934;Dynamate AB;4;0491-768583;bjorn.y.pettersson@scania.com;;www.se.com;Box 903;572 29;Oskarshamn;Kalmar Län;Sweden;
1020935;E&T Teknik i Stockholm AB;4;0706356962;rikard.karlin65@gmail.com;;www.se.com;bolmensvägen 45;;Årsta;;Sweden;
1020937;ÅF Industry AB;4;;otman.ouledelhousseine@afconsult.com;www.af.se;www.se.com;Frösundaleden 2A;16999;Stockholm;Stockholms Län;Sweden;
1020939;Edeforsens Elektriska;4;0703572436;erik@edeforsens.se;;www.se.com;Ljusdal;0;Ljusdal;Gävleborgs Län;Sweden;
1020940;EKT Svenska El- och Kraftteknik;4;040-6307500;mats.frojdh@ekt.se;www.ekt.se;www.se.com;Kosterögatan 9;21124;Malmö;Skåne Län;Sweden;
1020941;El & Automation i Nora AB;4;058780510;andreas@elautomation.nu;;www.se.com;Borgmastargatan 18;71331;Nora;;Sweden;
1020942;El & Fastighetsdrift Stockholm AB;4;46841090800;thomas.riis@elsthlm.se;;www.se.com;Johan Skyttes vag 294;12534;Alvsjo;;Sweden;
1020947;Elbolaget Glödlampan AB;4;015714030;mail@elbolaget-glodlampan.se;;www.se.com;Lötvägen 13;64234;Flen;;Sweden;
1020948;ÅF Industry AB;4;0046105055259;ahmet.barac@afconsult.com;;www.se.com;Hallenborgs gata 4;SE 211 74;Malmö;;Sweden;
1020949;Elcontrol i Norrköping AB;4;46709786663;stefan.johnsson@elcontrol.se;;www.se.com;Svärmaregatan 1;72137;Norrköping;Blekinge Län;Sweden;
1020951;Electronic Technic LS AB;4;0346-87718;sandra@etecab.se;www.etecab.se;www.se.com;Rönnhagsvägen 5;31144;Falkenberg;;Sweden;
1020952;Electrounion AB;4;+4687940035;anders.widgren@elektrounion.se;www.elektrounion.se;www.se.com;Värmdövägen247;13142;Nacka;Stockholms Län;Sweden;
1020953;Elektra i Halsingland AB;4;+4627127400;johan.kroon@elektra.se;www.elektra.se;www.se.com;Mickelsvagen 3;82434;HUDIKSVALL;;Sweden;
