Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1022668;3E Endüstriyel Mühendislik;4;;ertugrulnarin@3eendustriyel.com.tr;;www.se.com;TÜBİTAK TEKGEB Gebze Yerleşkesi A Blok No:2 41400;41400;Gebze;;Turkey;
1022669;7KR Consulting Kontrol Sistemleri Sanayi Ve Ticaret Ltd. Sti.;4;5333400466;yigit.seckiner@7kr.com.tr;www.7kr.com.tr;www.se.com;Sanayi Cd. 33/210 Kazim dirik mahallesi;35100;izmir;Izmir;Turkey;
1022670;BILGI OTOMASYON ELEKTRIK VE ELEKTRONIK SAN. TIC. VE LTD. STI.;4;902165408878;satinalma@bilgiotomasyon.com;www.bilgiotomasyon.com;www.se.com;y.dudullu mah;34775;ümraniye;Istanbul;Turkey;
1022671;BOTEK OTOMASYON - MERKEZ OFİS (İSTANBUL ANADOLU);4;+902163145900;botek@botekotomasyon.com;www.botekotomasyon.com;www.se.com;Esenşehir Mah. Güneyli Sok. No:13/1 34776 Yukarı Dudullu / Ümraniye İSTANBUL;34846;İSTANBUL;Istanbul;Turkey;
1022672;ELEKTROS ELEKTRONİK SAN. TİC.LTD.ŞTİ;4;2166270896;tamer@elektros.com.tr;;www.se.com;Velibaba Sanayi Sitesi A3-1 PENDIK;34896;PENDİK;Istanbul;Turkey;
1022674;EMO BINA VE ENERJI YONETIM SISTEMLERI LTD. STI.;4;3125271605;can@emootomasyon.com;www.emootomasyon.com;www.se.com;Bayar Cad. Demirkaya İş Mrkz. No:97/AK:7 D:16 Kozyatağı – Kadıköy / İstanbul;34734;KADIKOY;Istanbul;Turkey;
1022678;ESSO OTOMASYON SAN VE TIC AS;4;(0312)3875280;;esso.com.tr/;www.se.com;Uzayçağı Cad. 1269. Sok. No:23-25 Ostim Yeni Mahalle/ANKARA;06374;YENIMAHALLE;Ankara;Turkey;
1022679;EUROPOWER ENERJI VE OTOM.TEKN. SAN.TIC. A.S.;4;3128154880;thomas.collet@europower.com.tr;www.europowerenerji.com.tr;www.se.com;SARAY MAH. ATOM CAD. NO. 17/A;06980;;Ankara;Turkey;
1022680;AB Kontrol;4;+902163860998107;yonca@abkontrol.com;www.abkontrol.com/;www.se.com;Sahrayı Cedit Mah. Güzide;6/9;Istanbul;Istanbul;Turkey;
1022683;GEOTEK OTOMASYON TEKN. SAN. TIC. LTD. STI;4;+902163649560;info@geotek-tr.com;www.geotek-tr.com;www.se.com;Keyap Çarşı E2 Blok No:83/B;34775;Ümraniye;Istanbul;Turkey;
