Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1024416;"І-АР-СІ" Іноземне підприємство (ERC);4;380442303474;info@erc.ua;;www.se.com;вул. Марка Вовчка, буд. 18-А;04073;Київ;;Ukraine;
1024417;"ІНСТОК ТРЕЙД"  Майборода Денис ( Юность);4;0688666999;instok.trade@gmail.com;;www.se.com;Куренівський провулок, 17;;Київ;;Ukraine;
1024419;Еко-систем;4;380954803580;info@eco-system.com.ua;https://eco-system.com.ua;www.se.com;проспект Московський/ 199;61037;Харків;;Ukraine;
1024420;ЕЛЕКТЕХ МПП;4;+380444512802;victor@electech.com.ua;electech.com.ua;www.se.com;Ул. Верховинная 6-А;03115;Київ;;Ukraine;
1024421;ЕЛЕКТРИК СИСТЕМС ТД;4;+38(044)500-11-35;info@elesys.com.ua;elesys.com.ua;www.se.com;10 вулиця Дружківська;3113;;;Ukraine;
1024422;Електроінжинірінг;4;380577328664;info@eleng.com.ua;www.eleng.com.ua;www.se.com;проспект Московський / 199;61000;Харків;;Ukraine;
1024423;Електроінжинірінг Дніпровська філія;4;567901033;dnepr@eleng.com.ua;www.eleng.com.ua;www.se.com;вул. Василя Чапленка / 6 / оф. 107;49000;Дніпро;;Ukraine;
1024424;Електроінжинірінг Одеська філія;4;8(067)411-06-61;odessa@eleng.com.ua;www.eleng.com.ua;www.se.com;вул. Транспортна / 3;;Одеса;Odes'ka;Ukraine;
1024425;Електронік (ФОП Чілікін Д.В.);4;38(044)3337263;info@electronik.kiev.ua;https://electronik.kiev.ua/;www.se.com;147 вулиця Райдужна;8147;Kiev;;Ukraine;
1024426;Електроопт;4;380985783718;electroopt.ukraina@gmail.com;https://electro-opt.in.ua/ua/;www.se.com;Наукова 7;79000;Львів;;Ukraine;
1024427;Елмар;4;+380984052136;;;www.se.com;вул. Автопаркова/ 7;2121;Київ;;Ukraine;
1024428;Елмонт-Інвест;4;0532616014;almira84@ukr.net;;www.se.com;22А вулиця Курчатова;36034;Полтава;Poltavs'ka;Ukraine;
1024429;EKOMTECH;4;044-586-2770;root@ekomtech.kiev.ua;;www.se.com;Vikentiya Khvoyki Str., 18/14, of. 239;04080;Kуіv;Kievs'ka;Ukraine;
1024430;Елторг;4;0442873354;kuchery@gmail.com;;www.se.com;3А вулиця Антоновича;1024;Київ;;Ukraine;
1024431;ЗАВОД НИЗЬКОВОЛЬТНОЇ АПАРАТУРИ «ЛІДЕР ЕЛЕКТРИК» ТОВ - офіційний партнер щитовик категорії Premier;4;38 0612869050;office@lider.com.ua;lider.com.ua;www.se.com;вул. Новобудов, 3;69041;Запоріжжя;;Ukraine;
1024432;КАБЕЛЬ ЕЛЕКТРО ТОВ;4;(067)2491172;cabelelectro44@gmail.com;www.cabelelectro.com.ua;www.se.com;Визволителів 5;;Київ;;Ukraine;
1024433;Карат ЛТД;4;+380445012855;info@karatltd.com.ua;karatltd.com.ua;www.se.com;вул. Кирилівська/ 86;4080;Київ;;Ukraine;
1024434;Комплект;4;044 206-49-18;elcity@ukr.net;https://kapro.ua/;www.se.com;8 вулиця Полярна;4201;Київ;;Ukraine;
1024435;Ксімекс-Електро;4;380482342696;electro@ksimex.ua;www.ksimex.com.ua;www.se.com;вул. Люстдорфська дорога / 140-В;65114;Одеса;;Ukraine;
1024436;ЛІНА ТД;4;(044)222-000-2 ;sales@lina.com.ua;lina.com.ua;www.se.com;18 вулиця Куренівська;4073;Київ;;Ukraine;
1024437;М.К-ТРЕЙД ТОВ;4;+380678100360,+380958809249;m.k_trade@ukr.net;https://goldenpages.rv.ua/mktrade;www.se.com;вул. Старицького, 37 а;;м. Рівне;;Ukraine;
1024438;МЕГАНОМ ПОЛТАВА ТОВ;4;+38050416-11-00+38096-416-11-00;meganompl@gmail.com;https://meganompoltava.com.ua/;www.se.com;вул. Маршала Бірюзова,37;;Полтава;;Ukraine;
1024440;Electrica Shop (ТОВ ЕлектроТрейд);4;38(044) 2283317;info@electrica-shop.com.ua;https://electrica-shop.com.ua/;www.se.com;вул. Августина Волошина/ 2А;3061;Kiev;;Ukraine;
1024442;МНВАП Авіокон Проект;4;00322418022;sbut@aviokon.lviv.ua;www.aviokon.lviv.ua;www.se.com;вул. Січинського / 7;79026;Львів;;Ukraine;
1024443;Мулті-Снаб ТОВ;4;80675102053;multisnab.prom@gmail.com;multisnab.prom.ua;www.se.com;108 вулиця Космонавтів;54000;Миколаїв;;Ukraine;
1024444;НІКСЕЛ;4;+38067402383;boroznuk@ukr.net;https://shopelektro.com.ua/;www.se.com;вул. Генерала Жмаченка 28;2192;Київ;;Ukraine;
