Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999582;Advanced Automation LLC;4;+1(844)754-3292;info@advautomation.us;www.nhautomation.com;www.abb.com;27 Production Dr;03802;Dover;New Hampshire;united states;
999637;Automation Industrial Group LLC;4;+1(423)875-8862;sales@automationig.com;www.automationig.com;www.abb.com;106 Spring Rd;37405;Chattanooga;Tennessee;united states;
999638;Automation Systems and Designs;4;+19373870351;sales@asddayton.com;www.asddayton.com;www.abb.com;6222 Webster St;45414-4238;Dayton;Ohio;united states;
999639;AUTOMATION X CORP CORPORATE BILLING;4;+18008982899;;www.automation-x.com;www.abb.com;3801 AUTOMATION WAY SUITE 180;82520-2845;Fort Collins;Colorado;united states;
999672;BluePrint Automation;4;+18045205400;sales@blueprintautomation.com;www.blueprintautomation.com;www.abb.com;4093 Specialty Place;80504;Longmont;Colorado;united states;
999683;Byron Automation LLC;4;+15096532100;;www.byronautomation.com/;www.abb.com;70 Locust Ln;98937-8805;Naches;Washington;united states;
999705;Con-Vey LLC;4;+15416725506;sales@con-vey.com;www.con-vey.com;www.abb.com;526 NE Chestnut Avenue;97470;Roseburg;Oregon;united states;
999726;DUO Robotics;4;+1(586)8837559;sales@duorobot.com;www.duorobot.com;www.abb.com;50570 Wing Dr.;48315;Shelby Township;Michigan;united states;
999776;Evans Enterprises Inc;4;+14796481500;;www.goevans.com;www.abb.com;4300 Planters Rd;72908;Fort Smith;Arkansas;united states;
999777;Evans Enterprises Inc;4;+12547724710;;www.goevans.com;www.abb.com;201 S Industrial Dr;76710;Waco;Texas;united states;
999786;Fallas Automation Inc;4;+12547729524;sales@fallasautomation.com;www.fallasautomation.com;www.abb.com;7000 Imperial Dr;76712;Waco;Texas;united states;
999787;Farason Corp;4;+1610383-6224;sales@farason.com;www.farason.com;www.abb.com;855 Fox Chase Ste 102;19320;Coatesville;Pennsylvania;united states;
999791;Fleaux Services Of Louisiana LLC;4;+1318-603-0024;;www.fleaux.com;www.abb.com;230 Lynbrook Blvd;71106;Shreveport;Louisiana;united states;
999797;FORCE Automation Inc;4;+1(866)4955221;lukasz@forceautomationusa.com;www.forceautomationusa.com;www.abb.com;100 Production Ct Unit 2;06051;New Britain;Connecticut;united states;
999835;Hi Tech Products Inc;4;+17872571707;automation@hi-techproducts.com;www.hi-techproducts.com;www.abb.com;Ave Sancehz Osorio 2mr 581;00983;Carolina;Puerto Rico;united states;
999854;Industrial Automation Solutions Inc;4;+1866243-2402;info@iasworldwide.com;www.iasworldwide.com;www.abb.com;5125 S Towne Dr;53151;New Berlin;Wisconsin;united states;
999859;InMotion LLC;4;+1(931)7629217;sales@inmotionrobotics.com;www.inmotionrobotics.com;www.abb.com;180 Harvester Ave;38464-6960;Lawrenceburg;Tennessee;united states;
999871;Integrated Power Services LLC;4;+18004480899;;https://www.ips.us;www.abb.com;1020 S Lipan St;80223;Denver;Colorado;united states;
999882;Jay Industrial Repair Inc;4;+12057911360;;www.jayIndustrial.com;www.abb.com;600 6th Ave;35060;Docena;Alabama;united states;
999885;Jet Specialty Inc;4;+18303319457;;www.jetspecialty.com;www.abb.com;211 Market Ave;78006-3050;Boerne;Texas;united states;
999893;Kaitech Automation;4;+12088819521;info@kaitechautomation.com;kaitechautomation.com;www.abb.com;212 NW 10TH ST;83642;Meridian;Idaho;united states;
999923;Malloy Electric;4;+1605-336-3693;;www.malloyelectric.com;www.abb.com;809 W Russell St;57104-1360;Sioux Falls;South Dakota;united states;
999935;Mesh Automation Inc;4;+18885067697;;www.meshautomationinc.com;www.abb.com;268 Successful Way;30534;Dawsonville;Georgia;united states;
999941;Midwest Engineered Systems Inc;4;+12049893636;info@mwes.com;www.mwes.com;www.abb.com;W 238 N1800 Rockwood Dr;53188;Waukesha;Wisconsin;united states;
999950;Multi Craft Contractors Inc;4;+14797514330;robotsupport@multi-craft.net;www.multi-craft.net;www.abb.com;2300 N Lowell Rd;72764;Springdale;Arkansas;united states;
999973;Oxygen Service Co Inc;4;+1(800)774-1336;info@oxyserv.com;www.oxygenservicecompany.com;www.abb.com;1111 Pierce Butler Rte;55104-1450;Saint Paul;Minnesota;united states;
999988;Platt Electric Supply Inc;4;+15036416121;;www.platt.com/;www.abb.com;10605 S W Allen Blvd;97005-4828;Beaverton;Oregon;united states;
1000001;Production Systems Automation;4;+16103876938;;www.psasystems.com;www.abb.com;1 Crozerville Rd;19014;Aston;Pennsylvania;united states;
1000007;Q Comp Technologies Inc;4;+1(920)757-0775;mseager@qcomptech.com;www.qcomptech.com;www.abb.com;W6564 Quality Dr;54942;Greenville;Wisconsin;united states;
