Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1024673;ACSYS CONTROL SYSTEMS LLC;4;043375100;ayman.rashad@acsyscontrol.ae;acsyscontrol.ae/;www.se.com;P.O.Box 15854;15854;Oud Metha;Dubai;United Arab Emirates;
1024675;HTC (Hussam Technology Company);4;0096897677962;arun@htc.om;www.htc.om;www.se.com;Suite 1, Bldg 169, Way 6105, Bausher;133;Muscat;;Oman;
1024677;INGENIOUS NETWORK FZC;4;0097165579471;ahmed.bader@ingenious-network.com;ingenious-network.com;www.se.com;Q4-257 Saif Zone, P.O. Box : 120110;AE;SHARJAH;;United Arab Emirates;
1024678;INT Netlink Technologies;4;;amanish@netlinkin.com;;www.se.com;office 312;;Dubai;Dubai;United Arab Emirates;
1024681;Integrated Systems LLC;4;96824603205;sales@integsystems.com;www.integsystems.com;www.se.com;MSQ - Al Insherah St.;131;Muscat;;Oman;
1024682;International Trading Group;4;0096522922844;sales@itg.com.kw;www.itg.com.kw;www.se.com;8 Mall,Mubarak Al-Salem Street, Salmiya;13056;Salmiya;District of Columbia;Kuwait;
1024683;INTERTEC SYSTEMS LLC;4;;swapnil.gandhi@intertecsys.com;;www.se.com;AL DANA BLDG AL RIGGA STREET;AE;DUBAI;;United Arab Emirates;
1024685;AL BAKALI GENERAL TRADING W.L.L.;4;;albakali@albakali.com;;www.se.com;P.O. BOX 1455;BH;MANAMA;;Bahrain;
1024686;IT Cloud Trading & Programing WLL;4;77642470;waqar@itcloud.qa;itcloud.qa;www.se.com;1st Floor Office No 3 Ministry Group Building,;17854;AL SAAD;;Qatar;
1024687;Itopia Solutions;4;;sanjay@itopiasolutions.com;;www.se.com;602, API Business Suites;AE;Dubai;;United Arab Emirates;
1024688;Jaaz Technologies FZ Enterprise;4;+97145015957;zali@jaazonline.com;www.jaaztechnologies.com;www.se.com;C&D wing, 4th Floor, DSO HQ Bldg;341041;Dubai Silicon Oasis;Dubai;United Arab Emirates;
1024689;Jaidah Motors Panel Building division;4;+97444638748;ahmed.sayed@jaidah.com.qa;www.jaidah.com.qa;www.se.com;Jaidah Square, Airport Road;QA;Doha;;Qatar;
1024690;JOPETWIL INDUSTRIAL COMPANY LLC;4;+97125027999;praveen.chemiti@jopetwil.com;www.jopetwil.com;www.se.com;P.O. Box 46089;AE;Abu Dhabi;;United Arab Emirates;
1024692;khaleefa computer trading llc branch;4;;khalifac@eim.ae;;www.se.com;near admiral plaza hotel bur dubai;48659;Dubai;;United Arab Emirates;
1024694;L&T Electrical Automation FZE;4;;amit.garsund@lntebg.com;www.LarsenToubro.com;www.se.com;Jebel Ali Free Zone;262158;Dubai;Dubai;United Arab Emirates;
