Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005915;CDL ELEC PLOERMEL;4;297936213;;www.cdl-elec.fr/;www.se.com;RUE F FOREST;56800;PLOERMEL;;France;
1005950;SCT;4;0559146767;;;www.se.com;12 AV JOSEPH MARIE JACQUARD;64140;LONS;;France;
1005951;SCT;4;0467000450;;;www.se.com;20 AVENUE JEAN FOUCAULT;34500;BEZIERS;;France;
1005952;SCT;4;0559672672;;;www.se.com;18 AVENUE DU PESQUE;64300;ORTHEZ;;France;
1005954;SCT;4;0557744545;;;www.se.com;3 RUE DE L INDUSTRIE;33500;LIBOURNE;;France;
1005955;SCT;4;0565208282;;;www.se.com;ROUTE DE MERCUES;46000;CAHORS;;France;
1005956;SCT;4;0563030202;;;www.se.com;2 RUE VOLTAIRE ZI NORD;82000;MONTAUBAN;;France;
1006037;CDL ST BRIEUC;4;0296682929;;www.cdl-elec.fr/;www.se.com;3 RUE AUGUSTE LUMIERE;22002;ST BRIEUC CEDEX 1;;France;
1006483;CEGLA AGENCE EXPORT;4;149593939;;;www.se.com;20, BOULEVARD DUCOLONEL FABIEN;94200;IVRY SUR SEINE;;France;
1006910;COPSO;4;553414646;;;www.se.com;ZI LACARREROTES;47550;BOE;;France;
1007007;DOCKS ELECTRIQUES RHONE DURANC;4;0490131260;;www.d-e-r-d.fr/;www.se.com;5-9 AV DES 5 CANTONS;84035;AVIGNON CEDEX 3;;France;
1007042;EURELEC DISTRIBUTION SARL;4;182380030;;;www.se.com;3 RUE SANCHO PANCA;93160;NOISY LE GRAND;;France;
1007043;EURELEC DISTRIBUTION SARL;4;182380030;;;www.se.com;35 BIS AV DE BONNEUIL;94210;LA VARENNE ST HILAIRE;;France;
1007047;FRANCO BELGE SONEPAR IDF;4;0141194020;;francobelge.sonepar.fr/;www.se.com;9-13 RUE FULGENCE BIENVENUE;92230;GENNEVILLIERS;;France;
1007211;REXEL;4;0490875000;;www.rexel.fr/;www.se.com;2 AV DE L'ORME FOURCHU;84036;AVIGNON CEDEX 3;;France;
1007221;REXEL;4;0388044400;;www.rexel.fr/;www.se.com;ZAC DU ROSENMEER;67560;ROSHEIM;;France;
1007272;REXEL FRANCE SAS;4;563778077;;www.rexel.fr/;www.se.com;41 ROUTE DE MILLAU;81000;ALBI;;France;
1007309;REXEL FRANCE SAS;4;0251950812;;www.rexel.fr/;www.se.com;PARC D'ACTIVITES ACTILONNE;85340;OLONNE SUR MER;Vendée;France;
1007370;REXEL FRANCE SAS;4;326548554;;www.rexel.fr/;www.se.com;6BIS RUE DU CLAIRMARAIS;51200;EPERNAY;;France;
1007386;REXEL FRANCE SAS;4;327336066;;www.rexel.fr/;www.se.com;700 RUE JEAN JAURES;59174;LA SENTINELLE;;France;
