Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1007424;Elektro Kriesch GmbH;4;0201211663;kontakt@kriesch-gmbh.de;;www.se.com;Theodor-Pyls-Straße 20;45141;Essen;;Germany;
1007489;Elektro Seiwert GmbH;4;;info@elektro-seiwert.de;www.elektro-seiwert.de;www.se.com;Straße Des 13. Januar 32;66121;Saarbrücken;;Germany;
1007499;Elektro Spanier GmbH;4;065012845;elektro-spanier@t-online.de;;www.se.com;Karthäuserstr. 81;54329;Konz;;Germany;
1007738;Ernst Granzow GmbH & Co. KG;4;;info@granzow.de;www.granzow.de;www.se.com;Karl-WÃ¼st-Strasse 17;74076;Heilbronn;;Germany;
1007739;Ernst Granzow GmbH & Co. KG;4;;info@granzow.de;www.granzow.de;www.se.com;Hertichstr. 27;71229;Leonberg;;Germany;
1007740;Ernst Granzow GmbH & Co. KG;4;;info@granzow.de;www.granzow.de;www.se.com;Aspenhaustr. 5;72770;Reutlingen;;Germany;
1007949;Fritz Krieger GmbH & Co. KG;4;;info@fritz-krieger.de;www.friedrich-streb.de;www.se.com;Adam-Müller-Str. 66;66954;Pirmasens;;Germany;
1007957;Frommeyer + Ziegemeyer Meppen U. Tranel GmbH und Co. KG;4;;info@fuz.de;www.fuz.de;www.se.com;Daimlerstr 19C;49716;Meppen;;Germany;
1007958;Frommeyer + Ziegemeyer Minden GmbH und Co. KG;4;;info@fuz.de;www.fuz.de;www.se.com;Königstr. 172;32427;Minden;;Germany;
1007959;Frommeyer + Ziegemeyer Osnabrück K. Beine GmbH und Co. KG;4;;info@fuz.de;www.fuz.de;www.se.com;Am Schürholz 6;49078;Osnabrück;Lower Saxony;Germany;
1008074;H. Gautzsch Elektro GmbH & Co. KG;4;;info@gautzsch.de;www.gautzsch.de;www.se.com;Ewaldstr. 50;46395;Bocholt;;Germany;
1008081;H. Gautzsch Elektro GmbH & Co. KG;4;;info@gautzsch.de;www.gautzsch.de;www.se.com;Dornierweg 12;48155;Münster;;Germany;
