Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1016328;Леруа Мерлен Алтуфьево;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;МКАД 84 км;141031;Москва;c.Moscow;Russian Federation;
1016329;Леруа Мерлен Барнаул;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;ул. Павловский тракт, 192а;656922;Барнаул;Altay Territory;Russian Federation;
1016330;Леруа Мерлен Екатеринбург;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;пер. Базовый, д. 45;620089;Екатеринбург;The Sverdlovsk Area;Russian Federation;
1016331;Леруа Мерлен Казань Солнечный;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;ул.Оренбургский тракт;420059;Казань;Tatarstan Republic;Russian Federation;
1016332;Леруа Мерлен Кемерово;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;Ленинградский пр-т, 28Б;650065;Кемерово;The Kemerovo Area;Russian Federation;
1016334;Леруа Мерлен Климовск;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;ул. Молодежная, д. 15;142181;Климовск;;Russian Federation;
1016335;Леруа Мерлен Красногорск (Строгино);4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;п/о Красногорск-4 66 км МКАД;143404;Москва;c.Moscow;Russian Federation;
1016336;Леруа Мерлен Краснодар;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;ул. Новороссийская д. 234;350001;Краснодар;Krasnodar Territory;Russian Federation;
1016337;Леруа Мерлен Краснодар Адыгея-МЕГА;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;Тургеневское шоссе, 27;385132;Краснодар;Krasnodar Territory;Russian Federation;
1016338;Леруа Мерлен Красноярск-МЕГА;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;пр-т им.газеты Красноярский рабочий, д.27, стр.146;660037;Красноярск;Krasnodar Territory;Russian Federation;
1016339;Леруа Мерлен Лефортово;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;шоссе Энтузиастов, 12к2;111024;Москва;c.Moscow;Russian Federation;
1016340;Леруа Мерлен Мытищи;4;8(800)700-00-99;;www.leroymerlin.ru;www.se.com;91 км МКАД;141031;Москва;c.Moscow;Russian Federation;
