Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1021661;โออีเอ็ม อิเล็คตริคอล;4;+6626623446;;;www.se.com;246/3 PHACAHSUK RD. เขตดินแดง กทม. 10400;10400;กรุงเทพมหานคร;;Thailand;
1021668;CHOTANA ELECTRICAL;4;+6653212622;;;www.se.com;160/1 CHANGPUEK RD., SRIPOOM, MUANG;50200;Chiang Mai;;Thailand;
1021765;FAIFAHTHAIDOTCOM CO.,LTD.;4;+6623308379;;;www.se.com;143/7 Soi Suphapong 1, Nongbon, Pravet;10250;Bangkok;;Thailand;
1021792;Aekchote Engineering;4;+6628708944;;;www.se.com;208/19 PrachaUthit Road;10140;Bangkok;;Thailand;
1021839;Jareonkij Radio;4;+6645613455;;;www.se.com;1490/19 Khukhan Road;33000;Si Sa Ket;;Thailand;
1021842;JINDA ELECTRIC;4;+6637425296;;;www.se.com;564 BAANNHONGNOKKHAO,SUWANNASORN RD., THAKASEM, MUANGSRAKEAW;;Sa Kaeo;;Thailand;
1021895;Krabi electric;4;+6675663495;;;www.se.com;36/6 Sripang-nga Road;81000;Krabi;;Thailand;
1021971;NANTAWAN EQUIPMENT LTD., PART.;4;+6629194570;;;www.se.com;26/37-38 M.13 SUVINTAWONG RD. SANSAB MINBURI;10510;Bangkok;;Thailand;
1021989;New Vision Concept;4;;wirat_ariyasuthi@hotmail.com;www.newvision4u.net;www.se.com;604/3 ชั้น4 พันธุ์ทิพย์พลาซ่าประตูน้ำ;10400;เขตราชเทวี;Bangkok;Thailand;
1021998;NONGKHAI SANGCHAROEN KARNFAIFAH LTD.,PART;4;+6642411118;;;www.se.com;1006 Moo 9, Prajak Rd., A. Muang;43000;Nong Khai;;Thailand;
1022019;P.D. Lighting Limited Partnership;4;+6627267886;;;www.se.com;30 Moo8, Chalermprakiat Rd.,Pravet;10250;Bangkok;;Thailand;
1022049;pantronics co.,ltd.;4;021474631,024090700;mypantronics@gmail.com;www.pantronicsstore.com;www.se.com;100/482 ม.14 ต.บางบัวทอง;11110;บางบัวทอง;Nonthaburi;Thailand;
1022107;PP Plus 999;4;+6627014881;;;www.se.com;369/72 Phutharaksa Road;10230;Bangkok;;Thailand;
