Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1003791;A Eletrowatts Comércio de Materiais Elétricos Ltda;4;;;;www.se.com;R. Conceição das Alagoas, 418;38022-080;Uberaba;Minas Gerais;Brazil;
1003792;ADS Comércio de Materiais Elétricos Ltda;4;;;;www.se.com;Av. Rui Barbosa, 8595 - Centro;83005-340;São José dos Pinhais;Paraná;Brazil;
1003794;Dimel Distribuidora de Material Elétrico Ltda;4;;;;www.se.com;R. Barão do Amazonas, 405 - Centro;24030-110;Niterói;Rio de Janeiro;Brazil;
1003812;Diskluz Ltda;4;;;;www.se.com;R. Rui Barbosa, 226;39400-051;Montes Claros;Minas Gerais;Brazil;
1003819;Elesul Eletro Eletrônica Ltda;4;;;;www.se.com;R. Gen. Osório, 7 - Centro;88350-480;Brusque;Santa Catarina;Brazil;
1003822;ELETRICA APOLO LTDA EPP;4;;;;www.se.com;AV JOSE GOMES DA R LEAL;12900-301;BRAGANCA PAULISTA;São Paulo;Brazil;
1003826;ELETRICA AVENIDA;4;;;;www.se.com;AV SAMPAIO VIDAL;17500-022;MARILIA;São Paulo;Brazil;
1003832;ELÉTRICA CATALÃO;4;;;;www.se.com;AVENIDADOUTOR LAMARTINE PINT;75704-020;CATALAO;;Brazil;
1003836;Alfabot Materiais Elétricos Ltda;4;;;;www.se.com;R. João Ledra, 247 - Fundos;89160-470;Rio do Sul;Santa Catarina;Brazil;
1003852;ELETRICA MAIO;4;;;;www.se.com;AV. CONEGO MANUEL ALVES;13484-420;LIMEIRA;São Paulo;Brazil;
1003854;ELETRICA MINAS LTDA ME;4;;;;www.se.com;RUA RIO DE JANEIRO;35500-009;DIVINOPOLIS;Minas Gerais;Brazil;
1003859;ELETRICA P V LTDA ME;4;;;;www.se.com;AV BRASIL;35590-000;LAGOA DA PRATA;Minas Gerais;Brazil;
1003862;ELETRICA PORTO VELHO LTDA EPP;4;;;;www.se.com;RUA GOIAS;35500-001;DIVINOPOLIS;Minas Gerais;Brazil;
1003864;ELÉTRICA TAMOIO;4;;;;www.se.com;Q 04 CL;73025-040;BRASILIA;;Brazil;
1003866;ELETRICA VARGRAN;4;;;;www.se.com;AV TANCREDO NEVES;06730-000;VARGEM GRANDE PAULISTA;;Brazil;
1003868;Eletro Blindados Distribuidora de Materiais Elétricos Ltda;4;;;;www.se.com;R. da Mangueira, 364 - Parque de Dias Davila;42850-000;Dias d'Ávila;Bahia;Brazil;
1003871;Eletro Braga Ltda;4;;;;www.se.com;R. Antonina Dias Beltrão, 90A - Matozinhos;36307-010;São João Del Rei;Minas Gerais;Brazil;
