Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1004854;DISTRIBUCIONES ELECTRICAS JT SAS;4;;;;www.se.com;CALLE 17 13 - 76;CO;Bogota;CUNDINAMARCA;Colombia;
1004857;DS INGENIERIA SAS;4;;;;www.se.com;TRANSVERSAL 93 NUMERO 63 60¶PISO 2;CO;Bogota;BOGOTA;Colombia;
1004861;EL PUNTO ELECTRICO;4;;;;www.se.com;CARRERA 4 A 6 - 09;CO;Popayan;CAUCA;Colombia;
1004872;ELECTRICOS IMPORTADOS S.A;4;;;https://www.eimpsa.com/web/;www.se.com;CARRERA 63 NUMERO 17-70;;BOGOTA;CUNDINAMARCA;Colombia;
1004873;ELECTRICOS IMPORTADOS S.A.;4;;;https://www.eimpsa.com/web/;www.se.com;CALLE 36 NUMERO 26 55;CO;VILLAVICENCIO;META;Colombia;
1004874;ANDINO TECNOLOGIA;4;;;;www.se.com;AVENIDA 5 AN 23D - 68 LOCAL 2;CO;Cali;CAUCA;Colombia;
1004885;ANIXTER COLOMBIA S.A.S.;4;;;;www.se.com;CARRERA 43A NUMERO 150TORRE 1 PISO 6 OFICINA 613;CO;Medellin;ANTIOQUIA;Colombia;
1004895;ESSI ELECTRICIDAD Y SERVICIOS S.A.S.;4;;;;www.se.com;CARRERA 16 C 60 - 110 LA ESMERALDA;CO;Giron;SANTANDER;Colombia;
1004896;ANIXTER COLOMBIA SAS;4;;;;www.se.com;CARRERA 11A NUMERO 94-46 PISO 3 EDIFICIO CHICO 3000;CO;BOGOTA;CUNDINAMARCA;Colombia;
1004899;FRIOCOL;4;;;;www.se.com;CARRERA 16 NUMERO 23-35;CO;Bucaramanga;SANTANDER;Colombia;
1004902;GENESYS AUTOMATION SAS;4;;;;www.se.com;Calle 42F Sur # 87B-18 Int 3 Ap501;;BOGOTA;CUNDINAMARCA;Colombia;
1004903;GESTION INFORMATICA Y TECNOLOGIA SAS;4;;;www.gitecnologia.com;www.se.com;CARRERA 105 NUMERO 12B - 12 OFICINA 29 CIUDAD JARDIN;;CALI;VALLE;Colombia;
1004910;GLOBAL NETWORKS SOLUTIONS S.A.;4;;;www.globalnetworks-solutions.com;www.se.com;AVENIDA ROUSEVEL 39-25 OFIC 305;CO;Cali;VALLE;Colombia;
1004913;GRUPO LOPERA INGENIEROS S.A;4;;;;www.se.com;CALLE 19 70 - 41;CO;Barranquilla;ATLANTICO;Colombia;
1004914;HCD LTDA;4;;;www.hcdingenieria.com;www.se.com;Carrera 6A #74A-56 Barrio Las Margaritas;730003;Ibagué;TOLIMA;Colombia;
1004921;ILUMEC BARRANQUILLA;4;;;;www.se.com;Cll. 48 Nº 66B-23;;BARRANQULLA;ATLANTICO;Colombia;
