Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005707;REXEL FRANCE SAS;4;;;;www.se.com;33 BOULEVARD LENINE;76800;ST ETIENNE DU ROUVRAY CEDEX;;France;
1005887;ROUTHIAU ET FILS;4;;;;www.se.com;RUE BLAISE PASCAL;85430;AUBIGNY-LES CLOUZEAUX;;France;
1005982;SONEPAR CONNECT;4;;;;www.se.com;RUE NORBERT SEGARD;59223;RONCQ;;France;
1005985;SONEPAR CONNECT;4;;;;www.se.com;14 RUE DE MAYENCE;21078;DIJON CEDEX;;France;
1005986;SONEPAR CONNECT;4;;;;www.se.com;11 RUE DES SERRURIERS;57073;METZ CEDEX 03;;France;
1005987;SONEPAR CONNECT;4;;;;www.se.com;5 Avenue Jules FERRY;92245;MALAKOFF CEDEX;;France;
1005988;SONEPAR CONNECT;4;;;;www.se.com;60 boulevard pierre lefaucheux;72029;Le Mans;;France;
1006048;CDL VALENCIENNES;4;;;;www.se.com;RUE PAUL ELUARD;59121;PROUVY;;France;
1006247;AMELEC;4;;;;www.se.com;1 ALLE DES NIELLES;74600;SEYNOD;;France;
1006456;YESSS EXPORT;4;;;;www.se.com;RUE FRANCIS GARNIER;33300;BORDEAUX;;France;
1006731;AURELEC;4;;;;www.se.com;125 AVENUE DE CONTHE;15000;AURILLAC;;France;
1006852;COMPTOIR ELECTRIQUE FRANCAIS;4;;;;www.se.com;RUE DE LA RENARDIERE;62300;LENS;;France;
1007038;ETABLISSEMENT MAILLARD;4;;;;www.se.com;LA FERRIERE;35400;SAINT MALO;;France;
1007069;LEGALLAIS;4;;;;www.se.com;AVENUE MAGUDAS;33320;EYSINES;;France;
1007072;LEGALLAIS;4;;;;www.se.com;62 BOULEVARD RICHARD LENOIR;75011;PARIS;;France;
1007073;LEGALLAIS;4;;;;www.se.com;1 RUE PHILIPPE LEBON;14120;MONDEVILLE;;France;
1007208;REXEL;4;;;;www.se.com;74 RUE DE PARIS;93130;NOISY LE SEC;;France;
1007223;REXEL - SAINT LAURENT DU VAR;4;;;;www.se.com;ALLEE DES PEINTRES;06700;ST LAURENT DU VAR;;France;
1007280;REXEL FRANCE SAS;4;;;;www.se.com;1 RUE JACQUES-HENRY LARTIGUE;92130;ISSY LES MOULINEAUX;;France;
1007320;REXEL FRANCE SAS;4;;;;www.se.com;RUE DE LA POINTE -ZI A;59113;SECLIN;;France;
999944;Monnier;4;;;www.monnier-pmd.fr;www.abb.com;810 Rue Du Verger;44150;Ancenis;Loire-Atlantique;france;
1000170;2ED;4;;;www.2ed.fr;www.abb.com;ZA EUROPE II;50000;ST LO;Manche;france;
1000185;AER YESSS DISTRIBUTION;4;;;www.yesss-fr.com;www.abb.com;270 Avenue Des Patis;78680;Epone;Yvelines;france;
1000206;Alliantz Pv;4;;;www.alliantz.fr;www.abb.com;44 Avenue Paul Sabatier;11100;Narbonne;Aude;france;
