Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1012888;(주)여명에프에이;4;;;www.ymfa.co.kr/index/;www.se.com;대구광역시 북구 유통단지로 50, 132(산격동,전기조명관);41518;Daegu;Taegu-jikhalsi;Korea, Republic of;
1012889;Dain control;4;;;;www.se.com;Rm 121, Olleh serviced office, 1182, Seongnam-daero, Sujeong-gu, Seongnam-si,;461-704;Gyeonggi-do;;Korea, Republic of;
1012890;Data-Tech Co., Ltd.;4;;;;www.se.com;B-235 Samsong Techno Valley 140, Tongil-ro, Deogyang-gu;10594;Goyang-si;Kyonggi-do;Korea, Republic of;
1012892;EINSTEK CO.,LTD.;4;;;;www.se.com;A-359, 140, Tongil-ro, Deogyang-gu;10594;Goyang-si;Kyonggi-do;Korea, Republic of;
1012896;Haenaem Controls;4;;;;www.se.com;DuckPung-dong 762 ITecho 908;465-736;Hanam-city;;Korea, Republic of;
1012900;HITEC EPC;4;;;;www.se.com;65, Ogeum-ro 36-gil,Songpa-gu;05714;Seoul;;Korea, Republic of;
1012901;Hyungje Electrical;4;;;;www.se.com;629-8bunji,Gojan-dong, Namdong-gu,;405-310;Incheon;Inch´on-jikhalsi;Korea, Republic of;
1012906;Jeil Tech _Seoul;4;;;;www.se.com;13bunji, 1003 Eno Plex Yangpyeongdong 3-ga, Yeongdeungpo-gu,;150-103;Seoul;Soul-t´ukpyolsi;Korea, Republic of;
1012907;Mirae Automation;4;;;;www.se.com;#108, 58-16 Gwangjang-ro 20beon-gil,Sasang-gu,;46977;Busan;;Korea, Republic of;
1012908;Myungil Sanjun;4;;;;www.se.com;578bunji,23-122 Industrial product trade shops , Gwaebeop-dong, Sasang-gu,;617-809;Busan;Pusan-jikhalsi;Korea, Republic of;
1012912;securehitec;4;;;www.securehitec.kr;www.se.com;Gasan Digital 2, Geumchun-Gu, Seoul Metropolitan Office of 184 Byucksan Digital Valley 2 Cha Apt., No. 809.;330-060;Seoul;;Korea, Republic of;
1012916;Songam Syscom Co., Ltd.;4;;;www.songam.co.kr;www.se.com;8F 1Dong 2Danji, Pangyo Seven Venture Valley 17, Pangyo-ro 228beon-gil, Bundang-gu;13487;Seongnam;Kyonggi-do;Korea, Republic of;
