Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013396;HOME DEPOT;4;;;;www.se.com;Nogalar 130 Sur ColCuauhtemoc San Nicolas de Los Garza;66452;Monterrey;Nuevo Léon;Mexico;
1013397;HOME DEPOT  MEXICO  S. DE R.L. DE C.V.;4;;;;www.se.com;López Mateos Y Simona Barba No. 1365Col. Melchor Ocampo;32380;Ciudad Juárez;Chihuahua;Mexico;
1013398;HOME DEPOT  MEXICO  S. DE R.L. DE C.V.;4;;;;www.se.com;Paseo De Los Triunfadores No. 3200Col. Las Cumbres 8 Sector;64610;Monterrey;Nuevo Léon;Mexico;
1013399;HOME DEPOT  MEXICO S. DE R.L. DE C.V.;4;;;;www.se.com;Calzada Del Hueso No. 670Col. Los Robles Coyoacán;4870;México;Ciudad de Mexico;Mexico;
1013400;HOME DEPOT  MEXICO S. DE R.L. DE C.V.;4;;;;www.se.com;Av. Chapultepec No. 210Col. Colinas Del Parque;78299;San Luis Potosí;San Luis Potosí;Mexico;
1013402;HOME DEPOT (SUC.CULIACAN 8708);4;;;;www.se.com;Bvd. Emiliano Zapata No. 2546 Int. PTE Col. El Ballado;80110;Culiacán;Sinaloa;Mexico;
1013403;HOME DEPOT 8088 Queretaro 2;4;;;;www.se.com;Carr Humilpan Esq Plaza Zimapa No. S/NCol. Plazas El Sol 3Ra Secc;76099;Querétaro;Querétaro;Mexico;
1013404;HOME DEPOT 8646 CUATLA-MOR;4;;;;www.se.com;AvFerrocarril y carretera Federal a Cuernavaca, fraccVolcanes de Cuautla, Cuautla, Morelos / 627;62757;Cuautla;Morelos;Mexico;
1013405;Home Depot 8661 Santa fe;4;;;;www.se.com;Vasco de Quiroga & Manuel Sandoval , Col. La Rosita;05340;Mexico;Ciudad de Mexico;Mexico;
1013406;HOME DEPOT 8701 TORRES;4;;;;www.se.com;Av. Lázaro Cárdenas No. 2800-BCol. Balcones Del Mirador;64790;Monterrey;Nuevo Léon;Mexico;
1013407;HOME DEPOT 8778  Celaya;4;;;;www.se.com;Av. Tecnologico No. 698-DCol. Ciudad Industrial;38010;Celaya;Guanajuato;Mexico;
1013408;HOME DEPOT 8788 Metepec;4;;;;www.se.com;Via Metepec Esq. Paseo Sn Isid No. 2 NTECol. Santa Cruz;52140;Metepec;Estado de México;Mexico;
1013409;HOME DEPOT MÉXICO  8747 IZTAPALAPA;4;;;;www.se.com;Periférico OrienteNo. 2141Col. Ejérc. Constitucionalista;9219;México;Ciudad de Mexico;Mexico;
