Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1013750;Control Innovations Ltd;4;;;;www.se.com;144 Plaskett Rd, RD1,;7471;Rangiora;Canterbury;New Zealand;
1013752;Cool Logic Christchurch LTD;4;;;;www.se.com;134 Wordsworth St;8023;Sydenham;Canterbury;New Zealand;
1013807;CSE NZ;4;;;;www.se.com;15 Polaris Pl;2013;Manukau;Auckland;New Zealand;
1013809;CYBERNETIC SYSTEMS LIMITED;4;;;;www.se.com;688 HIBISCUS COAST HIGHWAY;0931;OREWA;Auckland;New Zealand;
1013816;Dell Electrical Ltd;4;;;;www.se.com;42 The Parade;1071;St heliers;Auckland;New Zealand;
1013825;E Team;4;;;;www.se.com;35 Ina Ville Drive;2205;Pukekohe;;New Zealand;
1013828;Eastside Electrical Rotorua;4;;;https://www.eastsideelectrical.co.nz/;www.se.com;684 Te Ngae Road;3010;Rotorua;Bay of Plenty;New Zealand;
1013830;EIS Group;4;;;;www.se.com;24 Onslow St;9812;Invercargill;Southland;New Zealand;
1013831;EIS Group LTD;4;;;;www.se.com;unit 4/1 Hickory Place;8042;Christchurch;Canterbury;New Zealand;
1013835;electrical control automation design;4;;;;www.se.com;636 Atawhai Cres;7010;Nelson;;New Zealand;
1013838;Electrical Solutionz Bop Ltd;4;;;;www.se.com;4 Giltrap St;3015;Rotorua;Bay of Plenty;New Zealand;
1013840;Electronet Services Ltd;4;;;;www.se.com;146 Tainui St;7805;Greymouth;West Coast;New Zealand;
1013844;Entire Electrical;4;;;;www.se.com;9/19 Nga Mahi Road;8042;Christchurch;;New Zealand;
1013847;Excel Switchgear Ltd;4;;;;www.se.com;5 Peterkin St;;Taita;Wellington;New Zealand;
1013856;GAEL SWITCHBOARDS (WLG) LTD;4;;;;www.se.com;17 Jamaica Dr;;Grenada North;Wellington;New Zealand;
1013857;General Electrical Contractors;4;;;;www.se.com;14 Cairnbrae Drive Prebbleton;7064;Christchurch;Canterbury;New Zealand;
1013859;4Front Electrical;4;;;;www.se.com;10 Kellys Rd;8052;Christchurch;Canterbury;New Zealand;
1013862;Groombridge Electrical Ltd;4;;;;www.se.com;138 Awahuri Rd;4775;Feilding;Manawatu-Wanganui;New Zealand;
1013865;Hall Automation and Electrical;4;;;;www.se.com;37 Archmillen Ave;2010;Auckland;Auckland;New Zealand;
1013875;I C Switchgear;4;;;;www.se.com;472 St Asaph St;;Linwood;Canterbury;New Zealand;
