Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1014819;ABCOLD Spólka Jawna;4;;;;www.se.com;Lakowa 7A;90-562;Lódz;Lodzkie;Poland;
1014840;SOLAR POLSKA SP. Z O.O;4;;;;www.se.com;Pszczynska 192;44-100;Gliwice;Slaskie;Poland;
1014842;SOLAR POLSKA SP. Z O.O.;4;;;;www.se.com;Handlowa 1;15-399;Białystok;Podlaskie;Poland;
1014849;SOLAR POLSKA SP. Z O.O.;4;;;;www.se.com;Brzeska 97;08-110;Siedlce;Mazowieckie;Poland;
1014853;SOLAR POLSKA Sp. z o.o. Pila;4;;;;www.se.com;Zesłancow Sybiru 5;64-920;Pila;Wielkopolskie;Poland;
1014854;Solar Polska Sp. z o.o. Torun;4;;;;www.se.com;Towarowa 7;87-100;Torun;;Poland;
1014856;SOLAR POLSKA Sp. z o.o. Zielona Gora;4;;;;www.se.com;Objazdowa 41;65-752;Zielona Gora;Lubuskie;Poland;
1014866;Castorama Polska Sp. z o.o.;4;;;;www.se.com;Goscinczyk 6;24-100;Pulawy;Lubelskie;Poland;
1014891;W.EG-Fega;4;;;;www.se.com;Niciarniana 33/39;92-320;Łódź;;Poland;
1014906;Castorama Polska Sp. z o.o.;4;;;;www.se.com;Dzieci Zamojszczyzny 4;22-400;Zamosc;Lubelskie;Poland;
1014954;DYNAMOTION Sp. z o.o.;4;;;;www.se.com;Smoleńsk 29;31-112;Kraków;;Poland;
1015075;Elektryczne Hurtownie GRODNO;4;;;;www.se.com;Rzemieslnicza 7;62-081;Przezmierowo;;Poland;
1015089;Elkond Sp. z o.o.;4;;;;www.se.com;Handlowa 6C;15-399;Bialystok;Podlaskie;Poland;
1015096;Elmax- Hurt Żywicki Sp. j.;4;;;;www.se.com;Elizy Orzeszkowej 15B;43-100;Tychy;Slaskie;Poland;
1015129;Energetyk Energy Sp. z o.o. Sp. k.;4;;;;www.se.com;Korczak 100;62-800;Kalisz;;Poland;
1015184;Grodno;4;;;;www.se.com;ul. Kleszczowa 27;02-485;Warszawa;Mazowieckie;Poland;
1015185;Grodno Bydgoszcz;4;;;;www.se.com;Luzycka 27;85-096;Bydgoszcz;;Poland;
1015186;GRODNO S.A;4;;;;www.se.com;Karola Augusta Bahrego 5;19-300;Ełk;;Poland;
1015187;Grodno S.A;4;;;;www.se.com;Duchnicka 3;01-796;Warszawa;Mazowieckie;Poland;
1015189;GRODNO S.A;4;;;;www.se.com;Puławska 38;05-500;Piaseczno;Mazowieckie;Poland;
1015190;Grodno S.A;4;;;;www.se.com;Narodowych Sił Zbrojnych 3;09-400;Płock;Mazowieckie;Poland;
1015191;GRODNO S.A;4;;;;www.se.com;Przytorowa 19;16-400;Suwalki;Podlaskie;Poland;
1015192;GRODNO S.A  Gorzow Wielkopolski;4;;;;www.se.com;Grobla 4;66-400;Gorzow Wielkopolski;Lubuskie;Poland;
1015193;GRODNO S.A Pila;4;;;;www.se.com;Kossaka 101;64-920;Pila;;Poland;
1015194;Grodno S.A.;4;;;;www.se.com;Lednicka 16;32-020;Wieliczka;Malopolskie;Poland;
1015195;GRODNO S.A.;4;;;;www.se.com;Obornicka 348;60-689;Poznan;Wielkopolskie;Poland;
1015196;GRODNO S.A.;4;;;;www.se.com;Warszawska 209;05-300;Minsk Mazowiecki;Mazowieckie;Poland;
1015197;GRODNO S.A.;4;;;;www.se.com;Piekarska 20;43-300;Bielsko-Biala;Slaskie;Poland;
1015198;GRODNO S.A.;4;;;;www.se.com;Broniewskiego 74;01-854;Warszawa;Mazowieckie;Poland;
1015200;GRODNO S.A.;4;;;;www.se.com;Pulawska 294;02-819;Warszawa;Mazowieckie;Poland;
1015202;GRODNO S.A.;4;;;;www.se.com;Bytomska 165;41-940;Piekary Slaskie;Slaskie;Poland;
1015203;Grodno S.A.;4;;;;www.se.com;Adama Mickiewicza 17;36-065;Dynow;Podkarpackie;Poland;
1015204;GRODNO S.A.;4;;;;www.se.com;Waly Dwernickiego 159;42-200;Czestochowa;Slaskie;Poland;
1015205;GRODNO S.A.;4;;;;www.se.com;Budowlanych 2A;45-202;Opole;Opolskie;Poland;
1015206;GRODNO S.A.;4;;;;www.se.com;Katowicka 51;41-600;Swietochlowice;Slaskie;Poland;
1015207;GRODNO S.A.;4;;;;www.se.com;Postepu 2;02-673;Warszawa;Mazowieckie;Poland;
1015208;GRODNO S.A.;4;;;;www.se.com;Wilcza 51;00-679;Warszawa;Mazowieckie;Poland;
1015209;GRODNO S.A.;4;;;;www.se.com;Al. Krakowska 219;02-180;Warszawa;Mazowieckie;Poland;
1015211;GRODNO S.A.;4;;;;www.se.com;Dobra 26;00-344;Warszawa;Mazowieckie;Poland;
1015212;GRODNO S.A.;4;;;;www.se.com;Rzemieslnicza 20A;30-363;Krakow;Malopolskie;Poland;
1015213;GRODNO S.A.;4;;;;www.se.com;Wladyslawa Andersa 43;44-100;Gliwice;Slaskie;Poland;
1015214;GRODNO S.A.;4;;;;www.se.com;Aleja Tysiaclecia Panstwa Polskiego 2;15-111;Bialystok;Podlaskie;Poland;
1015215;GRODNO S.A.;4;;;;www.se.com;Wolska 91;01-229;Warszawa;Mazowieckie;Poland;
1015216;GRODNO S.A.;4;;;;www.se.com;Narwicka 2G;80-557;Gdansk;Pomorskie;Poland;
1015217;GRODNO S.A.;4;;;;www.se.com;Nieczaja 4;22-300;Krasnystaw;Lubelskie;Poland;
1015218;GRODNO S.A.;4;;;;www.se.com;Modlinska 103;03-186;Warszawa;Mazowieckie;Poland;
1015219;GRODNO S.A.;4;;;;www.se.com;Henryka Wieniawskiego 37;58-309;Walbrzych;Dolnoslaskie;Poland;
1015220;GRODNO S.A.;4;;;;www.se.com;Energetykow 47;20-468;Lublin;Lubelskie;Poland;
1015223;GRODNO S.A.;4;;;;www.se.com;Bohaterow Getta 63;37-700;Przemysl;Podkarpackie;Poland;
1015225;GRODNO S.A.;4;;;;www.se.com;Domaszowska 85;25-320;Kielce;Swietokrzyskie;Poland;
1015226;GRODNO S.A.;4;;;;www.se.com;Radzyminska 186;03-671;Warszawa;Mazowieckie;Poland;
1015227;GRODNO S.A.;4;;;;www.se.com;Biznesowa 2;26-612;Radom;Mazowieckie;Poland;
1015228;GRODNO S.A.;4;;;;www.se.com;Waflowa 1;02-971;Warszawa;Mazowieckie;Poland;
1015229;GRODNO S.A.;4;;;;www.se.com;Partyzantow 15;05-840;Brwinow;Mazowieckie;Poland;
1015230;GRODNO S.A.;4;;;;www.se.com;Boya Zelenskiego 23;35-105;Rzeszow;Podkarpackie;Poland;
1015231;GRODNO S.A. - IAD Poznan;4;;;;www.se.com;Rzemieślnicza 7;62-081;Przeźmierowo;Wielkopolskie;Poland;
1015232;GRODNO S.A. - IAD Warszawa;4;;;;www.se.com;Marsa 46A;02-246;Warszawa;Mazowieckie;Poland;
1015233;Bricoman Polska Sp. z o.o.;4;;;;www.se.com;Jana III Sobieskiego 7;21-500;Biala Podlaska;Lubelskie;Poland;
1015234;GRODNO S.A. Domaszowska Kielce;4;;;;www.se.com;Domaszowka 85;25-420;Kielce;;Poland;
1015235;GRODNO S.A. Grudziadz;4;;;;www.se.com;Chelminska 208;86-300;Grudziadz;;Poland;
1015236;GRODNO S.A. Hurtownia Elektryczna Glogów;4;;;;www.se.com;Przemysłowa 3;67-200;Głogów;Dolnoslaskie;Poland;
1015237;GRODNO S.A. Jarocin;4;;;;www.se.com;Szubianki 19;63-200;Jarocin;Wielkopolskie;Poland;
1015238;GRODNO S.A. Konin;4;;;;www.se.com;Zakladowa 7;62-510;Konin;Wielkopolskie;Poland;
1015239;GRODNO S.A. o/Sandomierz;4;;;;www.se.com;Trzesniowska 2b;27-600;Sandomierz;Swietokrzyskie;Poland;
1015240;GRODNO S.A. Olsztyn;4;;;;www.se.com;Wladyslawa Leonharda 7;10-454;Olsztyn;;Poland;
1015241;GRODNO S.A. Poznan;4;;;;www.se.com;Ostrowska 499;60-801;Poznan;Wielkopolskie;Poland;
1015242;GRODNO S.A. Torun;4;;;;www.se.com;Polna 53;87-100;Torun;;Poland;
1015243;GRODNO S.A. Wroclaw;4;;;;www.se.com;Krakowska 98;50-427;Wroclaw;Dolnoslaskie;Poland;
1015244;Bricoman Polska Sp. z o.o.;4;;;;www.se.com;Ul. Europejska 125;02-964;Warszawa;Mazowieckie;Poland;
1015245;GRODNO S.A. Zielona Gora;4;;;;www.se.com;Jędrzychowska 39;65-385;Zielona Gora;Lubuskie;Poland;
1015246;GRODNO.S.A. Jelenia Góra;4;;;;www.se.com;Wincentego Pola 8;58-500;Jelenia Góra;Dolnoslaskie;Poland;
1015247;GRODNO.S.A. Wroclaw;4;;;;www.se.com;Chojnowska 2;53-617;Wroclaw;Dolnoslaskie;Poland;
1015266;Bricoman Polska Sp. z o.o.;4;;;;www.se.com;Przybyszewskiego 176/178;93-120;Lódz;Mazowieckie;Poland;
1015310;Castorama Polska Sp z o.o.;4;;;;www.se.com;Obwiednia Pólnocna 21;44-200;Rybnik;Slaskie;Poland;
1015319;Hurtownia Elektryczna Wieslaw Lenart;4;;;;www.se.com;Pilsudskiego;23-100;Bychawa;Lubelskie;Poland;
1015321;Castorama Polska Sp z o.o.;4;;;;www.se.com;Zatorska 1;32-600;Oswiecim;Malopolskie;Poland;
1015333;Castorama Polska Sp. z o.o;4;;;;www.se.com;Melgiewska 16-18;20-234;Lublin;Lubelskie;Poland;
1015344;Castorama Polska Sp. z o.o;4;;;;www.se.com;Pszczynska 309;44-100;Gliwice;Slaskie;Poland;
1015355;Castorama Polska Sp. z o.o;4;;;;www.se.com;Ciepla 2;19-300;Elk;;Poland;
1015380;JULA;4;;;;www.se.com;Melgiewska 2b;20-209;Lublin;Lubelskie;Poland;
1015381;JULA;4;;;;www.se.com;Plac Szwedzki 3;05-090;Raszyn;Mazowieckie;Poland;
