Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1016323;ЛАНИТ-СИБИРЬ;4;;;;www.se.com;;;;;Russian Federation;
1016326;Лемакс;4;;;lemax-t.ru/;www.se.com;ш.Поляковское д.11/2;347900;Таганрог;;Russian Federation;
1016365;Лиссиб OOO (Неватом);4;;;;www.se.com;Выборная улица, 141;630126;Новосибирск;The Novosibirsk Area;Russian Federation;
1016371;Люмьер;4;;;;www.se.com;ул. Пушкина, д. 15;440008;Пенза;;Russian Federation;
1016372;Люмьер;4;;;;www.se.com;ул. Ладожская, д. 124;440064;Пенза;;Russian Federation;
1016385;Магазин  "Электромир";4;;;www.rubilnik.ru/;www.se.com;ул. Ямская, 87 А;625000;Тюмень;The Tyumen Area;Russian Federation;
1016410;"Минимакс";4;;;www.minimaks.ru;www.se.com;ул. Калинина, д. 10;456300;Миасс;;Russian Federation;
1016461;магазин 'Здравый Смысл';4;;;;www.se.com;ул. Транспортная, 40;354000;Сочи;Krasnodar Territory;Russian Federation;
1016506;Магазин континент;4;;;;www.se.com;Горького ул, дом № 129А;160029;Вологда;;Russian Federation;
1016526;Магазин Электрика для дома и офиса;4;;;esh76.ru/;www.se.com;ул.Рыбинская д.7;150049;Ярославль;;Russian Federation;
1016560;Магнитогорский крановый завод АО;4;;;;www.se.com;Шоссейная улица, 26/1;455016;Магнитогорск;The Chelyabinsk Area;Russian Federation;
1016561;Максидом - Гражданский;4;;;www.maxidom.ru;www.se.com;пр.Гражданский д.18А;196630;Санкт-Петербург;c.St-Peterburg;Russian Federation;
1016562;Максидом - Екатеринбург;4;;;www.maxidom.ru;www.se.com;ул.Тверитина 15;620026;Нижний Новгород;The Sverdlovsk Area;Russian Federation;
1016563;Максидом - Казань;4;;;www.maxidom.ru;www.se.com;ул.Рихарда Зорге д.11А;420000;Казань;Tatarstan Republic;Russian Federation;
1016564;Максидом - Н.Новгород;4;;;www.maxidom.ru;www.se.com;ул.Тургайская д.1;603011;Нижний Новгород;;Russian Federation;
1016565;Максидом - Передовиков;4;;;www.maxidom.ru;www.se.com;ул.Передовиковд.18, к.2;188480;Санкт-Петербург;c.St-Peterburg;Russian Federation;
1016567;Максидом - Самара;4;;;www.maxidom.ru;www.se.com;ул.Кирова д.308;443000;Самара;The Samara Area;Russian Federation;
1016568;Максидом - Тельмана;4;;;www.maxidom.ru;www.se.com;ул.Тельмана 31;193230;Санкт-Петербург;c.St-Peterburg;Russian Federation;
1016570;Максима-электромаркет;4;;;;www.se.com;ул. Перспективная, д. 1 к. 1;440004;Пенза;;Russian Federation;
1016575;Машиностроительный завод 'Компраг' ООО;4;;;;www.se.com;Электродная улица, дом 9 строение 2;111524;Москва;c.Moscow;Russian Federation;
1016580;Мегастрой - 2-ая Азинская;4;;;https://megastroy.com/;www.se.com;ул. 2-а Азинская, 7;420000;Казань;Tatarstan Republic;Russian Federation;
1016581;Мегастрой - Альметьевск;4;;;https://megastroy.com/;www.se.com;ул.Советская 165 А;423450;Альметьевск;Tatarstan Republic;Russian Federation;
1016582;Мегастрой - Гаврилова 5;4;;;https://megastroy.com/;www.se.com;ул.Гаврилова 5;420000;Казань;Tatarstan Republic;Russian Federation;
1016583;Мегастрой - Н.Челны;4;;;https://megastroy.com/;www.se.com;Машиностроительная 45;423808;Набережные Челны;Tatarstan Republic;Russian Federation;
1016584;Мегастрой - пр.Победы;4;;;https://megastroy.com/;www.se.com;пр.Победы 101;420000;Казань;Tatarstan Republic;Russian Federation;
1016585;Мегастрой - Саранск;4;;;https://megastroy.com/;www.se.com;ул.Севастопольская д.5;430009;Саранск;;Russian Federation;
