Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1019579;DIEBOLD;4;;;www.diebold.com;www.se.com;Meadowbrook Business Estate 972 Jacaranda Avenue Olivedale , Ext 18;2160;Randburg;Gauteng;South Africa;
1019583;DLK GROUP (PTY) LTD;4;;;www.dlkgroup.com;www.se.com;P O Box 38700 PINELANDS;7430;CAPE TOWN;Western Cape;South Africa;
1019584;DRA Mineral Projects (PTY) Ltd - JHB;4;;;;www.se.com;DRA HOUSE, NO 3 INYANGA CLOSE, SUNNINGHILL;;Johannesburg;;South Africa;
1019588;E&I System Intergrators;4;;;;www.se.com;74 Jasmyn RoadFlimieda;2571;Klerksdorp;North-West;South Africa;
1019591;ECAM (PTY) LTD;4;;;;www.se.com;8 BARROT ROAD, FACTORIA, KRUGERSDORP;1764;KRUGERSDORP;Gauteng;South Africa;
1019599;EHL Consulting Engineers;4;;;;www.se.com;88 Marshall Street;2100;Johannesburg.;Gauteng;South Africa;
1019604;Electrahertz Panel Building;4;;;www.electrahertz.co.za;www.se.com;241 Fakkel Street;0127;Pretoria;Gauteng;South Africa;
1019622;AGE;4;;;;www.se.com;50 Charl Cilliers St;1450;Alberton;Gauteng;South Africa;
1019639;Firepower Computing Systems;4;;;www.firepower.co.za;www.se.com;2nd Floor, M & N Building,97 Augusta Road,Regents Park;2197;Johannesburg;Gauteng;South Africa;
1019653;Gigabean Technologies CC;4;;;www.gigabean.co.za;www.se.com;7 Tailor Green Summer Greens Milnerton;7441;Cape Town;Western Cape;South Africa;
1019659;Greenro Solutions Pty Ltd;4;;;;www.se.com;400 Roan Crescent Randjespark Ext 100;1685;Midrand;Gauteng;South Africa;
1019671;HRS Trading Investments Pty Ltd;4;;;;www.se.com;5 Veneto 39 Bamboo Lane Pinetown;3610;Durban;KwaZulu-Natal;South Africa;
1019672;I.T Maintenance KZN;4;;;www.itmaintenance.co.za;www.se.com;PO BOX 81, Umgeni Park;0000;Durban;KwaZulu-Natal;South Africa;
1019676;Ikasi Solutions cc;4;;;www.ikasisolutions.co.za;www.se.com;3 Masekela Street Kwa - Thema;1575;Springs;Gauteng;South Africa;
1019679;Imag;4;;;www.com;www.se.com;Monument and Braambos;1619;Kempton Park;Gauteng;South Africa;
1019702;Jicho Consulting;4;;;www.jicho.co.za;www.se.com;135 Twee Reviere Montana Pretoria;182;Pretoria;Gauteng;South Africa;
1019704;JSDAAV Internet Solutions CC;4;;;;www.se.com;34 Wodin Road;0185;Pretoria;Gauteng;South Africa;
1019708;Kentz (Pty) Ltd Projects service (SNC Lavalin);4;;;;www.se.com;10 Hertz Boulevard;1900;Vanderbijlpark;Gauteng;South Africa;
1019710;Khusela Solutions;4;;;www.khusela.co.za;www.se.com;Unit D4 Spearhead Business Park, Montague driver & freedom way, Montague gardens;7441;Cape Town;Western Cape;South Africa;
1019724;Lezmin Omputers;4;;;www.lezminfs.co.za;www.se.com;33 Wilcocks Road Bayswater;13296;Bloemfontein;Free State;South Africa;
1019727;LIT;4;;;;www.se.com;PO Box 15001;8018;Cape Town;Western Cape;South Africa;
1019735;M-INC TECHNOLOGIES;4;;;www.minctech.com;www.se.com;P.O. BOX 194;9860;KESTELL;Free State;South Africa;
1019736;Madge Computers;4;;;;www.se.com;P.O. BOX 926 BRACKENFELL;7561;BRACENFELL;Western Cape;South Africa;
1019760;MERSOL TECHNICAL (PTY) LTD;4;;;;www.se.com;54 Sixth avenue;1456;Alberton Not;Gauteng;South Africa;
1019761;MET ICT;4;;;;www.se.com;89 Lyttelton Road Clubview;0001;Pretoria;Gauteng;South Africa;
1019763;Micron Maintenance;4;;;;www.se.com;5 Fifth AvenueNewton Park;6055;Port Elizabeth;Eastern Cape;South Africa;
1019782;N Cherry Electrical;4;;;;www.se.com;71 Hekpoort Road Protearidge Mogale City;2000;Johannesburg;Gauteng;South Africa;
1019791;Neotec;4;;;www.mercsystems.co.za;www.se.com;Suite no 110B Africa House Bld Corner brown & bester street;1200;Nelspruit;Mpumalanga;South Africa;
1019793;NETCOMTECH;4;;;www.netcomtech.co.za;www.se.com;40 Kasbah Ridge Eagle Canyon Golf Estate Blueberry Street;2040;Honeydew, Johannesburg,;Gauteng;South Africa;
1019795;Netsec Technologies;4;;;;www.se.com;25 Clew St, Monument, Krugersdorp;1739;Johanneburg;Gauteng;South Africa;
1019797;Network Alliance;4;;;;www.se.com;PO Box 444 Paardekraal Krugersdorp;2000;Krugersdorp;Gauteng;South Africa;
1019813;NV Technologies;4;;;www.nvtechnologies.co.za;www.se.com;Block E Upper Grayston;2196;gauteng;Gauteng;South Africa;
