Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020070;ABC GIRONA, S.L;4;;;;www.se.com;AGUDES 52 BAIXOS;17006;GIRONA;Girona;Spain;
1020072;CARLOS ALCARAZ, S.A.;4;;;;www.se.com;JOSE MARIA IBARRA Y GOMEZ RULL, 11 P.I.C.A.;41007;SEVILLA;Sevilla;Spain;
1020079;CAROL AUTOMATISMES TERRASSA S.A;4;;;;www.se.com;C/. Ignasi Iglesias, 38;08226;Terrassa;Barcelona;Spain;
1020095;COMERCIAL AUTOMATISMOS Y NEUMATICA,;4;;;;www.se.com;COBALTO, 16-20 NAVE B-1;08038;BARCELONA;Barcelona;Spain;
1020111;COMERCIAL ELEC.CANARIAS, S.A. FUERTEVENTURA;4;;;;www.se.com;PROL.JUAN REJON-NAVE 62 CHARCO;35600;PUERTO DEL ROSARIO;Las Palmas;Spain;
1020152;CONSORCIO MAYORISTA, S.A. Pineda;4;;;;www.se.com;ANOIA, S/N O MARCONI, 15 POL.IND."MAS ROGER";08397;PINEDA DE MAR;Barcelona;Spain;
1020153;CONSORCIO MAYORISTA,S.A. BADALONA;4;;;;www.se.com;PLASTIC, 24 POL.IND.LES GUIXERES;08915;BADALONA;Barcelona;Spain;
1020154;CONSORCIO MAYORISTA-S.A.;4;;;;www.se.com;VILADOMAT-112;08015;BARCELONA;Barcelona;Spain;
1020158;COVAMA ELECTRICA, S.L.(JAEN);4;;;;www.se.com;Pol. Los Olivares c/ Escañuela 14;23009;JAEN;Jaen;Spain;
1020162;CSI-CENTRAL DE SUMINISTROS, S.L;4;;;;www.se.com;POLIGONO INDUSTRIAL CAN ROSES C/NATACIÓ, 5;08191;RUBI;Barcelona;Spain;
1020175;DIELECTRO CANARIAS S.A.;4;;;;www.se.com;C/ TRINQUETE Nº 4-5;35550;ARRECIFE-LANZAROTE;Las Palmas;Spain;
1020178;DIELECTRO INDUSTRIAL S.A;4;;;;www.se.com;C / FRANCIA , 23 NAVE 7 C POLIGONO INDUSTRIAL ACCESO SUR;12006;CASTELLON;Castellon;Spain;
1020180;DIELECTRO INDUSTRIAL, S.A.;4;;;;www.se.com;ISAAC PERA 31;15890;SANTIAGO DE COMPOSTELA;La Coruña;Spain;
1020194;DIELECTRO INDUSTRIAL, S.A.;4;;;;www.se.com;Rúa Eloy Luis André, nº1 Bajo A (esquina Avenida de Portugal;32600;VERIN;Orense;Spain;
1020197;DIELECTRO INDUSTRIAL, S.A.;4;;;;www.se.com;C/ MORGAN, Nº 4Vizcaya, 48014 Spain;48014;BILBAO;Vizcaya;Spain;
1020223;DIMEL Plasencia;4;;;;www.se.com;AVDA. MARTIN PALOMINO, 64;10600;PLASENCIA;Caceres;Spain;
1020230;DIS-ELECTRIC, S.A;4;;;;www.se.com;SOT DELS PRADALS, 18;08500;VIC;Barcelona;Spain;
1020238;DISTRIBUIDORA ELEC. CANARIAS (LOS CRISTIANOS);4;;;;www.se.com;C/CORONEL Nº 4, EDF. CHUNGA - LOS CRISTIANOS - ARONA;38650;LOS CRISTIANOS;Sta. Cruz Tenerife;Spain;
1020241;DISTRIBUIDORA ELECTRICA CANARIA, S.A.;4;;;;www.se.com;PROFESOR LOZANO Nº 32 - URB.IND. EL SEBADAL;35008;LAS PALMAS G.C.;Las Palmas;Spain;
1020247;EBREQUALITAT, S.A.;4;;;;www.se.com;CAPSADES, 20;12500;VINAROS;Castellon;Spain;
1020263;ELECTRICIDAD PRINCIPADO, S.A.;4;;;;www.se.com;C/ Narciso Monturiol, 32-34Polígono Mora Garay;33211;Gijón;Asturias;Spain;
1020270;AMARA, SA-NORTE;4;;;;www.se.com;POL. IND. UGALDEGUREN II,P-9 III;48170;ZAMUDIO;Vizcaya;Spain;
1020271;ELECTRO IDELLA, S.L (DENIA);4;;;;www.se.com;PARTIDA MADRIGUERES SUDSECTOR 9, B-10;03700;DENIA;Alicante;Spain;
1020273;ELECTRO MERCANTIL EXTREMADURA DAM S.L.;4;;;;www.se.com;POLIGONO INDUSTRIAL EL NEVERO C/ NEVERO 18 NAVE 15;06006;Badajoz;Badajoz;Spain;
1020277;ELECTRO STOCKS ALGECIRAS;4;;;;www.se.com;C/Cruzero Nº 3,5,7;11370;LOS BARRIOS;Cadiz;Spain;
1020278;ELECTRO TARR, S.C.C.L.;4;;;;www.se.com;AVDA. CERVERA, S/N. POL.IND. DE LLEVANT;25300;TARREGA;Lleida;Spain;
1020292;ABC MOLLERUSA, S.L.;4;;;;www.se.com;JUAN BURNIOL, 4;25230;MOLLERUSSA;Lleida;Spain;
1020294;ELECTROGRANXA, S.L.;4;;;;www.se.com;POG. IND. A GRANXA, CALLE D-PARC.90;36400;O PORRIÑO;Pontevedra;Spain;
1020314;ELEKTRA CATALUNYA XXI, S.L.;4;;;;www.se.com;Carrer de la Mare Teresa de Calcuta, 13;17190;SALT;Girona;Spain;
1020315;AME Lorca;4;;;;www.se.com;Poligono Los Peñones C/Cerro de la muela, 3;30800;LORCA;Murcia;Spain;
1020321;Elektra Solar Fotovoltaica;4;;;;www.se.com;C/ Apostolado 3420014 - San Sebastián;20014;San Sebastián;Guipuzcoa;Spain;
1020333;ELEKTRA, SA PAMPLONA;4;;;;www.se.com;P. iND. LANDABEN, CALLE K;31012;PAMPLONA;;Spain;
1020347;GALEKTRA XXI, S.L.;4;;;;www.se.com;ERMITA, 1- PO.IND. LA GRELA;15008;A CORUÑA;La Coruña;Spain;
1020348;AME MATERIAL ELECTRICO S.A.U. (ALICANTE);4;;;;www.se.com;CTRA. OCAÑA,NUMERO 63.;03007;ALICANTE;Alicante;Spain;
1020352;GOMEZ MORENO MIJAS  S.L..;4;;;;www.se.com;C/. VELAZQUEZ,7P.I. LA MATA;29700;VELEZ MALAGA;Malaga;Spain;
1020353;GOMEZ MORENO MIJAS S.L.;4;;;;www.se.com;C/ MOSCATEL,7 Polg.Ind. Arroyo de la Miel;29631;ARROYO DE LA MIEL;Malaga;Spain;
1020382;GRUPO ELECTRO STOCKS, S.L.;4;;;;www.se.com;C/ Mare Nostrum - Naves 31-32;04009;Almería;Almeria;Spain;
1020392;AME MATERIAL ELECTRICO, S.A.DIVISION SANTO DOMINGO;4;;;;www.se.com;SANTO DOMINGO SABIO, 96-98;46019;VALENCIA;Valencia;Spain;
1020394;GRUPO ELECTRO STOCKS, S.L.U.;4;;;;www.se.com;CTRA. DE CAUDETE G MÁS D, N.7-POL.IND. EL RUBIAL;03400;VILLENA;Alicante;Spain;
1020404;Ame Material Eléctrico, S.A.U (Enguera);4;;;;www.se.com;ENGUERA, 17;46018;VALENCIA;Valencia;Spain;
1020429;GRUPO ELECTROSTOCKS COLLADO VILLALBA;4;;;;www.se.com;CALLE BURIL 10 NAVE 19;28400;COLLADO VILLALBA;Madrid;Spain;
