Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1020870;A.N.K Bygg & renovering ab;4;;;;www.se.com;Rosengatan 11 LGH 1001;17270;Sundbyberg;;Sweden;
1020871;AF AB;4;;;;www.se.com;Bryggaregatan 1;57230;OSKARSHAMN;;Sweden;
1020872;Ahlsell;4;;;;www.se.com;Filgatan 1;57635;SAVSJO;;Sweden;
1020873;Ahlsell;4;;;;www.se.com;Järnringen 4;433 30;PARTILLE;;Sweden;
1020874;Ahlsell;4;;;;www.se.com;Vattenverksvagen 10;13141;NACKA;;Sweden;
1020875;Ahlsell;4;;;;www.se.com;Rollsbovagen 22;44240;KUNGALV;;Sweden;
1020876;Ahlsell;4;;;;www.se.com;Hantverkaregatan 1;73150;Koping;;Sweden;
1020877;Ahlsell;4;;;;www.se.com;Norra Industrigatan 2;28141;Hassleholm;;Sweden;
1020878;Ahlsell;4;;;;www.se.com;Baldersgatan 19;76150;NORRTALJE;;Sweden;
1020879;Ahlsell;4;;;;www.se.com;Myrangatan 10;74542;Enkoping;;Sweden;
1020880;Ahlsell;4;;;;www.se.com;Verkstadsgatan 1;26134;LANDSKRONA;;Sweden;
1020882;AF AB;4;;;;www.se.com;Nygatan 30;39234;KALMAR;;Sweden;
1020883;Ahlsell;4;;;;www.se.com;Hantverksgatan 4;62141;Visby;;Sweden;
1020884;Ahlsell;4;;;;www.se.com;Arnoleden 4;61131;Nykoping;;Sweden;
1020885;Ahlsell;4;;;;www.se.com;Grafitvagen 17;46138;TROLLHÄTTAN;Västra Götalands Län;Sweden;
1020886;Ahlsell;4;;;;www.se.com;Ovädersgatan 12;41834;GÖTEBORG;Västra Götalands Län;Sweden;
1020887;Ahlsell;4;;;;www.se.com;Stenyxegatan 33;20039;Malmo;;Sweden;
1020888;Ahlsell;4;;;;www.se.com;Mandagsgatan 5;25664;Helsingborg;;Sweden;
1020889;Ahlsell;4;;;;www.se.com;Kurodsvagen 10;45155;UDDEVALLA;;Sweden;
1020890;Ahlsell;4;;;;www.se.com;Rosterigränd 12;11798;Stockholm;;Sweden;
1020891;Ahlsell;4;;;;www.se.com;Lundavagen 142;20570;MALMO;;Sweden;
1020897;Aros Allservice AB;4;;;;www.se.com;LÄBY-VÄSTERBY 706;74020;Vänge;Uppsala Län;Sweden;
1020905;AWJ Elteknik AB;4;;;;www.se.com;Hägerstensvägen 117b;12649;Hägersten;;Sweden;
1020906;Bålsta Elteknik;4;;;;www.se.com;;;BÅLSTA;;Sweden;
1020907;Barks El;4;;;;www.se.com;Signalgatan 5;44240;KUNGALV;;Sweden;
1020909;Befesa ScanDust AB;4;;;;www.se.com;Varvsudden;26123;Landskrona;;Sweden;
1020911;Beijer Byggmaterial AB;4;;;;www.se.com;;;NA;;Sweden;
1020917;Bravida Sverige AB;4;;;;www.se.com;Prästängsvägen 11;45233;Stromstad;;Sweden;
1020918;Broderna Ahlm Maskin AB;4;;;;www.se.com;Fabriksgatan 11;27423;Skurup;;Sweden;
1020922;Cederberg El & Ljusteknik AB;4;;;;www.se.com;Gjuteribacken 11;172 65;Sundbyberg;;Sweden;
1020927;Curator AB;4;;;;www.se.com;Prästängsvägen 29;45233;Strömstad;;Sweden;
1020931;Din Elkontakt Roger Andersson AB;4;;;;www.se.com;Stenstorp 11;43297;Rolfstorp;;Sweden;
1020932;DK Elservice;4;;;;www.se.com;EKARP 519;274 92;Skurup;Skåne Län;Sweden;
1020933;Dolk El & Design AB;4;;;;www.se.com;HEJDERIDAREGATAN 32;27157;Ystad;Skåne Län;Sweden;
1020936;E3k Installation AB;4;;;;www.se.com;Vendevagen 87;18232;Danderyd;;Sweden;
1020938;ECS Elektriska AB;4;;;;www.se.com;Asebyberg 650;44298;Kode;;Sweden;
1020943;El & Larmteknik;4;;;;www.se.com;Hantverkaregatan 13;54239;MARIESTAD;;Sweden;
1020944;EL och Montage i Syd AB;4;;;;www.se.com;Agnesfridsvagen 184A;21375;Malmo;;Sweden;
1020945;El-Finess Elinstallationer AB;4;;;;www.se.com;Marieholmsgatan 10c;41502;Göteborg;;Sweden;
1020946;Elajo El & Energiteknik AB;4;;;;www.se.com;Härdgatan 13C;432 32;Varberg;;Sweden;
1020950;Elector;4;;;;www.se.com;Industrivägen 4;449 44;Nol;;Sweden;
1020957;Elektriska Companiet i Norr AB;4;;;;www.se.com;Varvsgatan 55;97233;Lulea;;Sweden;
1020959;AF Industry AB;4;;;;www.se.com;Gesallgatan 4;44432;STENUNGSUND;;Sweden;
1020960;Elektro Västerbotten AB;4;;;;www.se.com;Formvägen 12;906 21;Umeå;;Sweden;
1020961;Elektroskandia;4;;;;www.se.com;Hyvelgatan 11;62122;Visby;;Sweden;
1020962;Elektroskandia;4;;;;www.se.com;Tjarnvagen 18;93123;Skelleftea;;Sweden;
1020967;Elektroskandia;4;;;;www.se.com;Gustavshemsvagen 1F;22764;Lund;;Sweden;
1020968;Elektroskandia;4;;;;www.se.com;Ringogatan 3;40275;GÖTEBORG;;Sweden;
