Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1021550;หาดใหญ่สิริภัณฑ์;4;;;;www.se.com;288 ถ.นิพิทน์สงเคราะห์ ตำบล/อำเภอหาดใหญ่ สงขลา 90110;90110;สงขลา;;Thailand;
1021580;เจมินี ยูนิเวอร์แซล;4;;;;www.se.com;206/19 JESADAWAT RD. ต.มหาชัย อ.เมือง สมุทรสาคร 74000;74000;สมุทรสาคร;;Thailand;
1021600;เล่าจิ้นกวง;4;;;;www.se.com;403 ถ.ฉัตรไชย ต.สบตุ๋ย อ.เมืองลำปาง ลำปาง 52100;52100;ลำปาง;;Thailand;
1021601;Chockchai Electric (2012);4;;;;www.se.com;20/147 Setsomboon Rd., T.NongKea;18140;Saraburi;;Thailand;
1021632;แสงทวีอิเลคทริค;4;;;;www.se.com;171/1 ถ.สุขุมวิท ต.เชิงเนิน อ.เมือง ระยอง 21000;21000;ระยอง;;Thailand;
1021648;แสงไพสิฎฐ์ไฟฟ้าภัณฑ์;4;;;;www.se.com;142/13-14 ม. 4 ถ.สุขุมวิท ต.ห้วยกะปิ อ.เมือง ชลบุรี 20130;20130;ชลบุรี;;Thailand;
1021680;ไฟฟ้าแสงคูณ;4;;;;www.se.com;185/5-6 ถ.มิตรภาพ ตำบล/อำเภอปากช่อง นครราชสีมา30130;30130;นครราชสีมา;;Thailand;
1021694;CONTECH TRADING CO., LTD;4;;;;www.se.com;555/51 Poochaosamingprai Road, Sumrongtai,Phrapradaeng,;10130;Samutprakarn;Bangkok;Thailand;
1021706;DaiKa Estate Co.,ltd.;4;;;;www.se.com;Rama 4 rd.,;;Bangkok;;Thailand;
1021725;ABSOLUTE IT SERVICE CO.,LTD;4;;;;www.se.com;33/106 T.Tabma A.Muang;21000;Rayong;Rayong;Thailand;
1021735;Electro System SH;4;;;;www.se.com;Juan A Garona 628;1832;Lomas de Zamora;Buenos Aires;Thailand;
