Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1024672;Abdulla Al Khoory Trading & Contracting W.L.L;4;;;;www.se.com;Abdulla Alkhoory trading company;80918;Doha;;Qatar;
1024674;Al ayadi electrical supplies;4;;;;www.se.com;Barwa Commercial Avenue;QA;Doha;;Qatar;
1024676;Iconic Plus Control System LLC;4;;;iconic-plus.com;www.se.com;Sheikh Rashid Rd;AE;Dubai;Dubai;United Arab Emirates;
1024679;INTECH PROCESS AUTOMATION FZCO;4;;;intechww.com/;www.se.com;RA08 ZC01 JAFZA;AE;DUBAI;Dubai;United Arab Emirates;
1024680;INTEGRA INTERNATIONAL;4;;;www.integraqatar.com/;www.se.com;DOHA;;DOHA;;Qatar;
1024684;IPOINT;4;;;www.ipoint-me.com;www.se.com;;BH;Manama;;Bahrain;
1024691;Key Construction;4;;;keyconstructionbahrain.com/;www.se.com;;BH;Manama;;Bahrain;
1024693;L&T Electrical and Automation;4;;;https://www.larsentoubro.com/;www.se.com;Ground Floor, Building 209 'C' Ring Road;200308;Doha;;Qatar;
1024695;Lan & Wan Security & Surveillance System LLC;4;;;lanwan.ae/;www.se.com;86Amman St Dubai Al Muhaisnah Area -;;Dubai - Muhaisnah;Dubai;United Arab Emirates;
1024696;Al Fajr Al Jadid Co.;4;;;www.fajraljadid.com;www.se.com;PO Box 42084;KW;Kuwait City;;Kuwait;
1024697;LOOPS AUTOMATION L.L.C;4;;;www.loopsautomation.com;www.se.com;;AE;Dubai;;United Arab Emirates;
1024698;Mahasen Al Khair Trading Co.;4;;;https://mahasenk.com/;www.se.com;Bur Dubai Dr. Fernandez Building, 7th floor;117097;Dubai;;United Arab Emirates;
1024702;Mannai Trading Qatar;4;;;;www.se.com;Al Emadi Bldg, Salwa RoadPO Box #76Doha, Qatar;;Doha;;Qatar;
1024705;Masibus Automation And Instrumentation FZC;4;;;;www.se.com;Sharjah Free Zone;AE;Sharjah;;United Arab Emirates;
1024706;Maxell International LLC;4;;;www.maxellinternational.com;www.se.com;P.O. Box: 18752,Unit No: 2004, Level 20,ONE BY OMNIYAT TOWER,Business Bay,Dubai, U.A.E;18752;Dubai;;United Arab Emirates;
1024707;Al Fajr Al Jadid Co. W.L.L;4;;;www.fajraljadid.com/;www.se.com;70651;KW;Shuwaikh;;Kuwait;
1024709;Mazoun Electromechanical;4;;;mazoun.com;www.se.com;Postal Code : 118 Al-Rumaylah Building No. 326;OM;Sultanate of Oman;;Oman;
