Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999559;Legrand Electric Algérie;4;+213 (0) 23 23 04 12 / 13;;www.legrand.dz;www.legrand.com;Haut Site d'Hydra - Lotissement Boursas, Porte numéro 15;;16035 Hydra - Alger;;Algérie;
999560;Legrand Electrica;4;+351 214 548 800;;www.legrand.pt;www.legrand.com;Legrand Electrica S.A. - Estrada da Alagoa, 96;;2775-716 Carcavelos;;Portugal;
999561;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999562;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999563;Legrand;4;+226 25 37 60 15;;www.legrand.bf;www.legrand.com;Av Charles Bila KABORE - Rue 16-566, Secteur 15 Ouaga 2000;;14 BP : 268 Ouagadougou 14;;Burkina-Faso;
999564;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999565;Legrand;4;+237 33 42 99 02;office.cameroun@legrandelectric.com;www.export.legrand.com;www.legrand.com;Rue Afcoddi Bonapriso;;BP 12402 Douala;;Cameroun;
999566;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999567;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999568;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999569;Legrand;4;+33 2 62 90 01 80;;www.legrand.re;www.legrand.com;200 boulevard Jean Jaurès;;97490 Sainte Clotilde;;Réunion;
999570;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999571;Legrand;4;+237 33 42 99 02;office.cameroun@legrandelectric.com;www.export.legrand.com;www.legrand.com;Rue Afcoddi Bonapriso;;BP 12402 Douala;;Cameroun;
999572;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999573;Bticino;4;+202.35.36.00.00;;www.bticino.com;www.legrand.com;EMB Electrical Industries S.A.E. - Pyramids Heights Office Park Km 22 - Cairo/Alexandria Desert Road Building 9C;;12556 Giza;;Egypte;
999574;Legrand;4;+202.35.36.00.00;;www.legrand.com.eg;www.legrand.com;EMB Electrical Industries S.A.E. - Pyramids Heights Office Park Km 22 - Cairo/Alexandria Desert Road Building 9C;;12556 Giza;;Egypte;
999575;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999576;LEGRAND SERVICE EXPORT;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999577;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999578;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999579;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999580;Legrand;4;+234 810 380 2688;;www.legrand.ng;www.legrand.com;Eleganza Biro Plaza Plot 634 - Adeyemo Alakija / Akin Adesola Street;;Victoria Island - Lagos;;Nigeria;
999581;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999582;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999583;Legrand East Africa;4;;east.africa@legrandelectric.com;www.legrand.co.ke;www.legrand.com;Office GLS1, Block A, Ground Floor, Warwick Centre, United Nations Avenue;;Nairobi;;Kenya;
999584;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999585;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999586;Legrand;4;+33 2 62 90 01 80;;www.legrand.re;www.legrand.com;200 boulevard Jean Jaurès;;97490 Sainte Clotilde;;Réunion;
999587;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999588;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999589;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999590;Legrand;4;+230 249 14 00;;www.legrand.mu;www.legrand.com;Ken Lee House - 1er Floor - Motorway M3;;Riche Terre;;Maurice;
999591;Legrand Maroc;4;+212 5 22 78 57 00;;www.legrand.ma;www.legrand.com;Immeuble Sigma - Sidi Maarouf - La Colline - Lotissement Alafak;;20150 Casablanca;;Maroc;
999592;Legrand Electrica;4;+351 214 548 800;;www.legrand.pt;www.legrand.com;Legrand Electrica S.A. - Estrada da Alagoa, 96;;2775-716 Carcavelos;;Portugal;
999593;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999594;Legrand;4;+226 25 37 60 15;;www.legrand.bf;www.legrand.com;Av Charles Bila KABORE - Rue 16-566, Secteur 15 Ouaga 2000;;14 BP : 268 Ouagadougou 14;;Burkina-Faso;
999595;Legrand;4;+234 810 380 2688;;www.legrand.ng;www.legrand.com;Eleganza Biro Plaza Plot 634 - Adeyemo Alakija / Akin Adesola Street;;Victoria Island - Lagos;;Nigeria;
999596;Legrand;4;+237 33 42 99 02;office.cameroun@legrandelectric.com;www.export.legrand.com;www.legrand.com;Rue Afcoddi Bonapriso;;BP 12402 Douala;;Cameroun;
999597;Legrand;4;+33 2 62 90 01 80;;www.legrand.re;www.legrand.com;200 boulevard Jean Jaurès;;97490 Sainte Clotilde;;Réunion;
999598;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999599;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999600;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999601;Legrand;4;+33 2 62 90 01 80;;www.legrand.re;www.legrand.com;200 boulevard Jean Jaurès;;97490 Sainte Clotilde;;Réunion;
999602;Legrand;4;+221 33 865 00 01;;;www.legrand.com;Almadies. Zone 12 - Derrière BICIS et UBA;;BP 29174 Dakar Yoff;;Senegal;
999603;Legrand Service Export;4;+33 5 55 06 87 87;direction-export.limoges@legrand.fr;;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny;;87045 Limoges;;France;
999604;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999605;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999606;Legrand East Africa;4;;east.africa@legrandelectric.com;www.legrand.co.ke;www.legrand.com;Office GLS1, Block A, Ground Floor, Warwick Centre, United Nations Avenue;;Nairobi;;Kenya;
999607;Legrand;4;+225 21 23 05 05;;;www.legrand.com;18 BP3062;;Abidjan;;Côte-d-ivoire;
999608;Legrand Méditerranée;4;+216 71 655 145;;;www.legrand.com;Rue du lac de Côme - Immeuble La Rosa, Duplex D5;;1053 Les Berges du Lac, Tunis;;Tunisie;
999609;Legrand East Africa;4;;east.africa@legrandelectric.com;www.legrand.co.ke;www.legrand.com;Office GLS1, Block A, Ground Floor, Warwick Centre, United Nations Avenue;;Nairobi;;Kenya;
999610;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999611;Legrand;4;+27 11 444 79 71;;www.legrand.co.za;www.legrand.com;21 Spartan Crescent - Eastgate Extension 3;;Sandton - 2054 Johannesburg;;Afrique du sud;
999612;Bticino Costa Rica;4;+506 298 5600;ventas.cr@bticino.com;www.bticino.cr;www.legrand.com;Barreal de heredia frente a Cenada;;6563-1000 San Jose;;Costa-Rica;
999613;Legrand Costa Rica;4;+506 298 56 04;legrand.cr@legrandelectric.com;;www.legrand.com;Barreal de Heredia - Multicomercial Baden;;6563-1000 San Jose;;Costa-Rica;
999614;Legrand Bticino Chile Ltda.;4;;;www.legrand.cl;www.legrand.com;Av. Andrés Bello #2457, Piso 15,;;Torre 2 Costanera Center, Providencia, Santiago;;Chili;
