Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1011307;Agarwal & Company;4;;;;www.se.com;Mahesh pur ,Sec-21;143609;Panchkula;Haryana;India;
1011315;Global Automation;4;;;;www.se.com;Plot 357 Indl AreaPhase II;160002;Chandigarh;Chandigarh;India;
1011319;GP Electropneumatics;4;;;;www.se.com;Near Laxmi Provision Stores,;410501;Pune;;India;
1011320;GREN Automation Solution;4;;;;www.se.com;Finlay Hosue, GF, 11 Agrabad C/A;4100;Chittagong;;Bangladesh;
1011325;Hayleys Electronics Lighting Pvt Ltd;4;;;;www.se.com;No.25,Foster Lane;001;Colombo-10;Colombo;Sri Lanka;
1011356;Kanan Corporation;4;;;;www.se.com;Botawala Building, Room No 11, 1st;400002;Mumbai;Maharashtra;India;
1011359;Katson Traders;4;;;;www.se.com;Banerji Road, High Court Junction, Errnakulam,;682031;Cochin;Kerala;India;
1011360;Kelani Cables PLC;4;;;;www.se.com;P.O. Box 14, Wewalduwa Kelaniya;11600;Kelaniya;;Sri Lanka;
1011361;Kevin Technologies Pvt Ltd;4;;;;www.se.com;B-302, Safal Pegasus, Nr. Prahladnagar Garden, Anandnagar,, Gujarat;380051;Gujarat;Gujarat;India;
1011371;L P Enterprises;4;;;;www.se.com;208,SUNANDA-TOWER, Bank Road;273001;Gorakhpur;Uttar Pradesh;India;
1011379;Leading Network Systems Pvt Ltd;4;;;;www.se.com;410/411 VAKRATUNDA CORPORATE PARK,VISHWESHWAR NAGAR,BEHIND UDIPI HOTELGOREGAON (EAST), MUMBAI – 400 063;400063;Mumbai;Maharashtra;India;
1011388;MACRO COSMIC ENGINEERS PRIVATE LIMITED;4;;;;www.se.com;*Road No. 6c, Gardani Bagh, Patna;801103;PATNA;Bihar;India;
1011397;Manibhadra Electricals Pvt. Ltd.;4;;;;www.se.com;2/7, Krishna Niwas,;400002;Mumbai;Maharashtra;India;
1011400;Mark Engineering;4;;;;www.se.com;House 87, Plot -35/b, Road-2Panchlaish R/A,;4203;Chittagong;;Bangladesh;
1011409;Mir Trading Company;4;;;;www.se.com;House - 55/1,Road - 8/A,Dhanmondi R/A Factory :Nishintapur,Jirabo,Ashulia,Savar,Dhaka.;1209;Dhaka;;Bangladesh;
1011410;Mohali Electricals;4;;;;www.se.com;Plot No D1, Industrial Area Phase 1,;160055;Mohali;Punjab;India;
1011412;Monk Engineers Private Limited;4;;;;www.se.com;Plot No. L-19, Near Glaxo, MIDC,;422010;Nashik;Maharashtra;India;
1011413;Mukt Ultra Electric & Automation;4;;;;www.se.com;office number-510, Gandhi Path, Vaishali Nagar;302021;Jaipur;Rajasthan;India;
1011425;NEXUS ENTERPRISE;4;;;;www.se.com;11, Ashwamegh Wear House, B/h. Ujala Hotel, Sarkhej,;382210;Ahmedabad;Gujarat;India;
1011439;Packard Engineering Ltd.;4;;;;www.se.com;Sabbir Tower, 3/4 A , Purana Paltan(8th Floor);1000;Dhaka;;Bangladesh;
1011440;Arihant Electric Co.;4;;;;www.se.com;24A Rabindra Sarani,;700073;Kolkata;West Bengal;India;
1011451;Arihant Industrial Equipment;4;;;;www.se.com;F 3/16, 1st Floor, Ansari Road, Dar;110002;New Delhi;Delhi;India;
