Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1024883;A CHAU INDUSTRIAL TECHNOLOGY JSC;4;842436658812;achau@acit.com.vn;;www.se.com;Floor 3,4,5,6, Tower A, Mandarin Garden 2 Building, 99 Tan Mai Str, Hoang Mai District, Ha Noi;70000;Ha Noi;;Viet Nam;
1024884;A&E ENGINEERING CO.LTD;4;0903373586;truong.loc@aecom.vn;aecom.vn;www.se.com;100 KY CON ST., NGUYEN THAI BINH WARD, DIST. 1;700000;Ho Chi Minh;;Viet Nam;
1024885;BAN MAI TECHNOLOGIES CORPORATION;4;0902321111;nghi.tran@bmt-tech.vn;www.bmt-tech.vn/;www.se.com;21/15/10, Truong Son Street, Ward 4, Tan Binh District, HCM City, Vietnam;70000;Ho Chi Minh;;Viet Nam;
1024887;Khai Tri Technology Joint Stock Co;4;0903362614;manhnd@khaitri.com.vn;;www.se.com;62A Nguyen Trong Tuyen Street, Ward 15, Phu Nhuan District,;84;HCMC;;Viet Nam;
1024889;Long Binh Co.;4;;longbinh@longbinh.com.vn;;www.se.com;44-50 Nguyen Cu Trinh, Dist.1;730000;HCMC;;Viet Nam;
1024891;Minh Tin Quan IT Co.,Ltd;4;0908373181;phu.dinh@minhtinquan.com;;www.se.com;No. 62/127, CMT8, Quang Vinh Ward;84;Bien Hoa City;;Viet Nam;
1024892;MINH TUONG TECHNOLOGY JSC;4;+842866825666;;;www.se.com;No 19 Street 12, Chu Van An, Ward 26, Binh Thanh District;70000;Ho Chi Minh;;Viet Nam;
1024893;N.S.G Services Trading Technical Co.,Ltd;4;0908279800;tientn@nsgvn.com;;www.se.com;56 Ki Con - Nguyen Thai Binh Ward - District 1;84;HCMC;;Viet Nam;
1024894;NGUYEN NHU COMMERCIAL SERVICE TECHNOLOGY COMPANY LIMITED;4;0918208685;nguyennhusg79@yahoo.com;;www.se.com;56 Tay Thanh Str, Ward Tay Thanh, Tan Phu District;84;HCMC;;Viet Nam;
1024895;Nhan Sinh Phuc Co.,Ltd (NSP);4;0903762695;khoanguyen@nsp.com.vn;;www.se.com;359 Vo Van Tan, District 3;84;HCMC;;Viet Nam;
1024896;Bao Long Development Corporation;4;938012777;thietdinh46@gmail.com;;www.se.com;11A, ngo 395 duong Xuan Dinh, Phuong Xuan Dinh;;Ha Noi;;Viet Nam;
1024900;ONE CORP;4;0838266868;an.ha@one.com.vn;;www.se.com;226 Khanh Hoi Str, Dist 4.;70000;Ho Chi Minh;;Viet Nam;
1024901;Online Network Solutions Company Limited;4;0974879923;minhpb@ons.com.vn;;www.se.com;95/59/5 Le Van Sy Str, Ward 3, Phu Nhuan Distr;84;HCM;;Viet Nam;
1024902;Phuc Anh Industry Co., Ltd;4;+84973456868;anh.mai@phucanh.com.vn;;www.se.com;15 Xa Dan - Kim Lien moi-Dong Da, HN;Hanoi;Hanoi;;Viet Nam;
1024905;Reddurio Vietnam;4;84938499722;phuongnv@reddurio.com;;www.se.com;52 Dong Du Street;84;Ho Chi Minh City;;Viet Nam;
1024906;Saigon Lab;4;(+84)933051150;thanhliem@saigonlab.vn;saigonlab.vn/;www.se.com;643 Dien Bien Phu, Ward 1, District 3;700000;Ho Chi Minh;;Viet Nam;
1024907;Chi Thinh Servics Trading Co .,Ltd;4;0903333358;chithinhcp@gmail.com;;www.se.com;96/12 Duy Tan Street, Ward 15, Phu Nhuan District;84;HCMC;;Viet Nam;
1024908;SaoBacDau Technologies Corporation;4;2837700968;thanhbh@saobacdau.vn;www.saobacdau.vn;www.se.com;U14b-16a, Road 22, Tan Thuan EPZ, Tan Thuan Dong Ward, Dist. 7;700000;Ho Chi Minh;;Viet Nam;
1024910;SDI Investment Co.,Ltd;4;0902370550;song.nguyen@sdivn.com;;www.se.com;Room 606, Block B, Building Indochina, 4 Nguyen Dinh Chieu,;84;HCMC;;Viet Nam;
1024911;SIEU SIEU NHO (SSN);4;84-028-73073776;ssn@sieuthimaychu.vn;https://www.sieuthimaychu.vn/;www.se.com;750 Su Van Hanh Street, Ward 12, District 10, Ho Chi Minh City, Vietnam;700000;HO CHI MINH;;Viet Nam;
1024912;Song Nam JSC.*;4;+842473011968;tung.nm@songnamgroup.com;songnamgroup.com/;www.se.com;46, LK6A, Ha Dong Dist.;70000;Hanoi;;Viet Nam;
1024913;Sunhitech Corp;4;902894999;info@sunhitech.vn;;www.se.com;Tầng 6, Toà Nhà Fimexco, 231-233 Le Thanh Ton, P Ben Thanh;84;HCM;;Viet Nam;
1024914;SUNMEDIA CORPORATION;4;0939800500;oanhtb@smediavn.com;smediavn.com;www.se.com;115 Nguyen Thong St, W6, D3;84;HCMC;;Viet Nam;
1024915;SUNSHINESOLUTIONS Co. Ltd.;4;84918919313;dung.ntk@sunshinesolutions.vn;;www.se.com;C12 - C13 Ngyen Oanh P. 17 Q. Go Vap;700000;Ho Chi Minh;;Viet Nam;
1024916;TAM CAO SOLUTION CORPORATION;4;84935679300;loc.le@tamcao.com.vn;;www.se.com;40/3 HUYNH MAN DAT ST, WARD 19, BINH THANH DIST.;;HO CHI MINH CITY;;Viet Nam;
1024917;Tập đoàn HIPT;4;0919148782;an-th@hipt.com.vn;;www.se.com;36 Bùi Thị Xuân, Phường Bến Thành, Q1;84;HCMC;;Viet Nam;
