Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1003098;Advanced Electrical Broome;4;0891921500;;https://advanced.net.au/;www.se.com;28 Hunter St;6725;Broome;Western Australia;Australia;
1003099;Advanced Electrical Kewdale;4;0893567944;;;www.se.com;6 Marchesi St;6105;Kewdale;Western Australia;Australia;
1003100;Auslec Sunshine West;4;0393151018;;www.auslec.com.au;www.se.com;U11 & 12 180-198 Fairbairn Rd;3020;Sunshine West;Victoria;Australia;
1003101;D&W Electrical Mornington;4;0362450388;;dwmornington.com.au;www.se.com;U1 9 Mcintyre St;7018;Mornington;Tasmania;Australia;
1003102;Electrical Distributors Bunbury;4;0897254544;bunbury@electricaldistributors.com.au;electricaldistributors.com.au;www.se.com;48 Halifax Dr;6230;Bunbury;Western Australia;Australia;
1003103;Electrical Distributors Busselton;4;0897541911;busselton@electricaldistributors.com.au;electricaldistributors.com.au;www.se.com;15 Trumper Dr;6280;Busselton;Western Australia;Australia;
1003104;Electrical Distributors Kenwick;4;0894591922;kenwick@electricaldistributors.com.au;electricaldistributors.com.au;www.se.com;U8 1780 Albany Hwy;6107;Kenwick;Western Australia;Australia;
1003105;Electrical Distributors Margaret River;4;(089)758-8011;margaretriver@electricaldistributors.com.au;electricaldistributors.com.au/margaret-river/;www.se.com;Unit 2, 40 Station Road;6285;Margaret River;Western Australia;Australia;
1003106;Electrical Distributors Naval Base;4;0894101922;navalbase@electricaldistributors.com.au;electricaldistributors.com.au;www.se.com;22 Burlington St;6165;Naval Base;Western Australia;Australia;
1003107;GCM Lighting & Electrical Tamworth;4;0267556300;;https://gcm.com.au/;www.se.com;112 Plain St;2340;Tamworth;New South Wales;Australia;
1003108;Go Electrical Tuggerah;4;0243504000;;gotuggerah.com.au;www.se.com;U3 1 Reliance Dr;2259;Tuggerah;New South Wales;Australia;
1003109;Hastings Electrical Wholesalers Pty Ltd (Glendenning);4;0296257744;;https://hastingselectrical.com.au;www.se.com;U8 155 Glendenning Rd;2761;Glendenning;New South Wales;Australia;
1003110;Haymans Electrical Archerfield;4;0732771655;;haymansarcherfield.com.au;www.se.com;593 Boundry Rd;4108;Archerfield;Queensland;Australia;
1003111;Auslec Welshpool;4;;;www.auslec.com.au;www.se.com;137 Pilbara St;6106;Welshpool;Western Australia;Australia;
1003112;Haymans Electrical Beaudesert;4;0755412813;;haymansbeaudesert.com.au;www.se.com;Unit 8, 9 Thiedke Rd;4285;Beaudesert;Queensland;Australia;
1003113;Haymans Electrical Brisbane Airport;4;0733700333;;haymansairport.com.au;www.se.com;8-12 Litsea St;4008;Brisbane Airport;Queensland;Australia;
1003114;Haymans Electrical Browns Plains;4;0738003666;;haymansbrownsplains.com.au;www.se.com;15 Tradelink Rd;4118;Browns Plains;Queensland;Australia;
1003115;Haymans Electrical Bundaberg;4;0741522755;;haymansbundaberg.com.au;www.se.com;26 Burrum St;4670;Bundaberg;Queensland;Australia;
1003116;Haymans Electrical Burleigh;4;0755354211;;haymansburleigh.com.au;www.se.com;Crn Kortum & Leda Drives;4220;Burleigh;Queensland;Australia;
1003117;Haymans Electrical Cairns;4;0740804200;;haymanscairns.com.au;www.se.com;147 Lyons St;4870;Cairns;Queensland;Australia;
1003118;Haymans Electrical Capalaba;4;0732455611;;haymanscapalaba.com.au;www.se.com;97-99 Redland Bay Rd;4157;Capalaba;Queensland;Australia;
1003119;Haymans Electrical Fortitude Valley;4;0738528900;;haymansvalley.com.au;www.se.com;14 Chester St;4006;Fortitude Valley;Queensland;Australia;
1003120;Haymans Electrical Holden Hill;4;0882610957;;haymansholdenhill.com.au;www.se.com;5 Ardtornish St;5088;Holden Hill;South Australia;Australia;
1003121;Haymans Electrical Ipswich;4;0732021200;;haymansipswich.com.au;www.se.com;U4B 2 Pound St;4305;Ipswich;Queensland;Australia;
1003122;Auslec Wetherill Park;4;0296047811;;;www.se.com;U1 468- 470 Victoria St;2164;Wetherill Park;New South Wales;Australia;
1003123;Haymans Electrical Lismore;4;0266219333;;haymanslismore.com.au;www.se.com;U2 21 Krauss Ave;2480;Lismore;New South Wales;Australia;
1003124;Haymans Electrical Maroochydore;4;0754431833;;haymansmaroochydore.com.au;www.se.com;37 Maude St;4558;Maroochydore;Queensland;Australia;
1003125;Haymans Electrical Maryborough;4;0741223388;;haymansmaryborough.com.au;www.se.com;329 Alice St;4650;Maryborough;Queensland;Australia;
1003126;Haymans Electrical Milton;4;0733699933;;haymansmilton.com.au;www.se.com;17 Douglas St;4064;Milton;Queensland;Australia;
1003127;Haymans Electrical Morayfield;4;0754316500;;haymansmorayfield.com.au;www.se.com;U3 85 Michael Ave;4506;Morayfield;Queensland;Australia;
1003128;Haymans Electrical Moree;4;0267525644;;haymansmoree.com.au;www.se.com;37 Greenbah Rd;2400;Moree;New South Wales;Australia;
1003129;Haymans Electrical Mt Isa;4;0747430233;;haymansmtisa.com.au;www.se.com;33-35 Camooweal St;4825;Mt Isa;Queensland;Australia;
1003130;Haymans Electrical Narrabri;4;0267926066;;haymansnarrabri.com.au;www.se.com;84 Barwan St;2390;Narrabri;New South Wales;Australia;
1003131;Haymans Electrical Rockhampton;4;0749274744;;haymansrockhampton.com.au;www.se.com;Crn Musgrave & Miles Streets;4700;Rockhampton;Queensland;Australia;
1003132;Haymans Electrical Sumner Park;4;0733767333;;haymanssumnerpark.com.au;www.se.com;65 Spine St;4074;Sumner Park Bc;Queensland;Australia;
1003133;Auslec Wingfield;4;0883595744;wingfield@auslec.com.au;https://www.auslec.com.au/stores/auslec-wingfield;www.se.com;203 Cormack Rd;5013;Wingfield;South Australia;Australia;
1003134;Haymans Electrical Taree;4;0265514199;;haymanstaree.com.au;www.se.com;6 Mahogany Cres;2430;Taree;New South Wales;Australia;
1003135;Haymans Electrical Tingalpa;4;0733908999;;haymanstingalpa.com.au;www.se.com;11 Proprietary St;4173;Tingalpa;Queensland;Australia;
1003136;Haymans Electrical Toowoomba;4;0746329844;;haymanstoowoomba.com.au;www.se.com;257 James St;4350;Toowoomba;Queensland;Australia;
1003137;Haymans Electrical Townsville;4;0747596222;;haymanstownsville.com.au;www.se.com;U2 269 Ingham Rd;4814;Garbutt;Queensland;Australia;
1003138;Haymans Electrical Tweed Heads;4;0755244488;;haymanstweed.com.au;www.se.com;6 Machinery Dr;2486;Tweed Heads South;New South Wales;Australia;
1003139;Haymans Electrical Virginia;4;0732656366;;haymansvirginia.com.au;www.se.com;Unit 1, 28 Pritchard Rd;4014;Virginia;Queensland;Australia;
1003140;Haymans Electrical Warwick;4;0746614881;;www.mmem.com.au;www.se.com;36 Wood St;4370;Warwick;Queensland;Australia;
1003141;Haymans Electrical Yatala;4;0738071822;;haymansyatala.com.au;www.se.com;U16 10 Burnside Rd;4207;Yatala;Queensland;Australia;
1003142;John R Turk Rockdale;4;0295995078;;www.jrt.com.au;www.se.com;385 West Botany St;2216;Rockdale;New South Wales;Australia;
1003143;John R Turk Wollongong;4;0242396800;;www.jrt.com.au;www.se.com;23 Kenny St;2500;Wollongong;New South Wales;Australia;
1003144;AWM Electrical Albury;4;0260212466;;awmalbury.com.au;www.se.com;200 North St;2640;Albury;New South Wales;Australia;
1003145;L & H Albury;4;0260415055;l&halbury@lh.com.au;www.lh.com.au;www.se.com;474 Macauley St;2640;Albury;New South Wales;Australia;
