Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1003790;A Cabine Materiais Elétricos Ltda;4;+55(11)2425-3231;vendas@acabine.com.br;www.acabine.com.br/contato;www.se.com;Av. Guarulhos, 3575 - Gopouva;07031-000;Guarulhos;São Paulo;Brazil;
1003791;A Eletrowatts Comércio de Materiais Elétricos Ltda;4;;;;www.se.com;R. Conceição das Alagoas, 418;38022-080;Uberaba;Minas Gerais;Brazil;
1003792;ADS Comércio de Materiais Elétricos Ltda;4;;;;www.se.com;Av. Rui Barbosa, 8595 - Centro;83005-340;São José dos Pinhais;Paraná;Brazil;
1003793;Dexyí Automação - R Q Barbosa;4;+55(92)2126-7693;;www.dexyi.com.br;www.se.com;R. Delfim de Souza, 238 - Raiz;69068-020;Manaus;Amazonas;Brazil;
1003794;Dimel Distribuidora de Material Elétrico Ltda;4;;;;www.se.com;R. Barão do Amazonas, 405 - Centro;24030-110;Niterói;Rio de Janeiro;Brazil;
1003795;DIMENSAO ELETRICA E ILUMINACAO;4;1836085151;;;www.se.com;R. LUIZ PEREIRA BARRETO 328;16010-320;ARACATUBA;São Paulo;Brazil;
1003796;Dimensional Brasil Soluções Ltda;4;+55(41)3316-5000;;www.dimensional.com.br;www.se.com;R. João Bettega, 2281 - Portão;81070-001;Curitiba;Paraná;Brazil;
1003797;Dimensional Brasil Soluções Ltda;4;+55(85)3271-1509;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Oliveira Paiva, 2797 - Cidade dos Funcionários;60821-802;Fortaleza;Ceará;Brazil;
1003798;Dimensional Brasil Soluções Ltda;4;+55(71)3186-3666;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;R. Pelicano, 277 - Belo Horizonte;42700-000;Lauro de Freitas;Bahia;Brazil;
1003799;Dimensional Brasil Soluções Ltda;4;+55(47)3177-2000;;www.dimensional.com.br;www.se.com;Av. Mississippi, 255 - Distrito Industrial Norte;89219-507;Joinville;Santa Catarina;Brazil;
1003800;Dimensional Brasil Soluções Ltda;4;+55(44)3261-7100;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. 19 de Dezembro, 179 - Zona 04;87015-610;Maringá;Paraná;Brazil;
1003801;Dimensional Brasil Soluções Ltda;4;+55(27)2123-5700;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Civit I, 1795 - Barro Branco;29170-740;Serra;Espírito Santo;Brazil;
1003802;Dimensional Brasil Soluções Ltda;4;+55(19)3446-7400;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Armando Ragonha, 190 - Village Limeira;13481-316;Limeira;São Paulo;Brazil;
1003803;Ageno de Mesquita Ltda;4;+55(22)2647-1458;;www.casaageno.com.br;www.se.com;Av. Julia Kubitschek, s/n - Quadra H - Lote 1C;28905-000;Cabo Frio;Rio de Janeiro;Brazil;
1003804;Dimensional Brasil Soluções Ltda;4;+55(19)3446-7400;;www.dimensional.com.br;www.se.com;R. Tapajós, 33 - Salto Norte;89065-450;Blumenau;Santa Catarina;Brazil;
1003805;Dimensional Brasil Soluções Ltda;4;+55(11)3393-2500;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;R. Dr. Ramos de Azevedo, 159 - Centro;07012-020;Guarulhos;São Paulo;Brazil;
1003806;Dimensional Brasil Soluções Ltda;4;+55(14)2106-9400;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Duque de Caxias, 11-70 - 2º Andar - Vila Altinópolis;17012-151;Bauru;São Paulo;Brazil;
1003807;Dimensional Brasil Soluções Ltda;4;+55(11)3643-6950;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;R. Guaipá, 657 - Vila Leopoldina;05089-001;São Paulo;São Paulo;Brazil;
1003808;Dimensional Brasil Soluções Ltda;4;+55(81)3087-3450;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Rod. BR-101, km 80;54335-000;Jaboatão dos Guararapes;Pernambuco;Brazil;
1003809;Dimensional Brasil Soluções Ltda;4;+55(51)3271-1400;;www.dimensional.com.br;www.se.com;Av. Pres. Franklin Roosevelt, 442 - Navegantes;90230-001;Porto Alegre;Rio Grande do Sul;Brazil;
1003810;Dimensional Brasil Soluções Ltda;4;+55(16)3913-1480;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Wladimir Meirelles Ferreira, 1525 - Jardim Botânico;14021-630;Ribeirão Preto;São Paulo;Brazil;
1003811;Dimensional Brasil Soluções Ltda;4;+55(19)3322-0000;crc@dimensional.com.br;www.dimensional.com.br;www.se.com;Av. Antônio Artioli, 570 - Swiss Park;13049-900;Campinas;São Paulo;Brazil;
1003812;Diskluz Ltda;4;;;;www.se.com;R. Rui Barbosa, 226;39400-051;Montes Claros;Minas Gerais;Brazil;
1003813;DISMETER COMERCIAL ELETRICA LTDA;4;022-2765-2000;;;www.se.com;PC JOSE DE ANCHIETA 314;27943-170;MACAE;Rio de Janeiro;Brazil;
1003814;Ajel Materiais Elétricos Ltda;4;+55(62)3526-7500;;www.ajel.com.br;www.se.com;Av. Anhanguera, 11.116 - Qd 7 - Lt 1/6 - Esplanada dos Anicuns;74433-020;Goiânia;Goiás;Brazil;
1003815;DME Distribuidora de Material Elétrico Ltda;4;+55(27)3348-8100;sergiomachado@dmeletrico.com.br;www.dmeletrico.com.br;www.se.com;R. XF Chácara, 296 - Jardim Limoeiro;29164-064;Serra;Espírito Santo;Brazil;
1003816;DOCA MATERIAIS PARA CONSTRUCAO;4;1236623077;;;www.se.com;AV. DR. JANUARIO MIRAGLIA 1816;12460-000;CAMPOS DO JORDAO;São Paulo;Brazil;
1003817;Ecomel Empreendimentos e Comércio de Materiais Elétricos Ltda;4;+55(83)3341-1558;ecomelcg@terra.com.br;;www.se.com;R. Pres. João Pessoa, 591 - Centro;58400-034;Campina Grande;Paraíba;Brazil;
1003818;EDJANE VIANA DE SA SOARES;4;7532813967;;;www.se.com;AV.LANDULFO ALVES 514;48602-490;PAULO AFONSO;Bahia;Brazil;
1003819;Elesul Eletro Eletrônica Ltda;4;;;;www.se.com;R. Gen. Osório, 7 - Centro;88350-480;Brusque;Santa Catarina;Brazil;
1003820;ELETRICA A D S LTDA;4;4532643308;;;www.se.com;R. SERGIPE 1755;85884-000;MEDIANEIRA;Paraná;Brazil;
1003821;ELETRICA ALIANCA;4;7930453055;;;www.se.com;AV. CARLOS BURLAMARQUI 109;49010-660;ARACAJU;Sergipe;Brazil;
1003822;ELETRICA APOLO LTDA EPP;4;;;;www.se.com;AV JOSE GOMES DA R LEAL;12900-301;BRAGANCA PAULISTA;São Paulo;Brazil;
1003823;Eletrica Araujo Catanduva Ltda;4;173531-1388;;www.eletricaraujo.com.br;www.se.com;Rua Pernambuco, 440;15800-080;Catanduva;São Paulo;Brazil;
