Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1004352;ACKLANDS-GRAINGER INC;4;(905)762-3121;;;www.se.com;90 West Beaver Creek Rd;L4B 1E7;Richmond Hill;Ontario;Canada;
1004353;ACKLANDS-GRAINGER INC;4;(204)944-3811;;www.acklandsgrainger.com;www.se.com;19 SCURFIELD BLVD;R3Y 1G4;WINNIPEG;Manitoba;Canada;
1004354;Anixter;4;;;;www.se.com;102-52 Aero Drive NE;T2E 8Z9;Calgary;Alberta;Canada;
1004355;ELECTRIMAT LTEE;4;(514)751-2116;;;www.se.com;5000 RUE ST PATRICK;H4E 1A5;MONTREAL;Quebec;Canada;
1004356;ELECTRIMAT LTEE;4;(450)462-2118;;;www.se.com;2180 BOUL LAPINIERE;J4W 1M2;BROSSARD;Quebec;Canada;
1004357;Epitron;4;705-267-7382;epitron@epitroninc.com;www.epitroninc.com;www.se.com;841 Pine Street South;P4N 8S3;Timmins;Ontario;Canada;
1004358;FUTECH;4;(450)442-4121;;www.futech.ca/;www.se.com;2164 DE LA PROVINCE;J4G 1R7;LONGUEUIL;Quebec;Canada;
1004359;FUTECH;4;(819)477-1075;;www.futech.ca/;www.se.com;2135 SIGOUIN ST;J2C 6P8;DRUMMONDVILLE;Quebec;Canada;
1004360;FUTECH A S C INC;4;4506688086;v.mailhot@futech.ca;;www.se.com;3168, BOUL. INDUSTRIEL;H7L 4P7;LAVAL;Quebec;Canada;
1004361;GIMPEL ELECTRIC SUPPLY LTD.;4;(613)392-9261;;www.gimpelelectric.com;www.se.com;38 ELGIN STREET;K8V 3X8;TRENTON;Ontario;Canada;
1004362;Graybar Canada;4;(905)507-0533;rlevely@graybarcanada.com;;www.se.com;160 Brunel Road;L4Z 1T5;Mississauga;Ontario;Canada;
1004363;GRAYBAR CANADA LIMITED;4;(905)374-1113;;www.graybarcanada.com;www.se.com;7000 Kinsmen Court;L2E 6S5;Niagara Falls;Ontario;Canada;
1004364;GRAYBAR CANADA LIMITED;4;(905)752-0767;;www.graybarcanada.com;www.se.com;2750 John Street;L3R 2W4;Markham;Ontario;Canada;
1004365;Anixter;4;;gavin.otoole@anixter.com;anixter.com;www.se.com;12354 - 184 Street;T5V 0A5;Edmonton;Alberta;Canada;
1004366;GRAYBAR CANADA LIMITED;4;(519)944-4414;;www.graybarcanada.com;www.se.com;2760 Deziel Drive;N8W 5H8;Windsor;Ontario;Canada;
1004367;GRAYBAR CANADA LIMITED;4;5195748940;glee@graybarcanada.com;www.graybarcanada.com;www.se.com;85 Morley Street;L8H 3R8;Hamilton;Ontario;Canada;
1004368;GRAYBAR CANADA LIMITED;4;(613)688-0124;;www.graybarcanada.com;www.se.com;2-1730 Bantree Street;K1B 3W4;Ottawa;Ontario;Canada;
1004369;GRAYBAR CANADA LIMITED;4;(780)701-4530;;;www.se.com;#101, 18020-105 Avenue;T5S 2P1;Edmonton;Alberta;Canada;
1004370;GRAYBAR CANADA LIMITED;4;(705)521-0089;sudburysales@graybarcanada.com;;www.se.com;103-2354 MALEY DR;P3L 1P7;GARSON;Ontario;Canada;
1004371;GRAYBAR CANADA LIMITED;4;(519)576-4050;glee@graybarcanada.com;www.graybarcanada.com;www.se.com;130 Hayward Avenue;N2C 2E4;Kitchener;Ontario;Canada;
1004372;Graybar Electric Canada Limited - Vaughan, ON;4;;;;www.se.com;7245 Highway 50;L4L 1A5;Vaughan;Ontario;Canada;
1004373;Grey Bruce Electric Supply Inc.;4;519-376-4120;greg@greybruceelectric.com;;www.se.com;PO Box 245;N4K 5P3;Owen Sound;Ontario;Canada;
