Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005035;ACP d.o.o.;4;;;;www.se.com;Cirkovljan, Gornja ulica 38;40323;Prelog;Medimurje;Croatia;
1005036;ACQUISITUM MAGNUM d.o.o.;4;;;www.adm.hr/;www.se.com;Jordanovac 42;10000;Zagreb;;Croatia;
1005037;DARKOM d.o.o.;4;;;;www.se.com;Otona Ivekovica 15;42220;Novi Marof;;Croatia;
1005038;ECCOS Inzenjering d.o.o.;4;+38516060290;info@eccos.com.hr;www.eccos.com.hr;www.se.com;Bani 110;10010;Zagreb, Buzin;City of Zagreb;Croatia;
1005039;Ekowatt d.o.o.;4;+385(0)12929992;ekowatt@ekowatt.hr;www.ekowatt.hr;www.se.com;Avenija Dubrava 149;10000;Zagreb;City of Zagreb;Croatia;
1005040;El-Go d.o.o.;4;;;;www.se.com;Stupari 32b;51000;Rijeka;Primorsko-goranska;Croatia;
1005041;ELCOP d.o.o.;4;;;www.elcop.hr;www.se.com;Strojarska 14;10000;Zagreb;City of Zagreb;Croatia;
1005042;ELCOP d.o.o.;4;;;www.elcop.hr;www.se.com;Zagrebačka 53a;42000;Varaždin;;Croatia;
1005043;ELEKTRO CENTAR ZAPREŠIĆ;4;;;;www.se.com;Kelemena Božidara 20;10290;Zaprešić;;Croatia;
1005044;ELEKTRO MILAS d.o.o.;4;+385(0)21610795;elektro.milas@st.t-com.hr;www.elektro-milas.com;www.se.com;Stjepana Ivičevića 27A;21300;Makarska;Splitsko-dalmatinska;Croatia;
1005045;ELEKTRO-ČELIK d.o.o.;4;+385(0)48681975;elektro-celik@kc.htnet.hr;www.elektro-celik.hr;www.se.com;Markovićeva 28;48260;Križevci;;Croatia;
1005046;ELEKTRONABAVA d.o.o.;4;+38551686356;tomislav.hrman@elektronabava.hr;;www.se.com;Stupari bb;51216;VIŠKOVO;;Croatia;
1005047;AGENOR AUTOMATIKA d.o.o.;4;+385(0)52427520;info@agenor.hr;www.agenor.hr;www.se.com;M.Grahalića 1;52440;Poreč;Istarska;Croatia;
1005048;Era-Commerce d.o.o.;4;+385(0)21610669;info@era-commerce.hr;www.era-commerce.hr;www.se.com;Vrgorski put bb;21300;Makarska;;Croatia;
1005049;EZY Infotech D.O.O.;4;+38540492223;dino@ezy.hr;https://ezy.hr;www.se.com;Miroslava Krleže 28;40000;Čakovec;Medimurje;Croatia;
