Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005106;ARGOS ELEKTRO a.s.;4;602720095;argos@argos.cz;www.argos.cz;www.se.com;Petrovická 61;794 01;Krnov;;Czech Republic;
1005107;ARGOS ELEKTRO, a. s.;4;+420702144206;valasskemezirici@argos.cz;;www.se.com;Hranická 93;757 01;Valašské Meziříčí;Zlinsky;Czech Republic;
1005108;ARGOS ELEKTRO, a.s.;4;607099084;frydekmistek@argos.cz;www.argos.cz;www.se.com;Na poříčí 3241;738 01;Frýdek-Místek;;Czech Republic;
1005109;ELKAS spol. s.r.o.;4;283980506;jatecni@elkas.cz;www.elkas.cz;www.se.com;Jateční 4;170 00;Praha 7 - Holešovice;;Czech Republic;
1005110;ELKOV elektro, a.s.;4;566521734;velke.mezirici@elkov.cz;www.elkov.cz;www.se.com;K Novému nádraží 2260;594 01;Velké Meziříčí;;Czech Republic;
1005111;ELKOV elektro, a.s.;4;725653273;reckovice@elkov.cz;www.elkov.cz;www.se.com;Gromešova 2238/25;619 00;Brno - Řečkovice;;Czech Republic;
1005112;ELKOV elektro, a.s.;4;281864482;praha.pocernice@elkov.cz;www.elkov.cz;www.se.com;K Bílému vrchu 3140/20;193 00;Praha 9 - Horní Počernice;;Czech Republic;
1005113;ELKOV elektro, a.s.;4;577110350;zlin@elkov.cz;www.elkov.cz;www.se.com;Chmelník 1296;763 02;Zlín - Malenovice;;Czech Republic;
1005114;ELKOV elektro, a.s.;4;725653282;vm@elkov.cz;www.elkov.cz;www.se.com;Zašovská 847;757 01;Valašské Meziříčí;;Czech Republic;
1005115;ELKOV elektro, a.s.;4;272657181;praha.sporilov@elkov.cz;www.elkov.cz;www.se.com;Severní XI 2458/1;14100;Praha 4 - Spořilov;;Czech Republic;
1005116;ELKOV elektro, a.s.;4;466410332;pardubice@elkov.cz;www.elkov.cz;www.se.com;Husova 1576;53002;Pardubice;;Czech Republic;
1005117;ELKOV elektro, a.s.;4;777736471;zdar@elkov.cz;www.elkov.cz;www.se.com;Brněnská 391/8;591 01;Žďár nad Sázavou;;Czech Republic;
1005118;ELKOV elektro, a.s.;4;777736391;svitavy@elkov.cz;www.elkov.cz;www.se.com;Purkyňova 246/18;568 02;Svitavy;;Czech Republic;
1005119;ARGOS ELEKTRO, a.s.;4;596312288;karvina@argos.cz;www.argos.cz;www.se.com;Svatopluka Čecha 27/640;733 01;Karviná;;Czech Republic;
1005120;ELKOV elektro, a.s.;4;494533665;rychnov@elkov.cz;www.elkov.cz;www.se.com;Na Sádkách 1799;516 01;Rychnov nad Kněžnou;;Czech Republic;
1005121;ELKOV elektro, a.s.;4;602162986;holice@elkov.cz;www.elkov.cz;www.se.com;Hradecká 1118;534 01;Holice;;Czech Republic;
1005122;ELKOV elektro, a.s.;4;543538850;brno@elkov.cz;www.elkov.cz;www.se.com;Kšírova 701/255;619 00;Brno - Horní Heršpice;;Czech Republic;
1005123;ELKOV elektro, a.s.;4;725653355;chotebor@elkov.cz;www.elkov.cz;www.se.com;Sokolohradská 1879;583 01;Chotěboř;;Czech Republic;
1005124;ELKOV elektro, a.s.;4;603151502;tisnov@elkov.cz;www.elkov.cz;www.se.com;Wagnerova 1715;666 01;Tišnov;;Czech Republic;
1005125;ELKOV elektro, a.s.;4;725653341;sokolov@elkov.cz;www.elkov.cz;www.se.com;Stará Březovská 2259;356 01;Sokolov;Karlovarsky;Czech Republic;
1005126;ELKOV elektro, a.s.;4;573342722;kromeriz@elkov.cz;www.elkov.cz;www.se.com;Chelčického 1656/1a;767 01;Kroměříž;;Czech Republic;
1005127;ELKOV elektro, a.s.;4;725653286;jevicko@elkov.cz;www.elkov.cz;www.se.com;Okružní IV/844;569 43;Jevíčko;;Czech Republic;
1005128;ELKOV elektro, a.s.;4;725653259;bystrice@elkov.cz;www.elkov.cz;www.se.com;Zahradní 13;593 01;Bystřice nad Pernštejnem;;Czech Republic;
1005129;ELKOV elektro, a.s.;4;725653388;praha.stodulky@elkov.cz;www.elkov.cz;www.se.com;K Hájům 1068/4;155 00;Praha 13 - Stodůlky;;Czech Republic;
