Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1005485;AET-Automaatio Oy;4;+358453555853;;;www.se.com;Tiiranrinne 1 B 2;1800;KLAUKKALA;;Finland;
1005486;Ahlsell Oy;4;205845998;;www.ahlsell.fi;www.se.com;Heinolankaari 12;67600;KOKKOLA;;Finland;
1005487;Ahlsell Oy;4;0205845680;heli.lahdeaho@ahlsell.fi;www.ahlsell.fi;www.se.com;Ruosilantie 18;00390;Helsinki;;Finland;
1005488;Onninen Oy;4;0204855111;kai.ingman@onninen.com;www.onninen.com/finland/;www.se.com;Valimontie 2;65100;Vaasa;;Finland;
1005489;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Raja-Hiltantie 1;28600;PORI;;Finland;
1005490;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Koikkurintie 2;30300;FORSSA;;Finland;
1005491;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Teollisuustie 28;96100;ROVANIEMI;;Finland;
1005492;Onninen Oy;4;0204855111;jussi.langman@onninen.com;www.onninen.com/finland/;www.se.com;Linnatie 4 C;04600;Mäntsälä;;Finland;
1005493;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Äyhönjärventie 5;26100;RAUMA;;Finland;
1005494;Onninen Oy;4;0204855111;;;www.se.com;Myllyojankatu 12;24100;SALO;;Finland;
1005495;Onninen Oy;4;0204855111;;;www.se.com;Jääsalontie 17;90400;OULU;;Finland;
1005496;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Ratakatu 26;08150;LOHJA;;Finland;
1005497;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Kaltimontie 10;80130;JOENSUU;;Finland;
1005498;Ahlsell Oy;4;205845820;;www.ahlsell.fi;www.se.com;Porrassalmenkatu 50;50100;MIKKELI;;Finland;
1005499;Onninen Oy;4;0204855111;heikki.lehtinen@onninen.com;www.onninen.com/finland/;www.se.com;Mustionkatu 1;20750;Turku;;Finland;
1005500;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Vanha Tampereentie 184;20380;TURKU;;Finland;
1005501;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Sukkatehtaankatu 20;95420;TORNIO;;Finland;
1005502;Onninen Oy;4;0204855111;tony.kanerva@onninen.com;www.onninen.com/finland/;www.se.com;Kauppakartanonkatu 4;00930;Helsinki;;Finland;
1005503;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Luomannotko 5;02200;ESPOO;;Finland;
1005504;Onninen Oy;4;0204855111;anna.karkkainen@onninen.com;www.onninen.com/finland/;www.se.com;Niittyvillankuja 2;01510;Vantaa;;Finland;
1005505;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Mittalinja 1;01260;VANTAA;;Finland;
1005506;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Ristipellontie 16;00390;HELSINKI;;Finland;
1005507;Onninen Oy;4;0204855111;;;www.se.com;Kiertotie 1;78120;VARKAUS;;Finland;
1005508;Onninen Oy;4;0204855111;heikki.lehtinen@onninen.com;www.onninen.com/finland/;www.se.com;Aleksis Kiven katu 9;32200;Loimaa;;Finland;
1005509;Ahlsell Oy;4;205845700;;www.ahlsell.fi;www.se.com;Teollisuustie 26;96320;ROVANIEMI;;Finland;
1005510;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Hakakalliontie 7;05460;HYVINKÄÄ;;Finland;
1005511;Onninen Oy;4;0204855111;sinikka.valmiala@onninen.com;www.onninen.com/finland/;www.se.com;Västanbyntie 3;10600;Tammisaari;;Finland;
1005512;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Ahjokatu 8;40320;JYVÄSKYLÄ;;Finland;
1005513;Onninen Oy;4;0204855111;mikael.nemlander@onninen.com;www.onninen.com/finland/;www.se.com;Ruukintie 18;02330;Espoo;;Finland;
1005514;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Joentaustankatu 3;33330;TAMPERE;;Finland;
1005515;Onninen Oy;4;204855111;;www.onninen.fi;www.se.com;Ruiskumestarinkatu 8;06100;PORVOO;;Finland;
1005516;Onninen Oy;4;0204855111;;;www.se.com;Asentajantie 2;67600;KOKKOLA;;Finland;
1005517;Onninen Oy;4;0204855111;anna.karkkainen@onninen.com;www.onninen.com/finland/;www.se.com;Isonpellontie 9, LTnro 6;00720;Helsinki;;Finland;
1005518;PJ Control Oy- Pori;4;0105915330;pjc@pjc.fi;https://www.pjc.fi/;www.se.com;Teknikontie 5;28600;Pori;;Finland;
1005519;PJ Control Oy- Rauma;4;0105915330;pjc@pjc.fi;https://www.pjc.fi/;www.se.com;Kairankatu 6 D;26100;Rauma;Satakunta;Finland;
1005520;Ahlsell Oy;4;207471340;;www.ahlsell.fi;www.se.com;Ruutihaantie 2;84100;YLIVIESKA;;Finland;
1005521;Porin K-rauta;4;(02)6313300;;;www.se.com;Satakunnankatu 39;28130;Pori;;Finland;
1005522;Rexel Finland Oy;4;010509311;sami.rantamaki@rexel.fi;;www.se.com;Varastokatu 9;05800;HYVINKÄÄ;;Finland;
1005523;Rexel Oy;4;010509311;;;www.se.com;Jääsalontie 10;90400;OULU;;Finland;
1005524;Rexel Oy;4;010509311;marko.kokkonen@rexel.fi;www.rexel.fi;www.se.com;Teollisuuskatu 23;80100;Joensuu;;Finland;
1005525;Rexel Oy;4;010509311;oliver.koivisto@rexel.fi;www.rexel.fi;www.se.com;Varastokatu 8;65100;Vaasa;;Finland;
1005526;Rexel Oy;4;010509311;;;www.se.com;Mäntysuonkatu 6;53550;LAPPEENRANTA;;Finland;
1005527;Rexel Oy;4;010509311;kari.ilmoniemi@rexel.fi;www.rexel.fi;www.se.com;Antaksentie 4;01510;Vantaa;;Finland;
1005528;Rexel Oy;4;010509311;pasi.korpela@rexel.fi;www.rexel.fi;www.se.com;Asemapäällikönkatu 7;00520;Helsinki;;Finland;
1005529;Rexel Oy;4;010509311;keijo.ojanen@rexel.fi;www.rexel.fi;www.se.com;Alavankatu 2;15610;Lahti;;Finland;
1005530;Rexel Oy;4;010509311;;;www.se.com;Teollisuustie 15;96320;ROVANIEMI;;Finland;
1005531;Ahlsell Oy;4;0205845370;;;www.se.com;Teknikontie 5;28600;PORI;;Finland;
1005532;Rexel Oy;4;010509311;petteri.kontkanen@rexel.fi;www.rexel.fi;www.se.com;Kuokkamaantie 6;33800;Tampere;;Finland;
1005533;Rexel Oy;4;010509311;jukka.salonen@rexel.fi;www.rexel.fi;www.se.com;Alasinkatu 1-3;040320;Jyväskylä;;Finland;
1005534;Rexel Oy;4;010509311;jukka.herkman@rexel.fi;www.rexel.fi;www.se.com;Kyläsaarenkatu 9 D;00580;Helsinki;;Finland;
1005535;Rexel Oy;4;010509311;inka.hyttinen@rexel.fi;www.rexel.fi;www.se.com;Takojantie 4 B;48220;Kotka;;Finland;
1005536;Rexel Oy;4;010509311;jonathan.blaberg@rexel.fi;www.rexel.fi;www.se.com;Louhimontie 4;21280;Raisio;;Finland;
1005537;Rexel Oy;4;010509311;mark.liljeberg@rexel.fi;www.rexel.fi;www.se.com;Martinsillantie 2;02270;Espoo;;Finland;
1005538;Rexel Oy;4;010509311;ossi.voutilainen@rexel.fi;www.rexel.fi;www.se.com;Leväsentie 2;70700;Kuopio;;Finland;
1005539;Rexel Oy;4;010509311;jari.nassi@rexel.fi;www.rexel.fi;www.se.com;Metsäkaari 3;05460;Hyvinkää;;Finland;
1005540;Rexel Oy;4;010509311;;;www.se.com;Hevoshaankatu 7 C;28600;PORI;;Finland;
1005541;Rexel Oy;4;010509311;pekka.ripatti@rexel.fi;www.rexel.fi;www.se.com;Torpantie 2;01650;Vantaa;;Finland;
1005542;Ahlsell Oy;4;207436140;;www.ahlsell.fi;www.se.com;Lossirannankatu 5;95420;TORNIO;;Finland;
1005543;SLO Oy;4;01028311;;;www.se.com;Myllymäenkatu 15;53100;LAPPEENRANTA;;Finland;
1005544;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Takasenkatu 56;08150;LOHJA;;Finland;
1005545;SLO Oy;4;01028311;;;www.se.com;Aittatie 1;96100;ROVANIEMI;;Finland;
1005546;SLO Oy;4;01028311;;;www.se.com;Olarinluoma 14;02200;ESPOO;;Finland;
1005547;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Hevoshaankatu 1 A;28600;PORI;;Finland;
1005548;SLO Oy;4;01028311;;;www.se.com;Seppäläntie 5;40320;JYVÄSKYLÄ;;Finland;
1005549;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Tehtaankatu 1;11710;RIIHIMÄKI;;Finland;
1005550;SLO Oy;4;01028311;;www.slo.fi;www.se.com;Patamäenkatu 10;33900;Tampere;;Finland;
1005551;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Ajajantie 2;70780;KUOPIO;;Finland;
1005552;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Jussilankatu 5;15680;LAHTI;;Finland;
1005553;Ahlsell Oy;4;205845720;;www.ahlsell.fi;www.se.com;Antinkatu 10;74120;IISALMI;;Finland;
1005554;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Yrittäjänkatu 24;06150;PORVOO;;Finland;
1005555;SLO OY;4;1028311;;www.slo.fi;www.se.com;Hiekkakuopantie 1;04300;TUUSULA;;Finland;
1005556;SLO Oy;4;01028311;;;www.se.com;Työpajankatu 2;00580;HELSINKI;;Finland;
1005557;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Myllyojankatu 10;24100;SALO;;Finland;
1005558;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Jylpyntie 14;48230;KOTKA;;Finland;
1005559;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Sepänkatu 4;45130;KOUVOLA;;Finland;
1005560;SLO Oy;4;01028311;;www.slo.fi;www.se.com;Kolmihaarankatu 6;33330;Tampere;;Finland;
1005561;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Ilokallionkatu 6;57200;SAVONLINNA;;Finland;
1005562;SLO Oy;4;01028311;;;www.se.com;Käsityökatu 45;78210;VARKAUS;;Finland;
1005563;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Silmukkatie 4;65100;VAASA;;Finland;
1005564;Ahlsell Oy;4;0205845680;reimo.eller@ahlsell.fi;www.ahlsell.fi;www.se.com;Luomannotko 3;02200;Espoo;;Finland;
1005565;SLO Oy;4;01028311;;;www.se.com;Radiomiehenkatu 2;20320;TURKU;;Finland;
1005566;SLO Oy;4;01028311;;www.slo.fi;www.se.com;Konalankuja 1-3;00390;Helsinki;;Finland;
1005567;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Ritakuja 2;01740;VANTAA;;Finland;
1005568;SLO Oy;4;01028311;;www.slo.fi;www.se.com;Hietaniemenkatu 14;00100;Helsinki;;Finland;
1005569;SLO Oy;4;01028311;;;www.se.com;Mäkeläntie 1 B;13130;HÄMEENLINNA;;Finland;
1005570;SLO Oy;4;01028311;;;www.se.com;Tervahovintie 2;67100;KOKKOLA;;Finland;
1005571;SLO Oy;4;01028311;;;www.se.com;Teollisuuskatu 12;50130;MIKKELI;;Finland;
1005572;SLO Oy;4;01028311;;;www.se.com;Ratapellonkatu 1;74120;IISALMI;;Finland;
1005573;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Kuurnankatu 31;80130;JOENSUU;;Finland;
1005574;SLO Oy;4;01028311;;;www.se.com;Kuriiritie 19;01510;VANTAA;;Finland;
1005575;Ahlsell Oy;4;205845999;;www.ahlsell.fi;www.se.com;Kaitilankatu 9;45130;KOUVOLA;;Finland;
1005576;SLO Oy;4;1028311;;www.slo.fi;www.se.com;Kallisensuora 5;90400;OULU;;Finland;
1005577;SLO Oy;4;01028311;;;www.se.com;Mekaanikonkatu 4;94600;KEMI;;Finland;
1005578;SLO Oy;4;01028311;;;www.se.com;Väinölänkatu 18;60120;SEINÄJOKI;;Finland;
1005579;Starkki Hämeenlinna;4;935414100;;www.starkki.fi;www.se.com;Kantolankatu 3;13110;Hämeenlinna;;Finland;
1005580;Starkki Helsinki Herttoniemi;4;9759859;;www.starkki.fi;www.se.com;Sahaajankatu 6;00880;Helsinki;;Finland;
1005581;Starkki Helsinki Suutarila;4;97598560;;www.starkki.fi;www.se.com;Valokaari 6;00750;Helsinki;;Finland;
1005582;Starkki Hyvinkää;4;975985300;;www.starkki.fi;www.se.com;Sillankorvankatu 3;05810;Hyvnkää;;Finland;
1005583;Starkki Järvenpää;4;975985350;;www.starkki.fi;www.se.com;Vanha Yhdystie 1-3;04430;Järvenpää;;Finland;
1005584;Starkki Joensuu;4;935413800;;www.starkki.fi;www.se.com;Kaltimontie 9;80100;Joensuu;;Finland;
1005585;Starkki Jyväskylä;4;935414900;;www.starkki.fi;www.se.com;Aholaidantie 10;40320;Jyväskylä;;Finland;
1005586;Ahlsell Oy;4;0205845680;juhani.salow@ahlsell.fi;www.ahlsell.fi;www.se.com;Biolinja 1;20750;Turku;;Finland;
1005587;Starkki Kotka;4;935414800;;www.starkki.fi;www.se.com;Huumantie 1;48230;Kotka;;Finland;
1005588;Starkki Kuopio;4;935413900;;www.starkki.fi;www.se.com;Suvannontie 12;70780;Kuopio;;Finland;
1005589;Starkki Lahti;4;935413200;;www.starkki.fi;www.se.com;Ansiokatu 2;15610;Lahti;;Finland;
1005590;Starkki Lappeenranta;4;935414500;;www.starkki.fi;www.se.com;Myllymäenkatu 14;53100;Lappeenranta;;Finland;
1005591;Starkki Lohja;4;0935412600;;;www.se.com;Lehmijarventie 6;08500;Lohja;;Finland;
1005592;Starkki Oulu;4;0935414000;;;www.se.com;Limingantulli, Krouvintie 9;90400;Oulu;;Finland;
1005593;Starkki Pori;4;935414200;;www.starkki.fi;www.se.com;Murskatie 4;28130;Pori;;Finland;
1005594;Starkki Seinäjoki;4;0935414700;;;www.se.com;Päivölänkatu 38;60120;Seinäjoki;;Finland;
1005595;Starkki Tampere Nekala;4;0935413300;;;www.se.com;Kuoppamäentie 4;33800;Tampere;;Finland;
1005596;Starkki Turku Artukainen;4;935414300;;www.starkki.fi;www.se.com;Tillerinkatu 4;20240;Turku;;Finland;
1005597;Ahlsell Oy;4;205845300;;www.ahlsell.fi;www.se.com;Satakunnantie 164;20320;TURKU;;Finland;
1005598;Ahlsell Oy;4;205845580;;www.ahlsell.fi;www.se.com;Myllykallionkatu 2;53550;LAPPEENRANTA;;Finland;
1005599;Starkki Vaasa;4;935414600;;www.starkki.fi;www.se.com;Kivihaantie 2;65300;Vaasa;;Finland;
1005600;Starkki Vantaa Martinlaakso;4;937598540;;www.starkki.fi;www.se.com;Voimalantie 4;01620;Vantaa;;Finland;
1005601;TECALEMIT FLOW OY;4;;;;www.se.com;Hankasuontie 13;00391;HELSINKI;;Finland;
1005602;Turun Sähkötukku Oy;4;2337661;;www.sahko.fi;www.se.com;Pitkänmäenkatu 4;20250;TURKU;;Finland;
