Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002626;2ED;4;277645055;guillaume@2ed.fr;;www.se.com;29 RUE JEAN MONNET;14460;COLOMBELLES;;France;
1002627;2ED - ELECTRICITE ENERGIE;4;0277645145;philippe@2ed.fr;;www.se.com;927 RUE ARISTIDE BOUCICAUT;61100;FLERS;;France;
1002628;AED VOIRON;4;0476658908;aed.voiron@sonepar.fr;https://aed.sonepar.fr;www.se.com;12 RUE LEON BERIDOT;38500;VOIRON;;France;
1002629;CDL ELEC BOULOGNE;4;321920215;;www.cdl-elec.fr/;www.se.com;83 BOULEVARD DE LA LIANE;62360;SAINT LEONARD;;France;
1002630;REXEL FRANCE SAS;4;323830000;;www.rexel.fr/;www.se.com;AVENUE DE L'EUROPE;2400;CHATEAU THIERRY;;France;
1002631;REXEL FRANCE SAS;4;563713310;;www.rexel.fr/;www.se.com;4 RUE JEAN PERRIN;81100;CASTRES;;France;
1002632;REXEL FRANCE SAS;4;492517081;;www.rexel.fr/;www.se.com;4 RUE DE LA BOISERIE;5000;GAP;;France;
1002633;REXEL FRANCE SAS;4;559503670;;www.rexel.fr/;www.se.com;21 RUE DU CHALIBARDON;64100;BAYONNE;;France;
1002634;REXEL FRANCE SAS;4;555527445;;www.rexel.fr/;www.se.com;24 AVENUE GAMBETTA;23000;GUERET;;France;
1002635;REXEL FRANCE SAS;4;321604744;;www.rexel.fr/;www.se.com;ZI EST - 2 RUE DE LISBONNE;62000;ARRAS;;France;
1002636;REXEL FRANCE SAS;4;553350002;;www.rexel.fr/;www.se.com;17 AVENUE DU CHATEAU;24430;MARSAC SUR L ISLE;;France;
1002637;REXEL FRANCE SAS;4;493081665;;www.rexel.fr/;www.se.com;ZAC DE LA GRAVE FACE MANHATTAN;6510;CARROS;;France;
1002638;REXEL FRANCE SAS;4;556265384;;www.rexel.fr/;www.se.com;3 RUE GILLES ROBERVAL;33510;ANDERNOS LES BAINS;;France;
1002639;REXEL FRANCE SAS;4;240249145;;www.rexel.fr/;www.se.com;RUE DES GUERETS;44350;GUERANDE;;France;
1002640;CDL ELEC BREST;4;229611393;;www.cdl-elec.fr/;www.se.com;48 RUE DU TOURBIAN;29490;GUIPAVAS;;France;
1002641;REXEL FRANCE SAS;4;247255810;;www.rexel.fr/;www.se.com;27 RUE AUGUSTIN FRESNEL;37170;CHAMBRAY LES TOURS;;France;
1002642;REXEL FRANCE SAS;4;492873603;;www.rexel.fr/;www.se.com;ZI ST JOSEPH - AV J. CUGNOT;4100;MANOSQUE;;France;
1002643;REXEL FRANCE SAS;4;;;;www.se.com;33 BOULEVARD LENINE;76800;ST ETIENNE DU ROUVRAY CEDEX;;France;
1002644;REXEL FRANCE SAS;4;492106030;beausoleil@rexel.fr;;www.se.com;19AVENUE PAUL DOUMER;6240;BEAUSOLEIL;;France;
