Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999559;2ED;4;277645055;;www.se.com;29 RUE JEAN MONNET;14460;COLOMBELLES;;France;
999560;2ED - ELECTRICITE ENERGIE;4;0277645145;;www.se.com;927 RUE ARISTIDE BOUCICAUT;61100;FLERS;;France;
999561;AED VOIRON;4;0476658908;https://aed.sonepar.fr;www.se.com;12 RUE LEON BERIDOT;38500;VOIRON;;France;
999562;CDL ELEC BOULOGNE;4;321920215;http://www.cdl-elec.fr/;www.se.com;83 BOULEVARD DE LA LIANE;62360;SAINT LEONARD;;France;
999563;REXEL FRANCE SAS;4;323830000;http://www.rexel.fr/;www.se.com;AVENUE DE L'EUROPE;2400;CHATEAU THIERRY;;France;
999564;REXEL FRANCE SAS;4;563713310;http://www.rexel.fr/;www.se.com;4 RUE JEAN PERRIN;81100;CASTRES;;France;
999565;REXEL FRANCE SAS;4;492517081;http://www.rexel.fr/;www.se.com;4 RUE DE LA BOISERIE;5000;GAP;;France;
999566;REXEL FRANCE SAS;4;559503670;http://www.rexel.fr/;www.se.com;21 RUE DU CHALIBARDON;64100;BAYONNE;;France;
999567;REXEL FRANCE SAS;4;555527445;http://www.rexel.fr/;www.se.com;24 AVENUE GAMBETTA;23000;GUERET;;France;
999568;REXEL FRANCE SAS;4;321604744;http://www.rexel.fr/;www.se.com;ZI EST - 2 RUE DE LISBONNE;62000;ARRAS;;France;
999569;REXEL FRANCE SAS;4;553350002;http://www.rexel.fr/;www.se.com;17 AVENUE DU CHATEAU;24430;MARSAC SUR L ISLE;;France;
999570;REXEL FRANCE SAS;4;493081665;http://www.rexel.fr/;www.se.com;ZAC DE LA GRAVE FACE MANHATTAN;6510;CARROS;;France;
999571;REXEL FRANCE SAS;4;556265384;http://www.rexel.fr/;www.se.com;3 RUE GILLES ROBERVAL;33510;ANDERNOS LES BAINS;;France;
999572;REXEL FRANCE SAS;4;240249145;http://www.rexel.fr/;www.se.com;RUE DES GUERETS;44350;GUERANDE;;France;
999573;CDL ELEC BREST;4;229611393;http://www.cdl-elec.fr/;www.se.com;48 RUE DU TOURBIAN;29490;GUIPAVAS;;France;
999574;REXEL FRANCE SAS;4;247255810;http://www.rexel.fr/;www.se.com;27 RUE AUGUSTIN FRESNEL;37170;CHAMBRAY LES TOURS;;France;
999575;REXEL FRANCE SAS;4;492873603;http://www.rexel.fr/;www.se.com;ZI ST JOSEPH - AV J. CUGNOT;4100;MANOSQUE;;France;
999576;REXEL FRANCE SAS;4;;;www.se.com;33 BOULEVARD LENINE;76800;ST ETIENNE DU ROUVRAY CEDEX;;France;
999577;REXEL FRANCE SAS;4;492106030;;www.se.com;19  AVENUE PAUL DOUMER;6240;BEAUSOLEIL;;France;
999578;REXEL FRANCE SAS;4;562633990;http://www.rexel.fr/;www.se.com;RUE FEDERICO GARCIA LORCA;32000;AUCH;;France;
999579;REXEL FRANCE SAS;4;299703909;http://www.rexel.fr/;www.se.com;RUE FRANCIS DENIAUD;35600;REDON;;France;
999580;REXEL FRANCE SAS;4;243502323;http://www.rexel.fr/;www.se.com;14 BD PIERRE LEFAUCHEUX;72027;LE MANS CEDEX;;France;
999581;REXEL FRANCE SAS;4;472730404;http://www.rexel.fr/;www.se.com;144 AVENUE BERTHELOT;69007;LYON;;France;
999582;REXEL FRANCE SAS;4;233072703;http://www.rexel.fr/;www.se.com;ZI AUBERGE DE LA MARE;50200;COUTANCES;;France;
999583;REXEL FRANCE SAS;4;494539212;http://www.rexel.fr/;www.se.com;371 AVENUE ANDRE CITROEN;83600;FREJUS;;France;
999584;CDL ELEC CALAIS;4;321960053;http://www.cdl-elec.fr/;www.se.com;68 AVENUE DE ST EXUPERY;62100;CALAIS;;France;
999585;REXEL FRANCE SAS;4;490535103;http://www.rexel.fr/;www.se.com;RUE REMOULAIRE;13300;SALON DE PROVENCE;;France;
999586;REXEL FRANCE SAS;4;559519493;http://www.rexel.fr/;www.se.com;Z.I DE JALDAY;64500;ST JEAN DE LUZ;;France;
999587;REXEL FRANCE SAS;4;565203010;;www.se.com;CHE LUDO ROLLES;46000;CAHORS;;France;
999588;REXEL FRANCE SAS;4;470444120;http://www.rexel.fr/;www.se.com;RUE DE BADVILBEL;3007;MOULINS CEDEX;;France;
999589;REXEL FRANCE SAS;4;479881013;http://www.rexel.fr/;www.se.com;AVENUE FRANKLIN ROOSEVELT;73100;AIX LES BAINS;;France;
999590;REXEL FRANCE SAS;4;321564541;http://www.rexel.fr/;www.se.com;ZI - AV G.WASHINGTON;62400;BETHUNE;;France;
999591;REXEL FRANCE SAS;4;490762600;http://www.rexel.fr/;www.se.com;ROUTE DE ROBION;84300;CAVAILLON;;France;
999592;REXEL FRANCE SAS;4;33299822805;http://www.rexel.fr/;www.se.com;2 RUE ST FIACRE;35400;ST MALO CEDEX;;France;
999593;REXEL FRANCE SAS;4;475968166;http://www.rexel.fr/;www.se.com;9 RUE JACQUES MONOD;26702;PIERRELATTE CEDEX;;France;
999594;REXEL FRANCE SAS;4;474282550;http://www.rexel.fr/;www.se.com;13 RUE EDOUARD BRANLY;38300;BOURGOIN JALLIEU;;France;
999595;CDL ELEC CARHAIX;4;298994210;http://www.cdl-elec.fr/;www.se.com;ZAC DE LA VILLE NEUVE;29270;CARHAIX PLOUGUER;;France;
999596;REXEL FRANCE SAS;4;232101592;http://www.rexel.fr/;www.se.com;RUE GEORGES CHARPAK;76150;SAINT JEAN DU CARDONNAY;;France;
999597;REXEL FRANCE SAS;4;241405050;http://www.rexel.fr/;www.se.com;BD DES VALLEROTS;49400;SAUMUR;Maine-et-Loire;France;
999598;REXEL FRANCE SAS;4;563207810;http://www.rexel.fr/;www.se.com;AVENUE D ALLEMAGNE;82000;MONTAUBAN;;France;
999599;REXEL FRANCE SAS;4;549211418;http://www.rexel.fr/;www.se.com;4BIS RUE THOMAS EDISON;86100;CHATELLERAULT;;France;
999600;REXEL FRANCE SAS;4;546592981;http://www.rexel.fr/;www.se.com;42 AV DE ROCHEFORT;17400;ST JEAN D ANGELY;;France;
999601;REXEL FRANCE SAS;4;322664500;http://www.rexel.fr/;www.se.com;287 RUE STEPHANE HESSEL;80450;CAMON;;France;
999602;REXEL FRANCE SAS;4;231312932;http://www.rexel.fr/;www.se.com;102 RUE ANDRE COUSINET;14101;LISIEUX CEDEX;;France;
999603;REXEL FRANCE SAS;4;490884166;http://www.rexel.fr/;www.se.com;105 RUE DE L'AULANIERE;84000;AVIGNON;;France;
999604;REXEL FRANCE SAS;4;492206523;http://www.rexel.fr/;www.se.com;RUE DES COUTELIERS;5100;BRIANCON;;France;
999605;REXEL FRANCE SAS;4;324599595;http://www.rexel.fr/;www.se.com;13 ROUTE DE WARNECOURT;8000;PRIX LES MEZIERES;;France;
999606;CDL ELEC CHALLANS;4;251931001;http://www.cdl-elec.fr/;www.se.com;21 RUE PAULINE DE LEZARDIERE;85300;CHALLANS;;France;
999607;REXEL FRANCE SAS;4;320179260;http://www.rexel.fr/;www.se.com;3 AVENUE DE L'EUROPE;59280;ARMENTIERES;;France;
999608;REXEL FRANCE SAS;4;235421260;http://www.rexel.fr/;www.se.com;AV DU CANTIPOU DU CHAMP DELENT;76700;HARFLEUR;;France;
999609;REXEL FRANCE SAS;4;496157500;http://www.rexel.fr/;www.se.com;14 AV DE LA BAUXITE;13015;MARSEILLE;;France;
999610;REXEL FRANCE SAS;4;558918806;http://www.rexel.fr/;www.se.com;AV DE LA RESISTANCE;40990;ST PAUL LES DAX;;France;
999611;REXEL FRANCE SAS;4;247771818;http://www.rexel.fr/;www.se.com;LEVEE DU CHER;37520;LA RICHE;;France;
999612;REXEL FRANCE SAS;4;466900046;http://www.rexel.fr/;www.se.com;233 AV DE LA ROQUETTE;30200;BAGNOLS SUR CEZE;;France;
999613;REXEL FRANCE SAS;4;328292626;http://www.rexel.fr/;www.se.com;347 AV JEAN MONNET;59640;DUNKERQUE;;France;
999614;REXEL FRANCE SAS;4;555310150;http://www.rexel.fr/;www.se.com;RUE GEORGES GUYNEMER;87220;FEYTIAT;;France;
999615;REXEL FRANCE SAS;4;344201831;http://www.rexel.fr/;www.se.com;3 RUE HENRI ADNOT;60200;COMPIEGNE;;France;
999616;REXEL FRANCE SAS;4;477962310;;www.se.com;42 RUE DES GRANDS CHÒNES;42600;MONTBRISON;;France;
999617;CDL ELEC CUCQ;4;321898039;http://www.cdl-elec.fr/;www.se.com;155 AV FRANCOIS GODIN;62780;CUCQ;;France;
999618;REXEL FRANCE SAS;4;164225499;http://www.rexel.fr/;www.se.com;38 AV FRANKLIN ROOSEVELT;77210;AVON;;France;
999619;REXEL FRANCE SAS;4;553770653;http://www.rexel.fr/;www.se.com;1080 AV DU DR JEAN BRU;47008;AGEN CEDEX;;France;
999620;REXEL FRANCE SAS;4;0241621149;http://www.rexel.fr/;www.se.com;13 RUE DE LANGEAIS;49300;CHOLET;;France;
999621;REXEL FRANCE SAS;4;233981200;http://www.rexel.fr/;www.se.com;483 RUE DU BON MARCHE;61100;FLERS;;France;
999622;REXEL FRANCE SAS;4;549647305;http://www.rexel.fr/;www.se.com;3 RUE DE VERDUN;79200;POMPAIRE;;France;
999623;REXEL FRANCE SAS;4;442541525;http://www.rexel.fr/;www.se.com;18 RUE DE LA TOULOUBRE;13770;VENELLES;;France;
999624;REXEL FRANCE SAS;4;326640383;;www.se.com;21C RUE DU GRAND CHAMP;51520;ST MARTIN SUR LE PRE;;France;
999625;REXEL FRANCE SAS;4;466566494;http://www.rexel.fr/;www.se.com;594 CHE DE LA TOURTUGUE;30100;ALES;;France;
999626;REXEL FRANCE SAS;4;438022473;http://www.rexel.fr/;www.se.com;15 BD PAUL LANGEVIN;38600;FONTAINE;;France;
999627;REXEL FRANCE SAS;4;240921383;http://www.rexel.fr/;www.se.com;15 RUE OLYMPE DE GOUGES;44800;ST HERBLAIN;;France;
999628;CDL ELEC DINAN;4;296851150;http://www.cdl-elec.fr/;www.se.com;RUE DE TIVANO;22100;TADEN;;France;
999629;REXEL FRANCE SAS;4;296878901;http://www.rexel.fr/;www.se.com;1BIS RUE DU NOROIT;22100;TADEN;;France;
999630;REXEL FRANCE SAS;4;228130404;http://www.rexel.fr/;www.se.com;RUE HENRI AUCHER;85200;FONTENAY LE COMTE;;France;
999631;REXEL FRANCE SAS;4;474291559;http://www.rexel.fr/;www.se.com;132 RUE DES GLIERES;38150;SALAISE SUR SANNE;;France;
999632;REXEL FRANCE SAS;4;241580076;http://www.rexel.fr/;www.se.com;31 RUE GATINE;49300;CHOLET;;France;
999633;REXEL FRANCE SAS;4;467700444;http://www.rexel.fr/;www.se.com;203 AV DES ROMARINS;34130;ST AUNES;;France;
