Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1010904;SMK GROUP;4;;;;www.se.com;Μουσουργού Καψάσκη 7;29100;ΖΑΚΥΝΘΟΣ;;Greece;
1010905;SMK GROUP;4;;;;www.se.com;Πηγάδια;84600;ΚΑΡΠΑΘΟΣ;;Greece;
1010906;SMK GROUP;4;;;;www.se.com;1o χλμ Μουδανιών - Θεσσαλονίκης;63200;ΝΕΑ ΜΟΥΔΑΝΙΑ;;Greece;
1010907;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;21028551156;;www.electroinvest.gr;www.se.com;Λεωφόρος Αμαρουσίου 33, Λυκόβρυση;14123;ΛΥΚΟΒΡΥΣΗ;;Greece;
1010908;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2106040537;;www.electroinvest.gr;www.se.com;Λεωφ. Λαυρίου 196 (15ο χλμ.), Γλυκά Νερά;15344;ΓΛΥΚΑ ΝΕΡΑ;;Greece;
1010909;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2810318840;;www.electroinvest.gr;www.se.com;Λ. 62 Μαρτύρων 417, Ηράκλειο;73401;ΗΡΑΚΛΕΙΟ;;Greece;
1010910;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2104835615;;www.electroinvest.gr;www.se.com;Θεσσαλονίκης 111, Μοσχάτο;18346;ΜΟΣΧΑΤΟ;;Greece;
1010911;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2109760060;;www.electroinvest.gr;www.se.com;Αγ. Δημητρίου 43 & Θαλείας, Αγιος Δημήτριος;17343;ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ;;Greece;
1010912;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2104209944;;www.electroinvest.gr;www.se.com;Παλαμηδίου 7, Πειραιάς;18545;ΠΕΙΡΑΙΑΣ;;Greece;
1010913;ΜΕΪΔΑΝΗΣ – ELECTROINVEST Α.Ε.;4;2109317839;;www.electroinvest.gr;www.se.com;Λεωφόρος Ελευθερίου Βενιζέλου 113, Νέα Σμύρνη;17123;Ν. ΣΜΥΡΝΗ;;Greece;
