Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1011089;0,4 KV Kereskedelmi Kft.;4;3612811850;04kv@04kv.hu;www.04kv.hu;www.se.com;Fegyvergyár utca 5;1097;Budapest;;Hungary;
1011090;A4 Elektro Kft.;4;36301860562;info@a4elektro.hu;;www.se.com;Ágfalvi út 6.;9400;Sopron;;Hungary;
1011091;BANKTRADE KFT;4;+36704549117;david.dobos@banktrade.hu;www.banktrade.hu;www.se.com;Jász u 25B;1135;BUDAPEST, HUNGARY;Budapest;Hungary;
1011092;ID-1  Kft.;4;3613590375;;www.id1.hu;www.se.com;Váci út 170/A;1138;Budapest;;Hungary;
1011093;IL Diverso Kft.;4;36704319444;;elektrikstore.hu;www.se.com;Némedi út 100;2330;Dunaharaszti;;Hungary;
1011094;Infra-Flash Kft;4;3629360200;;;www.se.com;Bartók Béla u. 105.;2373;Dabas;;Hungary;
1011095;ITB Tömítéstechnikai Kft.;4;+3613827911;bathoryl@itbkft.hu;www.itbkft.hu/;www.se.com;H-1117 Budapest;1117;Budapest;Budapest;Hungary;
1011096;Jenei Trade Villamossági Szaküzlet;4;36209819852;;www.jeneitrade.hu;www.se.com;Székely utca 2;6400;Kiskunhalas;;Hungary;
1011097;Jenei Trade Villamossági Szaküzlet;4;36208074700;;www.jeneitrade.hu;www.se.com;Félegyházi út 12.;6120;Kiskunmajsa;;Hungary;
1011098;K & A Business '99 Kft. Kertvill Kisáruház;4;36205590990;;;www.se.com;Testvérvárosok utja 9;2100;Gödöll?;;Hungary;
1011099;Kápolna Villamossági Bolt;4;3656420394;;;www.se.com;Kápolna u. 5.;5000;Szolnok;;Hungary;
1011100;KEK Kft.;4;3676322988;;;www.se.com;Matkói út 16.;6000;Kecskemét;;Hungary;
1011101;Kelet-Agóra Kereskedelmi Kft.;4;3644417859;kelet-agora@szvill.axelero.net;;www.se.com;Zöldfa út 74.;4700;Mátészalka;;Hungary;
1011102;Batime-Vill Kft;4;3653313347;batime@inext.hu;www.batime-vill.hu;www.se.com;Várkonyi István utca 35.;2700;Cegléd;;Hungary;
1011103;Kezola Kft;4;3684563023;kezola@kezola.hu;;www.se.com;Szemesi u. 2.;8624;Balatonszárszó;;Hungary;
1011104;Király-Fény kft;4;3678480843;;;www.se.com;Kiss Ern? utca 14.;6230;Soltvadkert;;Hungary;
1011105;Király-vill Kft.;4;36207726924;;www.királyvill.hu;www.se.com;Róbert Károly út 23.;3200;Gyöngyös;;Hungary;
1011106;KISDUNA-VILL Épít?ipari és Szolgáltató Kft.;4;36202864250;;;www.se.com;Móra Ferenc u. 1;2330;Dunaharaszti;;Hungary;
1011107;Kiss László ev.  Műszaki Kereskedő;4;3636515412;;;www.se.com;Mikes K. u. 38;3300;Eger;;Hungary;
1011108;KKB Trade Kft.;4;36303370348;;;www.se.com;Erzsébet királyné útja 45/a.;1142;Budapest;;Hungary;
1011109;Komfort Bázis kft;4;3688545560;reitner.lajos@komfort.hu;;www.se.com;Házgyári u. 7;8200;Veszprém;;Hungary;
1011110;Kujbusvill Kft.;4;3652520501;;www.kujbusvill.hu;www.se.com;Vágóhíd utca 3.;4030;Debrecen;;Hungary;
1011111;Kujbusvill Kft. Hajdúböszörmény;4;3652220019;;;www.se.com;Baltazár Dezső u. 90-92;4220;Hajdúböszörmény;;Hungary;
