Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1011305;A.R. Enterprises;4;01334-235351;ar_enterprises2@yahoo.co.in;;www.se.com;R-88,Shivalik Nagar, BHEL, Ranipur, Cluster-Haridwar;249403;Haridwar;Uttarakhand;India;
1011306;Aadya Enterprises;4;08800440611;aadyaenterprises.noida@gmail.com;;www.se.com;D 56, Sector 10,;201301;Noida;Uttar Pradesh;India;
1011307;Agarwal & Company;4;;;;www.se.com;Mahesh pur ,Sec-21;143609;Panchkula;Haryana;India;
1011308;Ganesh Sales Corporation;4;0253-2596914;gscnashik@gmail.com;;www.se.com;Vartak Apartment ,Behind Nehru Garden,Shalimar;422001;Nashik;Maharashtra;India;
1011309;Ganpathi Electrical & Hardware Store;4;09891081083;ganpathi_electrical@hotmail.com;;www.se.com;2758/A, Hansa Puri Road (Near P.N.B. Tri Nagar);110035;Delhi;Delhi;India;
1011310;Ganpathi Electricals & Hardware Store;4;09891081083;nikhil.ganpathi1@gmail.com;;www.se.com;E-23, Sector 9, Gautam Buddha Nagar,;201301;Noida;Uttar Pradesh;India;
1011311;Ganpati Electricals;4;0361-2604823;vkasera@sify.com;;www.se.com;136, Jail Road;710001;Guwahati;Assam;India;
1011312;Gayatri Electricals;4;08912516498;gayatrielectricals.gwk@gmail.com;;www.se.com;D.No.16 -172, Krishna Arcade, Old Gajuwaka Jn,;530026;Visakhapatnam;Andhra Pradesh;India;
1011313;Geartech Electric, Cochin;4;;geartechelectric@gmail.com;;www.se.com;Nedungadan Complex, Lissie Road,Lisie Hospital Road,;682018;Kochi;Kerala;India;
1011314;General Electrical & Mach.Corp;4;0161-2530539;gemco61@yahoo.co.in;;www.se.com;4, Oswal Market, Miller Ganj;141001;Ludhiana;Punjab;India;
1011315;Global Automation;4;;;;www.se.com;Plot 357 Indl AreaPhase II;160002;Chandigarh;Chandigarh;India;
1011316;Golden Engineering;4;0877-2226009;gectpt@gmail.com;;www.se.com;Shop No. 16-1-62 & 63, Nethaji Road, Tirupathi, Chittoor;517501;Tirupati;Andhra Pradesh;India;
1011317;Goyal Electricals;4;01725092722;;;www.se.com;SCO 658, Sector 70,;160070;Mohali;Punjab;India;
1011318;Akshay Electrotech Pvt. Ltd.;4;9830086580;aeplcal@gmail.com;;www.se.com;32, Ezra Street;700001;Kolkata;West Bengal;India;
1011319;GP Electropneumatics;4;;;;www.se.com;Near Laxmi Provision Stores,;410501;Pune;;India;
1011320;GREN Automation Solution;4;;;;www.se.com;Finlay Hosue, GF, 11 Agrabad C/A;4100;Chittagong;;Bangladesh;
1011321;GSB Exports;4;0181-2455047;jaswant_gsb@yahoo.com;;www.se.com;Shop No. 2, Sehdev Market;144001;Jalandhar;Punjab;India;
